,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
365,TextGrid/-Eulenspiegel.xml,24236,24246,verschämt.,negative,emotions of suffering,emotional movement
366,TextGrid/-Eulenspiegel.xml,24248,24284,Ihr betrachtet mich so befremdend –?,emotional movement,emotional movement,emotional movement
367,TextGrid/-Eulenspiegel.xml,24286,24325,Will Er wirklich Arbeit nehmen bei uns?,negative,emotional movement,emotional movement
368,TextGrid/-Eulenspiegel.xml,24327,24374,"Ich wünsche es, oder –  Sich verlegen stellend.",negative,emotional movement,fear
369,TextGrid/-Eulenspiegel.xml,24376,24386,Verraten!?,emotional movement,emotional movement,emotional movement
370,TextGrid/-Eulenspiegel.xml,24388,24449,"Du hättest mich erkannt, liebenswürdigste deines Geschlechts?",positive,emotions of affection,admiration
371,TextGrid/-Eulenspiegel.xml,24491,24508,äußerst verlegen.,negative,emotional movement,emotional movement
372,TextGrid/-Eulenspiegel.xml,24510,24548,"Gerechter Himmel, was will Er von mir?",emotional movement,emotional movement,emotional movement
373,TextGrid/-Eulenspiegel.xml,24550,24582,Leben oder Tod aus deinem Munde.,negative,emotions of rejection,"hate, disgust"
374,TextGrid/-Eulenspiegel.xml,24583,24612,Hinweg mit jeder Verstellung!,negative,emotions of rejection,anger
375,TextGrid/-Eulenspiegel.xml,24613,24737,"Dieses Kleid war ein Vorwand, ins Haus zu kommen, ich bin – Marquis – 
                                        aufschreiend.",negative,emotions of fear,emotional movement
376,TextGrid/-Eulenspiegel.xml,24739,24748,Marquis!?,emotional movement,emotional movement,emotional movement
377,TextGrid/-Eulenspiegel.xml,24750,24792,"Marquis Amoroso, Edler von Vehementissimo.",positive,emotions of affection,admiration
378,TextGrid/-Eulenspiegel.xml,24794,24806,Aus Italien?,emotional movement,emotional movement,emotional movement
379,TextGrid/-Eulenspiegel.xml,24808,24839,Aus dem Land der welschen Glut.,negative,emotions of rejection,anger
380,TextGrid/-Eulenspiegel.xml,24840,24900,"Auf 'n Ätna, grad das Haus neb'n 'n Krater, bin ich geboren.",negative,emotions of suffering,suffering
381,TextGrid/-Eulenspiegel.xml,24901,24964,"Jetzt können Sie sich denken, mein ganzes Geblüt is reine Lava.",negative,emotions of rejection,"hate, disgust"
382,TextGrid/-Eulenspiegel.xml,25006,25034,sich kaum zu fassen wissend.,emotional movement,emotional movement,emotional movement
383,TextGrid/-Eulenspiegel.xml,25036,25229,"Edler Herr –  Überall, in London, Paris, Stockerau, Neapel, Konstantinopel, Adrianopel und noch ein paar Opl hab' ich sprechen gehört von der schönen Mündel des Müllers Mehlwurm in Nelkenstein.",positive,emotions of affection,admiration
384,TextGrid/-Eulenspiegel.xml,25231,25343,"Ich bin so verlegen –  Das sieht man Ihnen an, daß Sie  
                                        mit Koketterie.",negative,emotional movement,anger
385,TextGrid/-Eulenspiegel.xml,25345,25403,"Jetzt haben Sie sich überzeugt, daß Sie sich geirrt haben?",emotional movement,emotions of joy,emotional movement
386,TextGrid/-Eulenspiegel.xml,25405,25549,"Im Namen wohl, aber nicht in der minniglichen Gestalt, nicht in den wonniglichen Eigenschaften; jünger kann die andere wohl sein  Schwärmerisch.",positive,emotions of rejection,admiration
387,TextGrid/-Eulenspiegel.xml,25551,25593,Wie fein Hochdieselben schmeicheln können!,positive,emotions of affection,admiration
388,TextGrid/-Eulenspiegel.xml,25595,25663,"So wahr ich Marquis bin, kein unwahres Wort kommt über meine Lippen.",positive,emotions of affection,admiration
389,TextGrid/-Eulenspiegel.xml,25664,25677,O Geliebte –!,positive,emotions of suffering,love
390,TextGrid/-Eulenspiegel.xml,25679,25720,Erfaßt ihre Hand und stürzt ihr zu Füßen.,positive,emotions of affection,love
391,TextGrid/-Eulenspiegel.xml,25722,25734,Was tun Sie?,negative,emotional movement,emotional movement
392,TextGrid/-Eulenspiegel.xml,25776,25804,küßt unaufhörlich ihre Hand.,positive,emotions of affection,love
393,TextGrid/-Eulenspiegel.xml,25806,25808,O!,emotional movement,emotions of suffering,emotional movement
