,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,"Walter in tiefen Gedanken, in der Hand einen Hirschfänger, den er zu putzen
          beschäftiget gewesen ist.",0,111,stage_direction,1,1,pre_speech,,,,,no_annotation,T,,1812.0,no_annotation,no_annotation
1,1,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,"Sophie arbeitet an einem Jagdnetz, und steht bald nach dem
          Aufziehen des Vorhangs unruhig auf.",112,216,stage_direction,1,1,pre_speech,,,,,being moved,T,,1812.0,being moved,being moved
2,2,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,am Fenster.,0,11,stage_direction,1,1,speech_part,,#sophie,1.0,FEMALE,no_annotation,T,,1812.0,no_annotation,no_annotation
3,3,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,"Sieh, das Abendroth ist längst verglommen,",0,42,character_speech,1,1,,Sophie,#sophie,1.0,FEMALE,no_annotation,T,,1812.0,no_annotation,no_annotation
4,4,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,"Sterne blicken durch der Wolken Riß,",0,36,character_speech,1,1,,Sophie,#sophie,1.0,FEMALE,no_annotation,T,,1812.0,no_annotation,no_annotation
5,5,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,Und – noch immer will mein Sohn nicht kommen!,0,45,character_speech,1,1,,Sophie,#sophie,1.0,FEMALE,suffering,T,,1812.0,negative,emotions of suffering and empathy
6,6,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,"Hab Geduld, er kömmt gewiß.",0,27,character_speech,1,1,,Walter.,#walter,2.0,MALE,fear,T,,1812.0,negative,emotions of anxiety
7,7,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,"Oh, er blieb noch keinen Tag so lange!",0,38,character_speech,1,1,,Sophie.,#sophie,3.0,FEMALE,no_annotation,T,,1812.0,no_annotation,no_annotation
8,8,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,nach kurzer Stille.,0,19,stage_direction,1,1,speech_part,,#walter,4.0,MALE,no_annotation,T,,1812.0,no_annotation,no_annotation
9,9,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,Zünde Licht!,0,12,character_speech,1,1,,Walter,#walter,4.0,MALE,no_annotation,T,,1812.0,no_annotation,no_annotation
10,10,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,"nachdem sie ihn kummervoll angesehen, an seinem Halse:",0,54,stage_direction,1,1,speech_part,,#sophie,5.0,FEMALE,suffering,T,,1812.0,negative,emotions of suffering and empathy
11,11,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,Ach!,0,4,character_speech,1,1,,"Sophie,",#sophie,5.0,FEMALE,suffering,T,,1812.0,negative,emotions of suffering and empathy
12,12,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,Wovor ist dir bange?,0,20,character_speech,1,1,,Walter.,#walter,6.0,MALE,fear,T,,1812.0,negative,emotions of anxiety
