,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
651,651,651,TextGrid/-Pandaemonium_Germanicum.xml,"
                                 Nacht.",0,40,stage_direction,3,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation
652,652,652,TextGrid/-Pandaemonium_Germanicum.xml,Geister.,41,49,stage_direction,3,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation
653,653,653,TextGrid/-Pandaemonium_Germanicum.xml,Stimmen.,50,58,stage_direction,3,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation
654,654,654,TextGrid/-Pandaemonium_Germanicum.xml, Ist Tugend der Müh wert?,0,25,character_speech,3,9,,ERSTE STIMME.,ERSTE STIMME.,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation
655,655,655,TextGrid/-Pandaemonium_Germanicum.xml, Machen Künst und Wissenschaften besser?,0,40,character_speech,3,9,,ZWEITE STIMME.,ZWEITE STIMME.,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation
656,656,656,TextGrid/-Pandaemonium_Germanicum.xml,"
                                    rufen.",0,43,stage_direction,3,9,speech_part,,,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation
657,657,657,TextGrid/-Pandaemonium_Germanicum.xml, Tugend ist der Müh nicht wert.,0,31,character_speech,3,9,,EINE MENGE GEISTER,EINE MENGE GEISTER,3.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
658,658,658,TextGrid/-Pandaemonium_Germanicum.xml,"
                                    rufen.",0,43,stage_direction,3,9,speech_part,,,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation
659,659,659,TextGrid/-Pandaemonium_Germanicum.xml, Künst und Wissenschaften machen schlechter.,0,44,character_speech,3,9,,EINE MENGE GEISTER,EINE MENGE GEISTER,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation
660,660,660,TextGrid/-Pandaemonium_Germanicum.xml," Eßt, liebt und streitet!",0,25,character_speech,3,9,,WELTGEIST.,WELTGEIST.,5.0,UNKNOWN,no_annotation,no_annotation,no_annotation
661,661,661,TextGrid/-Pandaemonium_Germanicum.xml,euer Lohn ist sicher.,26,47,character_speech,3,9,,WELTGEIST.,WELTGEIST.,5.0,UNKNOWN,joy,positive,emotions of pleasure
662,662,662,TextGrid/-Pandaemonium_Germanicum.xml, Euer Lohn ist klein.,0,21,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation
663,663,663,TextGrid/-Pandaemonium_Germanicum.xml,"– Schaut an Klopstock, der auf jene steinigten Pfade Rosen warf.",22,86,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation
664,664,664,TextGrid/-Pandaemonium_Germanicum.xml,"Der muß tugendhaft gewesen sein, der von gegenwärtigem Genuß auf seine Brust hinverweisen kann, auf sein Auge gen Himmel gewandt.",87,216,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation
665,665,665,TextGrid/-Pandaemonium_Germanicum.xml,"Schaut an Herdern, der jene Labyrinthe mit einem ebnen Wege durchschnitt die nur immer um Künste herum, nie zur Kunst selber führten.",217,350,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,"admiration, reverence",positive,emotions of affection
666,666,666,TextGrid/-Pandaemonium_Germanicum.xml,"Tausend Unglücklichen Verirrten ein Retter, die sonst nicht wußten wo sie hinaus wollten und in dieser tödlichen Ungewißheit an Felsenwänden kratzten.",351,501,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
667,667,667,TextGrid/-Pandaemonium_Germanicum.xml,–,502,503,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation
668,668,668,TextGrid/-Pandaemonium_Germanicum.xml,"Wer von euch schweigt, bekennt, er sei nicht fähig euch zu loben.",0,65,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation
669,669,669,TextGrid/-Pandaemonium_Germanicum.xml,"Schweig, Säkulum!",66,83,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,anger,negative,emotions of rejection
670,670,670,TextGrid/-Pandaemonium_Germanicum.xml,*,0,1,character_speech,3,9,,EWIGER GEIST.,EWIGER GEIST.,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation
671,671,671,TextGrid/-Pandaemonium_Germanicum.xml,"
                                    aus dem Traum erwachend, ganz erhitzt.",0,75,stage_direction,3,9,speech_part,,,7.0,UNKNOWN,being moved,being moved,being moved
672,672,672,TextGrid/-Pandaemonium_Germanicum.xml, Soll ich dem kommenden rufen?,0,30,character_speech,3,9,,LENZ,LENZ,7.0,UNKNOWN,no_annotation,no_annotation,no_annotation
