,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1390,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79128,79131,So?,emotional movement,emotional movement,emotional movement
1391,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79132,79188,"Sind Sie auch eine solchene, die statt dem Kochen liest?",negative,emotions of rejection,emotional movement
1392,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79189,79220,"Bereuest du, was du getan hast?",negative,emotions of suffering,compassion
1393,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79221,79239,Von ganzem Herzen.,positive,emotions of affection,love
1394,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79240,79279,Beneidest du den Fischer um sein Glück?,positive,emotions of affection,joy
1395,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79280,79301,Um kein Schloß nicht!,negative,emotions of affection,fear
1396,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79302,79345,"Den wirds reuen, das ganze Dorf redt davon.",negative,emotions of rejection,anger
1397,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79346,79425,"Ich kenn s' schon,
              die Geister, die einem solche Häuser schenken.",positive,emotions of affection,joy
1398,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79426,79515,"Heut nacht haben s' ihms aufgebaut von
              Diamanten und rote Rüben, glaub ich.",positive,emotions of joy,joy
1399,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79516,79558,"Wie s' ihm erwischt haben, weiß ich nicht.",negative,emotions of suffering,suffering
1400,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79559,79604,Würdest du ihm jetzt deine Ziehtochter geben?,positive,emotional movement,love
1401,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79605,79619,Um kein Preis.,negative,emotions of rejection,despair
1402,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79620,79730,"Erstens weil ich s' nicht habe, zweiten weil s' mit den Reichtum eine
              unglückliche Person würde.",negative,emotions of suffering,suffering
1403,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,79731,79769,"Wenn er aber wieder würde, wie er war?",positive,emotional movement,emotional movement
