,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
491,491,491,Kasperl/Eberl_Tode_korr.csv,"
      Rosel.",0,13,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
492,492,492,Kasperl/Eberl_Tode_korr.csv,Trautl.,14,21,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
493,493,493,Kasperl/Eberl_Tode_korr.csv,Everl.,22,28,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
494,494,494,Kasperl/Eberl_Tode_korr.csv,Vorige.,29,36,stage_direction,1,9,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
495,495,495,Kasperl/Eberl_Tode_korr.csv,"
       Nun Frau Nachbarinn?",0,28,character_speech,1,9,,"
       Rose.
      ",#rose,229.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
496,496,496,Kasperl/Eberl_Tode_korr.csv,"da sind die Vögel alle in einem Nest, kann sich jede den Ihrigen aussuchen.",29,104,character_speech,1,9,,"
       Rose.
      ",#rose,229.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
497,497,497,Kasperl/Eberl_Tode_korr.csv,"
       O weh!",0,14,character_speech,1,9,,"
       Alle 3 Männer.
      ",#mauskopf #katzbalg #spitzel,230.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
498,498,498,Kasperl/Eberl_Tode_korr.csv,wir sind geprellt; das ist Spitzbüberey!,15,55,character_speech,1,9,,"
       Alle 3 Männer.
      ",#mauskopf #katzbalg #spitzel,230.0,UNKNOWN,fear,negative,emotions of anxiety,comedy,KK
499,499,499,Kasperl/Eberl_Tode_korr.csv,"
       Guten heut!",0,19,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,231.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
500,500,500,Kasperl/Eberl_Tode_korr.csv,Frau Schwägerinn!,20,37,character_speech,1,9,,"
       Kaspar.
      ",#kaspar,231.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
