,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
398,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32523,32563,Ich bin mit eu'rer Arbeit wohlzufrieden.,positive,emotions of joy,joy
399,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32564,32609,"Es sei, Herr Meister, wie ihr uns beschieden!",positive,emotions of rejection,joy
400,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32648,32702,Faustine – mit Irma an der Hand – tritt zum Bau heran.,emotional movement,emotional movement,suffering
401,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32703,32738,Ein neues Heim ist hier entstanden.,positive,emotions of joy,joy
402,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32739,32771,Wie labt es meinen frohen Blick!,positive,emotions of joy,joy
403,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32816,32844,Gefestigt das Familienglück.,positive,emotions of joy,joy
404,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32845,32923,"– Herr Meister, wer denn wird drin wohnen, Wem wird es sein ein gastlich Haus?",positive,emotions of rejection,joy
405,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32924,32994,"Ein Herr Musarion wird drin thronen, Der gerne lebt in Saus und Braus.",positive,emotions of joy,joy
406,"TextGrid/-Faustine,_der_weibliche_Faust.xml",32995,33132,"Er ist ein wunderliches Herrchen, Noch jung und über's Maß verliebt, In allen Dingen just ein Närrchen, Die voller Willkür er verschiebt.",emotional movement,emotions of affection,love
407,"TextGrid/-Faustine,_der_weibliche_Faust.xml",33133,33200,"Da seht nur, was er ließ sich schaffen: Ein sonderbares Herrenhaus!",negative,emotions of rejection,joy
408,"TextGrid/-Faustine,_der_weibliche_Faust.xml",33201,33263,Mit einem Zwinger für Giraffen Und einem Käfig für den Strauß.,positive,emotions of rejection,"hate, disgust"
409,"TextGrid/-Faustine,_der_weibliche_Faust.xml",33264,33348,"Schaut, wie die Stockwerk' hoch sich thürmen, Wie weit die Thür', die Fenster breit!",positive,emotions of joy,suffering
