,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/kotzebue-pagenstreiche.xml,"(Ein Zimmer in Baron Stuhlbeins Hause mit einer Mittelthüre und zwey Seitenthüren,
          rechts das Schlafzimmer der Fräulein Deborah, links das Schlafzimmer des Barons.",0,173,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation
1,1,GerDracor/kotzebue-pagenstreiche.xml,"Neben der
          Mittelthüre auf der einen Seite steht ein ziemlich großer Gewehrschrank, dessen obere
          Hälfte Glasfenster hat.",174,313,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation
2,2,GerDracor/kotzebue-pagenstreiche.xml,"Neben dem Schrank, im Winkel, ein Perückenstock mit einer
          frisirten Perücke darauf.",314,407,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation
3,3,GerDracor/kotzebue-pagenstreiche.xml,"An der andern Seite der Mittelthüre eine große altväterische Uhr
          mit Gewichten in einem Uhrkasten, der bis zur Erde geht und zu verschließen ist.",408,563,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation
4,4,GerDracor/kotzebue-pagenstreiche.xml,"Im
          Vordergrunde linker Hand steht ein alter Pharotisch, mit einem Ausschnitt für den
          Banquier, dicht an der Wand.)",564,698,stage_direction,1,0,pre_scene,,,,,no_annotation,no_annotation,no_annotation
5,5,GerDracor/kotzebue-pagenstreiche.xml,"Annlieschen, Trudchen und Kätchen stehen auf der Bühne.",0,55,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
6,6,GerDracor/kotzebue-pagenstreiche.xml,"Berg, Busch und Thal liegen
            zu ihren Füßen.",56,111,stage_direction,1,1,pre_speech,,,,,"admiration, reverence",positive,emotions of affection
7,7,GerDracor/kotzebue-pagenstreiche.xml,Der Page steht im Gewehrschranke,112,144,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
8,8,GerDracor/kotzebue-pagenstreiche.xml,Ich bitte –,0,11,character_speech,1,1,,Berg.,#berg,1.0,MALE,no_annotation,no_annotation,no_annotation
9,9,GerDracor/kotzebue-pagenstreiche.xml,Nein –,0,6,character_speech,1,1,,Annliesch.,#annlieschen,2.0,FEMALE,no_annotation,no_annotation,no_annotation
10,10,GerDracor/kotzebue-pagenstreiche.xml,Ich flehe –,0,11,character_speech,1,1,,Busch.,#busch,3.0,MALE,fear,negative,emotions of anxiety
11,11,GerDracor/kotzebue-pagenstreiche.xml,Nichts.,0,7,character_speech,1,1,,Trudch.,#trudchen,4.0,FEMALE,no_annotation,no_annotation,no_annotation
12,12,GerDracor/kotzebue-pagenstreiche.xml,Ich beschwöre –,0,15,character_speech,1,1,,Thal.,#thal,5.0,MALE,no_annotation,no_annotation,no_annotation
13,13,GerDracor/kotzebue-pagenstreiche.xml,Umsonst.,0,8,character_speech,1,1,,Kätch.,#kaetchen,6.0,FEMALE,no_annotation,no_annotation,no_annotation
14,14,GerDracor/kotzebue-pagenstreiche.xml,Soll ich verzweifeln?,0,21,character_speech,1,1,,Berg.,#berg,7.0,MALE,despair,negative,emotions of anxiety
15,15,GerDracor/kotzebue-pagenstreiche.xml,Gott bewahre!,0,13,character_speech,1,1,,Annliesch.,#annlieschen,8.0,FEMALE,fear,negative,emotions of anxiety
16,16,GerDracor/kotzebue-pagenstreiche.xml,Ich erschieße mich.,0,19,character_speech,1,1,,Busch.,#busch,9.0,MALE,no_annotation,no_annotation,no_annotation
17,17,GerDracor/kotzebue-pagenstreiche.xml,O weh!,0,6,character_speech,1,1,,Trudch.,#trudchen,10.0,FEMALE,suffering,negative,emotions of suffering and empathy
18,18,GerDracor/kotzebue-pagenstreiche.xml,Ich nehme Gift.,0,15,character_speech,1,1,,Thal.,#thal,11.0,MALE,no_annotation,no_annotation,no_annotation
19,19,GerDracor/kotzebue-pagenstreiche.xml,Thut mir leid.,0,14,character_speech,1,1,,Kätch.,#kaetchen,12.0,FEMALE,compassion,negative,emotions of suffering and empathy
20,20,GerDracor/kotzebue-pagenstreiche.xml,Grausame!,0,9,character_speech,1,1,,Berg.,#berg,13.0,MALE,suffering,negative,emotions of suffering and empathy
21,21,GerDracor/kotzebue-pagenstreiche.xml,Sie sind kalt wie Novemberabend.,10,42,character_speech,1,1,,Berg.,#berg,13.0,MALE,suffering,negative,emotions of suffering and empathy
22,22,GerDracor/kotzebue-pagenstreiche.xml,Kieselherz!,0,11,character_speech,1,1,,Busch.,#busch,14.0,MALE,joy,positive,emotions of pleasure
23,23,GerDracor/kotzebue-pagenstreiche.xml,Ihre Brust ist verschlossen wie ein Olivenkern.,12,59,character_speech,1,1,,Busch.,#busch,14.0,MALE,no_annotation,no_annotation,no_annotation
24,24,GerDracor/kotzebue-pagenstreiche.xml,Marmorseele!,0,12,character_speech,1,1,,Thal.,#thal,15.0,MALE,suffering,negative,emotions of suffering and empathy
25,25,GerDracor/kotzebue-pagenstreiche.xml,"warum quälen Sie mich, als wär ich ein Reim in einem Sonnett?",13,74,character_speech,1,1,,Thal.,#thal,15.0,MALE,suffering,negative,emotions of suffering and empathy
26,26,GerDracor/kotzebue-pagenstreiche.xml,"Aber wenn wir Sie auch liebten, was kann das helfen?",0,52,character_speech,1,1,,Annliesch.,#annlieschen,16.0,FEMALE,love,positive,emotions of affection
27,27,GerDracor/kotzebue-pagenstreiche.xml,Sie haben ja schon bey Papa um uns geworben.,0,44,character_speech,1,1,,Trudch.,#trudchen,17.0,FEMALE,no_annotation,no_annotation,no_annotation
28,28,GerDracor/kotzebue-pagenstreiche.xml,Und er hat es rund abgeschlagen.,0,32,character_speech,1,1,,Kätch.,#kaetchen,18.0,FEMALE,no_annotation,no_annotation,no_annotation
29,29,GerDracor/kotzebue-pagenstreiche.xml,Man könnt' ihn erweichen.,0,25,character_speech,1,1,,Thal.,#thal,19.0,MALE,no_annotation,no_annotation,no_annotation
30,30,GerDracor/kotzebue-pagenstreiche.xml,Schwerlich.,0,11,character_speech,1,1,,Kätch.,#kaetchen,20.0,FEMALE,no_annotation,no_annotation,no_annotation
31,31,GerDracor/kotzebue-pagenstreiche.xml,Wenn Sie nur Ihre Bitten vereinigen wollten –,0,45,character_speech,1,1,,Busch.,#busch,21.0,MALE,no_annotation,no_annotation,no_annotation
32,32,GerDracor/kotzebue-pagenstreiche.xml,Das dürfen wir nicht.,0,21,character_speech,1,1,,Trudch.,#trudchen,22.0,FEMALE,no_annotation,no_annotation,no_annotation
33,33,GerDracor/kotzebue-pagenstreiche.xml,Wenn Sie zu seinen Füßen –,0,26,character_speech,1,1,,Berg.,#berg,23.0,MALE,no_annotation,no_annotation,no_annotation
34,34,GerDracor/kotzebue-pagenstreiche.xml,Ey warum nicht gar!,0,19,character_speech,1,1,,Annliesch.,#annlieschen,24.0,FEMALE,no_annotation,no_annotation,no_annotation
35,35,GerDracor/kotzebue-pagenstreiche.xml,Sollen wir knieend um Männer betteln?,20,57,character_speech,1,1,,Annliesch.,#annlieschen,24.0,FEMALE,anger,negative,emotions of rejection
36,36,GerDracor/kotzebue-pagenstreiche.xml,"Er hatte nichts einzuwenden, als unsere Armuth.",0,47,character_speech,1,1,,Berg.,#berg,25.0,MALE,suffering,negative,emotions of suffering and empathy
37,37,GerDracor/kotzebue-pagenstreiche.xml,Bey ihm ist das viel.,0,21,character_speech,1,1,,Annliesch.,#annlieschen,26.0,FEMALE,no_annotation,no_annotation,no_annotation
38,38,GerDracor/kotzebue-pagenstreiche.xml,"Er, der reichste Mann in der Provinz –",0,38,character_speech,1,1,,Busch.,#busch,27.0,MALE,no_annotation,no_annotation,no_annotation
39,39,GerDracor/kotzebue-pagenstreiche.xml,Er will es gern bleiben.,0,24,character_speech,1,1,,Trudch.,#trudchen,28.0,FEMALE,no_annotation,no_annotation,no_annotation
40,40,GerDracor/kotzebue-pagenstreiche.xml,"Wie wär' es, wenn wir Sie entführten.",0,37,character_speech,1,1,,Thal.,#thal,29.0,MALE,no_annotation,no_annotation,no_annotation
41,41,GerDracor/kotzebue-pagenstreiche.xml,Ha!,0,3,character_speech,1,1,,Kätch.,#kaetchen,30.0,FEMALE,no_annotation,no_annotation,no_annotation
42,42,GerDracor/kotzebue-pagenstreiche.xml,ha!,4,7,character_speech,1,1,,Kätch.,#kaetchen,30.0,FEMALE,no_annotation,no_annotation,no_annotation
43,43,GerDracor/kotzebue-pagenstreiche.xml,In Pommern spielen wir keine Romane.,8,44,character_speech,1,1,,Kätch.,#kaetchen,30.0,FEMALE,no_annotation,no_annotation,no_annotation
44,44,GerDracor/kotzebue-pagenstreiche.xml,(steht auf),0,11,stage_direction,1,1,speech_part,,#berg,31.0,MALE,no_annotation,no_annotation,no_annotation
45,45,GerDracor/kotzebue-pagenstreiche.xml,"Wohlan, Ihr Unerbittlichen!",0,27,character_speech,1,1,,Berg.,#berg,31.0,MALE,suffering,negative,emotions of suffering and empathy
46,46,GerDracor/kotzebue-pagenstreiche.xml,Wir verlassen Euch!,28,47,character_speech,1,1,,Berg.,#berg,31.0,MALE,despair,negative,emotions of anxiety
47,47,GerDracor/kotzebue-pagenstreiche.xml,(steht auch auf),0,16,stage_direction,1,1,speech_part,,#busch,32.0,MALE,no_annotation,no_annotation,no_annotation
48,48,GerDracor/kotzebue-pagenstreiche.xml,"Ja, das thun wir.",0,17,character_speech,1,1,,Busch.,#busch,32.0,MALE,no_annotation,no_annotation,no_annotation
49,49,GerDracor/kotzebue-pagenstreiche.xml,(ebenso),0,8,stage_direction,1,1,speech_part,,#thal,33.0,MALE,no_annotation,no_annotation,no_annotation
50,50,GerDracor/kotzebue-pagenstreiche.xml,"Auf ewig,",0,9,character_speech,1,1,,Thal.,#thal,33.0,MALE,no_annotation,no_annotation,no_annotation
51,51,GerDracor/kotzebue-pagenstreiche.xml,Nach Gefallen.,0,14,character_speech,1,1,,Annliesch.,#annlieschen,34.0,FEMALE,no_annotation,no_annotation,no_annotation
52,52,GerDracor/kotzebue-pagenstreiche.xml,Wir müssen uns trösten.,0,23,character_speech,1,1,,Trudch.,#trudchen,35.0,FEMALE,suffering,negative,emotions of suffering and empathy
53,53,GerDracor/kotzebue-pagenstreiche.xml,O freylich!,0,11,character_speech,1,1,,Berg.,#berg,36.0,MALE,joy,positive,emotions of pleasure
54,54,GerDracor/kotzebue-pagenstreiche.xml,An Troste fehlt es dem treulosen Geschlechte nie.,12,61,character_speech,1,1,,Berg.,#berg,36.0,MALE,no_annotation,no_annotation,no_annotation
55,55,GerDracor/kotzebue-pagenstreiche.xml,So lange der Spiegel höflich bleibt –,0,37,character_speech,1,1,,Busch.,#busch,37.0,MALE,no_annotation,no_annotation,no_annotation
56,56,GerDracor/kotzebue-pagenstreiche.xml,"Wir wissen auch recht gut, wer hier tröstet.",0,44,character_speech,1,1,,Thal.,#thal,38.0,MALE,no_annotation,no_annotation,no_annotation
57,57,GerDracor/kotzebue-pagenstreiche.xml,"O ja, das wissen wir.",0,21,character_speech,1,1,,Berg.,#berg,39.0,MALE,no_annotation,no_annotation,no_annotation
58,58,GerDracor/kotzebue-pagenstreiche.xml,Der verdammte Page!,0,19,character_speech,1,1,,Busch.,#busch,40.0,MALE,abhorrence,negative,emotions of rejection
59,59,GerDracor/kotzebue-pagenstreiche.xml,Dem der Satan auf vier Wochen Urlaub verschaffte.,0,49,character_speech,1,1,,Thal.,#thal,41.0,MALE,abhorrence,negative,emotions of rejection
60,60,GerDracor/kotzebue-pagenstreiche.xml,Der allen Mädchen in der Stadt die Köpfe verrückt –,0,51,character_speech,1,1,,Berg.,#berg,42.0,MALE,anger,negative,emotions of rejection
61,61,GerDracor/kotzebue-pagenstreiche.xml,"Dem Fräulein, wie der Zofe.",0,27,character_speech,1,1,,Busch.,#busch,43.0,MALE,no_annotation,no_annotation,no_annotation
62,62,GerDracor/kotzebue-pagenstreiche.xml,Und sie alle zum Besten hält.,0,29,character_speech,1,1,,Thal.,#thal,44.0,MALE,no_annotation,no_annotation,no_annotation
63,63,GerDracor/kotzebue-pagenstreiche.xml,(spöttisch),0,11,stage_direction,1,1,speech_part,,#annlieschen,45.0,FEMALE,abhorrence,negative,emotions of rejection
64,64,GerDracor/kotzebue-pagenstreiche.xml,Alle doch wohl nicht.,0,21,character_speech,1,1,,Annliesch.,#annlieschen,45.0,FEMALE,no_annotation,no_annotation,no_annotation
65,65,GerDracor/kotzebue-pagenstreiche.xml,Er macht Ausnahmen.,22,41,character_speech,1,1,,Annliesch.,#annlieschen,45.0,FEMALE,no_annotation,no_annotation,no_annotation
66,66,GerDracor/kotzebue-pagenstreiche.xml,(eben so),0,9,stage_direction,1,1,speech_part,,#trudchen,46.0,FEMALE,no_annotation,no_annotation,no_annotation
67,67,GerDracor/kotzebue-pagenstreiche.xml,"Galant ist er gegen alle, doch nur Eine liebt er.",0,49,character_speech,1,1,,Trudch.,#trudchen,46.0,FEMALE,love,positive,emotions of affection
68,68,GerDracor/kotzebue-pagenstreiche.xml,(eben so),0,9,stage_direction,1,1,speech_part,,#kaetchen,47.0,FEMALE,no_annotation,no_annotation,no_annotation
69,69,GerDracor/kotzebue-pagenstreiche.xml,"Trotz seines Flattersinns, hat doch Eine ihn gefesselt.",0,55,character_speech,1,1,,Kätch.,#kaetchen,47.0,FEMALE,no_annotation,no_annotation,no_annotation
70,70,GerDracor/kotzebue-pagenstreiche.xml,Es ist nicht wahr; er betrügt sie alle.,0,39,character_speech,1,1,,Thal.,#thal,48.0,MALE,anger,negative,emotions of rejection
71,71,GerDracor/kotzebue-pagenstreiche.xml,Aber er soll büßen!,0,19,character_speech,1,1,,Berg.,#berg,49.0,MALE,compassion,negative,emotions of suffering and empathy
72,72,GerDracor/kotzebue-pagenstreiche.xml,Arm und Beine –,0,15,character_speech,1,1,,Busch.,#busch,50.0,MALE,no_annotation,no_annotation,no_annotation
73,73,GerDracor/kotzebue-pagenstreiche.xml,"Recht, Herr Bruder!",0,19,character_speech,1,1,,Thal.,#thal,51.0,MALE,no_annotation,no_annotation,no_annotation
74,74,GerDracor/kotzebue-pagenstreiche.xml,Mit graden Gliedern kommt er nicht aus der Stadt.,20,69,character_speech,1,1,,Thal.,#thal,51.0,MALE,no_annotation,no_annotation,no_annotation
75,75,GerDracor/kotzebue-pagenstreiche.xml,Ha!,0,3,character_speech,1,1,,Die drey Mädchen.,#annlieschen #trudchen #kaetchen,52.0,UNKNOWN,no_annotation,no_annotation,no_annotation
76,76,GerDracor/kotzebue-pagenstreiche.xml,ha!,4,7,character_speech,1,1,,Die drey Mädchen.,#annlieschen #trudchen #kaetchen,52.0,UNKNOWN,no_annotation,no_annotation,no_annotation
77,77,GerDracor/kotzebue-pagenstreiche.xml,ha!,8,11,character_speech,1,1,,Die drey Mädchen.,#annlieschen #trudchen #kaetchen,52.0,UNKNOWN,no_annotation,no_annotation,no_annotation
78,78,GerDracor/kotzebue-pagenstreiche.xml,"Leben Sie wohl, mein Fräulein!",0,30,character_speech,1,1,,Berg.,#berg,53.0,MALE,suffering,negative,emotions of suffering and empathy
79,79,GerDracor/kotzebue-pagenstreiche.xml,Ihre Dienerin.,0,14,character_speech,1,1,,Annliesch.,#annlieschen,54.0,FEMALE,no_annotation,no_annotation,no_annotation
80,80,GerDracor/kotzebue-pagenstreiche.xml,Sie sehen mich zum Letztenmahle.,0,32,character_speech,1,1,,Busch.,#busch,55.0,MALE,no_annotation,no_annotation,no_annotation
81,81,GerDracor/kotzebue-pagenstreiche.xml,Ich muß mich drein finden.,0,26,character_speech,1,1,,Trudch.,#trudchen,56.0,FEMALE,no_annotation,no_annotation,no_annotation
82,82,GerDracor/kotzebue-pagenstreiche.xml,Ich komme nicht wieder.,0,23,character_speech,1,1,,Thal.,#thal,57.0,MALE,no_annotation,no_annotation,no_annotation
83,83,GerDracor/kotzebue-pagenstreiche.xml,So wünsch' ich wohl zu leben.,0,29,character_speech,1,1,,Kätch.,#kaetchen,58.0,FEMALE,no_annotation,no_annotation,no_annotation
84,84,GerDracor/kotzebue-pagenstreiche.xml,(Alle drey entfernen sich zögernd.,0,34,stage_direction,1,1,speech_part,,#kaetchen,58.0,FEMALE,no_annotation,no_annotation,no_annotation
85,85,GerDracor/kotzebue-pagenstreiche.xml,Nach einer Pause),35,52,stage_direction,1,1,speech_part,,#kaetchen,58.0,FEMALE,no_annotation,no_annotation,no_annotation
86,86,GerDracor/kotzebue-pagenstreiche.xml,Sie rufen uns nicht zurück?,0,27,character_speech,1,1,,Berg.,#berg,59.0,MALE,no_annotation,no_annotation,no_annotation
87,87,GerDracor/kotzebue-pagenstreiche.xml,Nein.,0,5,character_speech,1,1,,Annliesch.,#annlieschen,60.0,FEMALE,no_annotation,no_annotation,no_annotation
88,88,GerDracor/kotzebue-pagenstreiche.xml,(kommt wieder),0,14,stage_direction,1,1,speech_part,,#berg,61.0,MALE,no_annotation,no_annotation,no_annotation
89,89,GerDracor/kotzebue-pagenstreiche.xml,"Wir waren auf dem nächsten Balle zur ersten Angloise engagirt – ich tanze nicht mit
              Ihnen.",0,104,character_speech,1,1,,Berg.,#berg,61.0,MALE,no_annotation,no_annotation,no_annotation
90,90,GerDracor/kotzebue-pagenstreiche.xml,Ein großes Unglück.,0,19,character_speech,1,1,,Annliesch.,#annlieschen,62.0,FEMALE,suffering,negative,emotions of suffering and empathy
91,91,GerDracor/kotzebue-pagenstreiche.xml,(kommt wieder),0,14,stage_direction,1,1,speech_part,,#thal,63.0,MALE,no_annotation,no_annotation,no_annotation
92,92,GerDracor/kotzebue-pagenstreiche.xml,"Ich hatte Ihnen versprochen, der Fräulein Hirsenfeld ins Gesicht zu sagen, daß sie
              häßlich wäre – ich thu' es nicht.",0,130,character_speech,1,1,,Thal.,#thal,63.0,MALE,no_annotation,no_annotation,no_annotation
93,93,GerDracor/kotzebue-pagenstreiche.xml,Wie Sie wollen.,0,15,character_speech,1,1,,Kätch.,#kaetchen,64.0,FEMALE,no_annotation,no_annotation,no_annotation
94,94,GerDracor/kotzebue-pagenstreiche.xml,"Ich sage, daß sie schön ist, wie ein Engel, und Sie sollen dabey stehen.",0,72,character_speech,1,1,,Thal.,#thal,65.0,MALE,"admiration, reverence",positive,emotions of affection
95,95,GerDracor/kotzebue-pagenstreiche.xml,Da werd' ich lachen.,0,20,character_speech,1,1,,Kätch.,#kaetchen,66.0,FEMALE,joy,positive,emotions of pleasure
96,96,GerDracor/kotzebue-pagenstreiche.xml,(kommt wieder),0,14,stage_direction,1,1,speech_part,,#busch,67.0,MALE,no_annotation,no_annotation,no_annotation
97,97,GerDracor/kotzebue-pagenstreiche.xml,Ihnen zu Liebe habe ich sogar Verse gemacht – es geschieht nicht wieder.,0,72,character_speech,1,1,,Busch.,#busch,67.0,MALE,love,positive,emotions of affection
98,98,GerDracor/kotzebue-pagenstreiche.xml,Man muß sich mit Prosa behelfen.,0,32,character_speech,1,1,,Trudch.,#trudchen,68.0,FEMALE,no_annotation,no_annotation,no_annotation
99,99,GerDracor/kotzebue-pagenstreiche.xml,"Der Page soll mir's entgelten, das schwöre ich Ihnen bey meinem Säbel!",0,70,character_speech,1,1,,Berg.,#berg,69.0,MALE,anger,negative,emotions of rejection
100,100,GerDracor/kotzebue-pagenstreiche.xml,"Die Nase, Herr Bruder, hau' ich ihm ab.",0,39,character_speech,1,1,,Busch.,#busch,70.0,MALE,abhorrence,negative,emotions of rejection
101,101,GerDracor/kotzebue-pagenstreiche.xml,Und ich die Ohren.,0,18,character_speech,1,1,,Thal.,#thal,71.0,MALE,no_annotation,no_annotation,no_annotation
102,102,GerDracor/kotzebue-pagenstreiche.xml,"Kommt, wir wollen ihn zurichten, daß er aussehen soll, wie eine Weihnachtspuppe, mit
              der die Kinder schon vier Wochen gespielt haben.",0,147,character_speech,1,1,,Berg.,#berg,72.0,MALE,no_annotation,no_annotation,no_annotation
103,103,GerDracor/kotzebue-pagenstreiche.xml,"Adieu, meine Damen!",0,19,character_speech,1,1,,Thal.,#thal,73.0,MALE,no_annotation,no_annotation,no_annotation
104,104,GerDracor/kotzebue-pagenstreiche.xml,Zupfen Sie nur indessen Charpie für ihren Pagen.,0,48,character_speech,1,1,,Busch.,#busch,74.0,MALE,no_annotation,no_annotation,no_annotation
105,105,GerDracor/kotzebue-pagenstreiche.xml,(Alle drey ab.),0,15,stage_direction,1,1,inner_speech,,#busch,74.0,MALE,no_annotation,no_annotation,no_annotation
106,106,GerDracor/kotzebue-pagenstreiche.xml,"Die drey Mädchen lauschen noch ein wenig, und laufen dann alle drey zum Schranke,
            den sie öffnen und den Pagen herausführen.",0,136,stage_direction,1,2,pre_speech,,,,,no_annotation,no_annotation,no_annotation
107,107,GerDracor/kotzebue-pagenstreiche.xml,"Haben wir es so recht gemacht, lieber Vetter?",0,45,character_speech,1,2,,Annliesch.,#annlieschen,75.0,FEMALE,no_annotation,no_annotation,no_annotation
108,108,GerDracor/kotzebue-pagenstreiche.xml,Allerliebst!,0,12,character_speech,1,2,,Page.,#page,76.0,MALE,joy,positive,emotions of pleasure
109,109,GerDracor/kotzebue-pagenstreiche.xml,"Ich möchte Sie alle drey dafür küssen – und ich weiß auch gar nicht,
              warum ich es aufschiebe?",13,120,character_speech,1,2,,Page.,#page,76.0,MALE,"admiration, reverence",positive,emotions of affection
110,110,GerDracor/kotzebue-pagenstreiche.xml,(Er will Eine nach der Andern umarmen.),0,39,stage_direction,1,2,inner_speech,,#page,76.0,MALE,no_annotation,no_annotation,no_annotation
111,111,GerDracor/kotzebue-pagenstreiche.xml,"Zurück, Wildfang!",0,17,character_speech,1,2,,Annliesch.,#annlieschen,77.0,FEMALE,no_annotation,no_annotation,no_annotation
112,112,GerDracor/kotzebue-pagenstreiche.xml,Hüten Sie sich!,0,15,character_speech,1,2,,Trudch.,#trudchen,78.0,FEMALE,fear,negative,emotions of anxiety
113,113,GerDracor/kotzebue-pagenstreiche.xml,Ich kratze Ihnen die Augen aus.,0,31,character_speech,1,2,,Kätch.,#kaetchen,79.0,FEMALE,anger,negative,emotions of rejection
114,114,GerDracor/kotzebue-pagenstreiche.xml,(bey Seite),0,11,stage_direction,1,2,speech_part,,#page,80.0,MALE,no_annotation,no_annotation,no_annotation
115,115,GerDracor/kotzebue-pagenstreiche.xml,Das heißt: wir sind nicht allein!,0,33,character_speech,1,2,,Page.,#page,80.0,MALE,joy,positive,emotions of pleasure
116,116,GerDracor/kotzebue-pagenstreiche.xml,(laut),0,6,stage_direction,1,2,inner_speech,,#page,80.0,MALE,no_annotation,no_annotation,no_annotation
117,117,GerDracor/kotzebue-pagenstreiche.xml," Aber, meine schönen Mühmchen,
              wie soll ich Ihnen meine Dankbarkeit ausdrücken?",0,93,character_speech,1,2,,Page.,#page,80.0,MALE,"admiration, reverence",positive,emotions of affection
118,118,GerDracor/kotzebue-pagenstreiche.xml,"– Ein Lord schenkt zuweilen, ein Poet
              macht Verse, ein Page küßt.",94,173,character_speech,1,2,,Page.,#page,80.0,MALE,no_annotation,no_annotation,no_annotation
119,119,GerDracor/kotzebue-pagenstreiche.xml,Denken Sie lieber auf Ihre Sicherheit!,0,38,character_speech,1,2,,Annliesch.,#annlieschen,81.0,FEMALE,no_annotation,no_annotation,no_annotation
