,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1367,TextGrid/-Der_niederlaendische_Bauer.xml,108406,108622,Hier wird ein Becher nach dem andern eingeschenckt / sie verzehlen sich allezeit / daß er von forne wieder anfangen muß / endlich bittet er man solle ihn verschonen / und er muß allzeit dran /biß er seine Hülffe hat.,negative,emotions of suffering,anger
1368,TextGrid/-Der_niederlaendische_Bauer.xml,108624,108764,Nu ich habe mein Frauenzimmer redlich gewehrt / wo ich heinte noch soll zu ihm gehn / so muß ich reiten / die Füsse werden mir gar ringlich.,negative,emotions of suffering,suffering
1369,TextGrid/-Der_niederlaendische_Bauer.xml,108766,108834,Ich will wohl gehn / und will beym Frauenzimmer ein Pferd bestellen.,positive,emotions of joy,joy
1370,TextGrid/-Der_niederlaendische_Bauer.xml,108836,108935,Du rede mir nicht / wenn die Fürsten meines gleichen gesoffen haben / so fange sie gerne Händel an.,negative,emotions of joy,Schadenfreude
1371,TextGrid/-Der_niederlaendische_Bauer.xml,108937,108983,Was hab ich denn gethan / das Händel verdient.,negative,emotions of suffering,suffering
1372,TextGrid/-Der_niederlaendische_Bauer.xml,108985,109043,Es mag mir einer thun was er will / so fang ich Händel an.,negative,emotions of joy,anger
1373,TextGrid/-Der_niederlaendische_Bauer.xml,109045,109101,Wir wollen hoffen / es wird nicht so böse gemeinet seyn.,negative,emotions of rejection,anger
1374,TextGrid/-Der_niederlaendische_Bauer.xml,109103,109158,Ich will euch wohl die böse Meynung weisen / ihr Hunde.,negative,emotions of rejection,anger
1375,TextGrid/-Der_niederlaendische_Bauer.xml,109159,109225,Denckt ihr nicht / daß ich von freyen Stücken kan Händel anfangen.,negative,emotions of rejection,anger
1376,TextGrid/-Der_niederlaendische_Bauer.xml,109226,109334,Packt euch aus meinem Gesichte / oder ich will mein Schwerd ausziehen / daß die gantze Stube erzittern soll.,negative,emotions of rejection,fear
1377,TextGrid/-Der_niederlaendische_Bauer.xml,109336,109431,Wenn wir gleichwohl einen blosen Degen sehn sollen / so thut doch / was ihr nicht lassen könnt.,negative,emotions of rejection,anger
1378,TextGrid/-Der_niederlaendische_Bauer.xml,109433,109497,Ich wils auch thun / seht ihr Hunde da steckt meine Grimmigkeit.,negative,emotions of rejection,anger
1379,TextGrid/-Der_niederlaendische_Bauer.xml,109539,109664,Er zeucht ein rauch Schwäntzgen an statt des Degens rauß / sie fangen alle überlaut an zu lachen / endlich lauffen sie davon.,positive,emotions of joy,Schadenfreude
1380,TextGrid/-Der_niederlaendische_Bauer.xml,109703,109722,"Mierten, der Bauer.",positive,emotions of rejection,anger
1381,TextGrid/-Der_niederlaendische_Bauer.xml,109723,109746,"Philippus, der Hertzog.",negative,emotional movement,admiration
1382,TextGrid/-Der_niederlaendische_Bauer.xml,109747,109770,"Wilhelm, Stall-Meister.",positive,emotions of rejection,anger
1383,TextGrid/-Der_niederlaendische_Bauer.xml,109771,109796,"Heinrich, Cammer-Juncker.",emotional movement,emotions of rejection,emotional movement
1384,TextGrid/-Der_niederlaendische_Bauer.xml,109797,109825,"Hernach Robert, Cammer-Herr.",positive,emotions of rejection,anger
1385,TextGrid/-Der_niederlaendische_Bauer.xml,109827,109859,Wo seyd ihr hin / ihr Rabenäser?,negative,emotions of rejection,emotional movement
1386,TextGrid/-Der_niederlaendische_Bauer.xml,109860,109914,Seht ihr / was ein Fürste für einen blossen Degen hat.,negative,emotions of rejection,"hate, disgust"
1387,TextGrid/-Der_niederlaendische_Bauer.xml,109915,110060,Nun ich muß noch weiter dran / den Tag muß ich noch einen Todschlag begehen / was wäre ich vor ein Fürste / wenn ich nicht Blut vergiessen könte.,negative,emotions of rejection,anger
1388,TextGrid/-Der_niederlaendische_Bauer.xml,110061,110146,"Rauß ihr Schelmen / ihr Diebe rauß /  
                                        kömmt.",negative,emotions of rejection,anger
1389,TextGrid/-Der_niederlaendische_Bauer.xml,110148,110172,Wie stehts guter Freund?,positive,emotions of affection,emotional movement
1390,TextGrid/-Der_niederlaendische_Bauer.xml,110173,110252,Die Gasterey wird gewiß mit einer scharffen Gesundheit seyn beschlossen worden.,negative,emotions of rejection,joy
1391,TextGrid/-Der_niederlaendische_Bauer.xml,110254,110267,Wer seyd ihr?,negative,emotional movement,emotional movement
1392,TextGrid/-Der_niederlaendische_Bauer.xml,110269,110316,Herr Fürste / könnt ihr euren Wohlthäter nicht?,negative,emotions of affection,suffering
1393,TextGrid/-Der_niederlaendische_Bauer.xml,110318,110438,Ich thäte was auff meinen Wohlthäter / ich gehe rum und suche Händel / wer mir keine zuweisen will / der ist mein Feind.,negative,emotions of rejection,anger
1394,TextGrid/-Der_niederlaendische_Bauer.xml,110440,110477,Mit uns wird niemand Händel anfangen.,negative,emotions of rejection,anger
1395,TextGrid/-Der_niederlaendische_Bauer.xml,110479,110546,Warum nicht / ihr seyd mir auch wohl nicht zu hoch geschoren darzu.,negative,emotions of affection,emotional movement
1396,TextGrid/-Der_niederlaendische_Bauer.xml,110548,110603,Sachte sachte / die Kurtzweile will zu Hofe raum haben.,negative,emotions of affection,emotional movement
1397,TextGrid/-Der_niederlaendische_Bauer.xml,110605,110609,Was?,emotional movement,emotional movement,emotional movement
1398,TextGrid/-Der_niederlaendische_Bauer.xml,110610,110901,Wer soll mir befehlen / daß ich sachte rede / soll ich meine helle Stimme verläugnen / Heysa sa sa sa sa / das geschieht dir zum Bravade / und willstu es nicht leiden / so will ich die Stücke von meinen fünff Fingern unter die Nase reiben / daß dir die Rede auff vierzehn Tage vergehen soll.,positive,emotions of rejection,joy
1399,TextGrid/-Der_niederlaendische_Bauer.xml,110903,110991,Der Kerle ist fertig / das Spiel ist aus / wo sind unsere Bediente die ihn fortschaffen?,negative,emotions of fear,suffering
1400,TextGrid/-Der_niederlaendische_Bauer.xml,110993,111068,Sie kommen alle heraus / er will sich nicht geben / sie schleppen ihn fort.,negative,emotions of rejection,suffering
1401,TextGrid/-Der_niederlaendische_Bauer.xml,111070,111205,Das Volck ist zur Arbeit geschaffen / und wenn es nur einen Tag von dieser Intention abweichet / so gehet das Uhrwerck schon unrichtig.,negative,emotions of rejection,anger
1402,TextGrid/-Der_niederlaendische_Bauer.xml,111207,111401,Wenn es so viel zu essen hat / als zur täglichen Nothdurfft erfordert wird / so ists am frömsten / und wenn es solchen Tranck geneust der nicht viel in die Köpffe steigt / so ist er am klügsten.,positive,emotions of joy,joy
1403,TextGrid/-Der_niederlaendische_Bauer.xml,111403,111566,GOtt hätte so leicht seiner Allmacht nach / die Flüsse mit Weine füllen können / doch bey so bestallten Sachen / müsten wir vor den Bauern aus der Welt entlauffen.,negative,emotions of rejection,Schadenfreude
1404,TextGrid/-Der_niederlaendische_Bauer.xml,111568,111684,Das unverworrene Volck ist der Conversation nicht gewohnet / also muß der Trunck zu unhöfflichen Possen Anlaß geben.,negative,emotions of joy,anger
1405,TextGrid/-Der_niederlaendische_Bauer.xml,111686,111788,Sie sind zu unverständig / und halten das vor keine Sünde / welches bey uns sehr übel ausgeleget wird.,negative,emotions of rejection,"hate, disgust"
1406,TextGrid/-Der_niederlaendische_Bauer.xml,111790,111950,Ich halte davor / sie sind zu ehrlich / sie gedencken der Affect / der im Hertzen verborgen liegt / der muß auch alsobald im euserlichen Wercke gewiesen werden.,negative,emotions of rejection,anger
1407,TextGrid/-Der_niederlaendische_Bauer.xml,111952,112195,Der Discurs wäre von grossen Nachdencken / ich möchte fast daher also raisoniren: Wir sind alle Bauern; Doch welcher den Bauer im Hertzen verbergen kan / daß er nicht an das Tage-Licht kommen kan / der wird ein qvalificirter Hoffmann genennet.,negative,emotions of rejection,anger
1408,TextGrid/-Der_niederlaendische_Bauer.xml,112197,112417,Das ist gewiß / wir sehen es an unser Jugend / was sie offtermahls bey der geringen Debauche vor ungeschickte Händel vornimmt / da hingegen ein alter Practicus sein Gläßgen Wein mit besserer Geschickligkeit gemessen kan.,negative,emotions of rejection,anger
1409,TextGrid/-Der_niederlaendische_Bauer.xml,112419,112570,In allen Dingen muß die Ubung was ausrichten / wer in voller weise manches mahl zu Schaden kömmt / der weiß sich mit der Zeit besser in acht zu nehmen.,positive,emotions of rejection,anger
1410,TextGrid/-Der_niederlaendische_Bauer.xml,112572,112635,Und diese vernunfftmäßige Reden haben wir den Bauer zu dancken.,negative,emotions of rejection,anger
1411,TextGrid/-Der_niederlaendische_Bauer.xml,112637,112842,Gnädigster Herr / muß doch ein Mensch offmahls von unvernünfftigen Thieren was lernen / warumb soll man sich allezeit eines Lehrmeisters schämen / der gleich unter die vernünfftigen Menschen gezehlet wird.,negative,emotions of rejection,anger
1412,TextGrid/-Der_niederlaendische_Bauer.xml,112844,112972,Und ein Fürste braucht in seinem Lande allemahl mehr solche Bauern / als andere / von dem sich die Bauern sollen vexiren lassen.,negative,emotions of rejection,"hate, disgust"
1413,TextGrid/-Der_niederlaendische_Bauer.xml,112974,113030,Ein grosser Fisch braucht zu seiner Nahrung viel kleine.,negative,emotions of rejection,"hate, disgust"
1414,TextGrid/-Der_niederlaendische_Bauer.xml,113032,113088,Ein Baum hat mehr unnütze Blätter als kräfftige Früchte.,negative,emotions of rejection,"hate, disgust"
1415,TextGrid/-Der_niederlaendische_Bauer.xml,113090,113158,Im Gold-Ertzte findet man mehr geringe Schlacken als rechtes Metall.,negative,emotions of suffering,"hate, disgust"
1416,TextGrid/-Der_niederlaendische_Bauer.xml,113160,113278,Wir freuen uns auff den morgenden Tag / da müssen wir sehen / daß der Bauer den Traum in unser Gegenwart erzehlen muß.,negative,emotions of joy,joy
