,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
325,GerDracor/lenz-der-hofmeister.xml,27978,28023,"verzeihen Sie, daß ich sie gestern aussetzte.",negative,emotions of suffering,suffering
326,GerDracor/lenz-der-hofmeister.xml,28024,28146,"Es war mir
              wahrhaftig unmöglich zu zeichnen; ich hatte den Schnuppen auf eine erstaunende
              Art.",emotional movement,emotions of joy,emotional movement
327,GerDracor/lenz-der-hofmeister.xml,28147,28187,So werden Sie ihn wohl heute noch haben.,positive,emotions of joy,love
328,GerDracor/lenz-der-hofmeister.xml,28188,28230,"Ich denke, wir hören ganz auf zu zeichnen.",negative,emotions of suffering,anger
329,GerDracor/lenz-der-hofmeister.xml,28245,28282,Es macht Ihnen kein Vergnügen länger.,positive,emotions of joy,joy
330,GerDracor/lenz-der-hofmeister.xml,28283,28295,halbweinend.,positive,emotions of suffering,suffering
331,GerDracor/lenz-der-hofmeister.xml,28296,28335,"Wie können Sie das sagen, Herr Läuffer?",emotional movement,emotional movement,emotional movement
332,GerDracor/lenz-der-hofmeister.xml,28336,28377,"Es ist das einzige, was ich mit Lust tue.",positive,emotions of joy,joy
333,GerDracor/lenz-der-hofmeister.xml,28378,28478,"Oder Sie versparen es bis auf den Winter in die Stadt und nehmen einen
              Zeichenmeister.",negative,emotions of rejection,anger
334,GerDracor/lenz-der-hofmeister.xml,28479,28632,"Überhaupt werd ich Ihren Herrn Vater bitten, den Gegenstand Ihres
              Abscheues, Ihres Hasses, Ihrer ganzen Grausamkeit von Ihnen zu entfernen.",negative,emotions of rejection,"hate, disgust"
335,GerDracor/lenz-der-hofmeister.xml,28633,28753,"Ich sehe
              doch, daß es Ihnen auf die Länge unausstehlich wird, von mir Unterricht
              anzunehmen.",negative,emotions of rejection,anger
336,GerDracor/lenz-der-hofmeister.xml,28754,28926,"Herr Läuffer – Lassen Sie mich – Ich muß sehen, wie ich das elende Leben zu Ende bringe, weil mir
              doch der Tod verboten ist – Herr Läuffer – Sie foltern mich.",negative,emotions of fear,suffering
337,GerDracor/lenz-der-hofmeister.xml,28927,28956,– Reißt sich los und geht ab.,negative,emotions of rejection,anger
338,GerDracor/lenz-der-hofmeister.xml,28957,28976,Wie dauert er mich!,negative,emotions of suffering,emotional movement
339,GerDracor/lenz-der-hofmeister.xml,28977,28997,Zu Halle in Sachsen.,negative,emotional movement,suffering
340,GerDracor/lenz-der-hofmeister.xml,28998,29012,Pätus' Zimmer.,emotional movement,emotions of rejection,emotional movement
341,GerDracor/lenz-der-hofmeister.xml,29013,29028,Fritz von Berg.,emotional movement,emotions of rejection,emotional movement
342,GerDracor/lenz-der-hofmeister.xml,29029,29073,"Pätus, im Schlafrock an einem Tisch sitzend.",negative,emotions of suffering,suffering
343,GerDracor/lenz-der-hofmeister.xml,29074,29086,Ei was Berg!,emotional movement,emotions of rejection,emotional movement
