,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1299,GerDracor/lenz-der-hofmeister.xml,104917,104946,Mach das gute Kind nicht rot.,negative,emotions of affection,compassion
1300,GerDracor/lenz-der-hofmeister.xml,104947,105035,"Sie werden ihn in Leipzig oft genug müssen gesehen
              haben, den bösen Buben.",negative,emotions of rejection,anger
1301,GerDracor/lenz-der-hofmeister.xml,105036,105080,"Gustchen, du wirst zur Gesellschaft mit rot?",negative,emotions of suffering,emotional movement
1302,GerDracor/lenz-der-hofmeister.xml,105081,105115,"Er verdient's
              nicht.",negative,emotions of suffering,compassion
1303,GerDracor/lenz-der-hofmeister.xml,105116,105219,"Da mein Vater mir vergeben hat, sollte Ihr Sohn ein minder gütiges Herz bei Ihnen
              finden?",positive,emotions of affection,admiration
1304,GerDracor/lenz-der-hofmeister.xml,105220,105264,Er ist auch noch in keinen Teich gesprungen.,negative,emotions of affection,Schadenfreude
1305,GerDracor/lenz-der-hofmeister.xml,105265,105426,"Wenn wir nur das blinde Weib mit dem Kinde ausfündig gemacht hätten, von dem mir der
              Schulmeister schreibt; eh kann ich nicht ruhig werden – Kommt!",negative,emotions of suffering,suffering
1306,GerDracor/lenz-der-hofmeister.xml,105427,105472,"ich muß noch heut auf
              mein Gut.",negative,emotions of rejection,anger
1307,GerDracor/lenz-der-hofmeister.xml,105473,105492,Daraus wird nichts.,negative,emotions of suffering,suffering
1308,GerDracor/lenz-der-hofmeister.xml,105493,105534,Du mußt die Nacht in Insterburg schlafen.,negative,emotions of rejection,anger
1309,GerDracor/lenz-der-hofmeister.xml,105535,105543,Leipzig.,emotional movement,emotions of rejection,emotional movement
1310,GerDracor/lenz-der-hofmeister.xml,105544,105557,Bergs Zimmer.,emotional movement,emotional movement,emotional movement
1311,GerDracor/lenz-der-hofmeister.xml,105558,105610,"Fritz von Berg sitzt, die Hand untern Kopf gestützt.",emotional movement,emotional movement,suffering
1312,GerDracor/lenz-der-hofmeister.xml,105611,105631,Pätus stürzt herein.,emotional movement,emotional movement,emotional movement
1313,GerDracor/lenz-der-hofmeister.xml,105632,105645,Triumph Berg!,positive,emotions of joy,joy
1314,GerDracor/lenz-der-hofmeister.xml,105646,105665,Was kalmäuserst du?,negative,emotions of rejection,anger
1315,GerDracor/lenz-der-hofmeister.xml,105666,105673,– Gott!,negative,emotions of fear,fear
1316,GerDracor/lenz-der-hofmeister.xml,105674,105679,Gott!,negative,emotions of fear,fear
1317,GerDracor/lenz-der-hofmeister.xml,105681,105744,"Greift sich an den Kopf und
                fällt auf die Knie.",negative,emotions of suffering,admiration
1318,GerDracor/lenz-der-hofmeister.xml,105745,105769,Springt auf und schreit.,negative,emotions of fear,fear
1319,GerDracor/lenz-der-hofmeister.xml,105770,105794,Bist du närrisch worden?,negative,emotions of rejection,"hate, disgust"
1320,GerDracor/lenz-der-hofmeister.xml,105795,105859,zieht einen Beutel mit Gold hervor und wirft alles auf die Erde.,positive,emotions of joy,joy
1321,GerDracor/lenz-der-hofmeister.xml,105860,105882,Da ist meine Narrheit.,negative,emotions of rejection,"hate, disgust"
1322,GerDracor/lenz-der-hofmeister.xml,105883,106012,"Du bist ein Narr mit deinem Unglauben – Nun hilf auflesen;
              buck dich etwas – und heut noch nach Insterburg, juchhe!",negative,emotions of rejection,anger
1323,GerDracor/lenz-der-hofmeister.xml,106014,106024,Lesen auf.,positive,emotional movement,suffering
1324,GerDracor/lenz-der-hofmeister.xml,106025,106036,Die Schule.,negative,emotions of suffering,emotional movement
1325,GerDracor/lenz-der-hofmeister.xml,106037,106048,Wenzeslaus.,positive,emotions of rejection,emotional movement
1326,GerDracor/lenz-der-hofmeister.xml,106049,106057,Läuffer.,negative,emotions of joy,emotional movement
1327,GerDracor/lenz-der-hofmeister.xml,106058,106086,Beide in schwarzen Kleidern.,positive,emotional movement,suffering
1328,GerDracor/lenz-der-hofmeister.xml,106087,106129,"Wie hat Ihm die Predigt gefallen, Kollege!",positive,emotions of joy,joy
1329,GerDracor/lenz-der-hofmeister.xml,106130,106153,Wie hat Er sich erbaut?,negative,emotional movement,emotional movement
1330,GerDracor/lenz-der-hofmeister.xml,106154,106169,"Gut, recht gut.",positive,emotions of joy,joy
1331,GerDracor/lenz-der-hofmeister.xml,106170,106177,Seufzt.,negative,emotions of suffering,suffering
1332,GerDracor/lenz-der-hofmeister.xml,106178,106231,nimmt seine Perücke ab und setzt eine Nachtmütze auf.,positive,emotions of suffering,suffering
1333,GerDracor/lenz-der-hofmeister.xml,106232,106261,Damit ist's nicht ausgemacht.,positive,emotions of joy,anger
1334,GerDracor/lenz-der-hofmeister.xml,106262,106370,"Er soll mir sagen, welche Stelle aus der Predigt
              vorzüglich gesegnet an Seinem Herzen gewesen.",positive,emotions of affection,love
1335,GerDracor/lenz-der-hofmeister.xml,106371,106393,Hör Er – setz Er sich.,negative,emotions of rejection,emotional movement
1336,GerDracor/lenz-der-hofmeister.xml,106394,106498,"Ich muß Ihm was
              sagen; ich hab eine Anmerkung in der Kirche gemacht, die mich gebeugt hat.",negative,emotions of suffering,suffering
1337,GerDracor/lenz-der-hofmeister.xml,106499,106701,"Er hat mir
              da so wetterwendisch gesessen, daß ich mich Seiner, die Wahrheit zu sagen, vor der
              ganzen Gemeine geschämt habe und dadurch oft fast aus meinem Konzept kommen bin.",negative,emotions of rejection,"hate, disgust"
1338,GerDracor/lenz-der-hofmeister.xml,106702,106845,"Wie,
              dacht ich, dieser junge Kämpfer, der so ritterlich  Ich muß bekennen, es hing ein Gemälde dort, das mich ganz zerstreut hat.",emotional movement,emotional movement,emotional movement
1339,GerDracor/lenz-der-hofmeister.xml,106846,107078,"Der
              Evangelist Markus mit einem Gesicht, das um kein Haar menschlicher aussah als der
              Löwe, der bei ihm saß, und der Engel beim Evangelisten Matthäus eher einer geflügelten
              Schlange ähnlich.",positive,emotions of affection,"hate, disgust"
1340,GerDracor/lenz-der-hofmeister.xml,107079,107109,"Es war nicht das, mein Freund!",positive,emotions of affection,joy
1341,GerDracor/lenz-der-hofmeister.xml,107110,107152,bild Er mir's nicht ein; es war nicht das.,positive,emotions of suffering,joy
1342,GerDracor/lenz-der-hofmeister.xml,107153,107249,"Sag Er mir
              doch, ein Bild sieht man an und sieht wieder weg, und dann ist's alles.",negative,emotions of rejection,suffering
1343,GerDracor/lenz-der-hofmeister.xml,107250,107304,"Hat Er denn
              gehört, was ich gesagt habe?",emotional movement,emotional movement,anger
1344,GerDracor/lenz-der-hofmeister.xml,107305,107377,"Weiß Er mir Ein Wort aus meiner Predigt wieder
              anzuführen?",negative,emotional movement,emotional movement
1345,GerDracor/lenz-der-hofmeister.xml,107378,107439,Und sie war doch ganz für Ihn gehalten; ganz kasuistisch – O!,positive,emotions of affection,love
1346,GerDracor/lenz-der-hofmeister.xml,107440,107442,o!,negative,emotional movement,emotional movement
1347,GerDracor/lenz-der-hofmeister.xml,107443,107445,o!,negative,emotional movement,emotional movement
1348,GerDracor/lenz-der-hofmeister.xml,107446,107891,"Der Gedanke gefiel mir vorzüglich, daß zwischen unsrer Seele und ihrer Wiedergeburt
              und zwischen dem Flachs- und Hanfbau eine große Ähnlichkeit herrsche, und so wie der
              Hanf im Schneidebrett durch heftige Stöße und Klopfen von seiner alten Hülse befreit
              werden müsse, so müsse unser Geist auch durch allerlei Kreuz und Leiden und Ertötung
              der Sinnlichkeit für den Himmel zubereitet werden.",positive,emotions of joy,joy
1349,GerDracor/lenz-der-hofmeister.xml,107892,108253,"Er war kasuistisch, mein Freund – Doch kann ich Ihnen auch nicht bergen, daß Ihre Liste von Teufeln, die aus dem Himmel
              gejagt worden, und die Geschichte der ganzen Revolution da, daß Luzifer sich für den
              schönsten gehalten – Die heutige Welt ist über den Aberglauben längst hinweg; warum
              will man ihn wieder aufwärmen.",negative,emotions of rejection,"hate, disgust"
1350,GerDracor/lenz-der-hofmeister.xml,108254,108399,"In der ganzen heutigen vernünftigen Welt wird kein
              Teufel mehr statuiert – Darum wird auch die ganze heutige vernünftige  Das Bild.",negative,emotional movement,"hate, disgust"
1351,GerDracor/lenz-der-hofmeister.xml,108400,108526,"Es war nicht das Bild – Dort unten, wo die Mädchen sitzen, die bei ihm in die
              Kinderlehre gehen – Lieber Freund!",positive,emotions of suffering,suffering
1352,GerDracor/lenz-der-hofmeister.xml,108527,108579,es wird doch nichts vom alten Sauerteig  Umarmt ihn.,positive,emotions of joy,joy
1353,GerDracor/lenz-der-hofmeister.xml,108580,108588,Geht ab.,negative,emotions of rejection,emotional movement
1354,GerDracor/lenz-der-hofmeister.xml,108589,108646,"Läuffer bleibt in tiefen
                Gedanken sitzen.",emotional movement,emotional movement,suffering
1355,GerDracor/lenz-der-hofmeister.xml,108647,108722,"Lise tritt herein, ein Gesangbuch in der Hand, ohne daß er sie gewahr wird.",positive,emotional movement,emotional movement
1356,GerDracor/lenz-der-hofmeister.xml,108723,108773,"Sie
            sieht ihm lang stillschweigend zu.",emotional movement,emotional movement,emotional movement
1357,GerDracor/lenz-der-hofmeister.xml,108774,108867,"Er springt auf, will knien; wird sie gewahr und sieht
            sie eine Weile verwirrt an.",emotional movement,emotional movement,emotional movement
1358,GerDracor/lenz-der-hofmeister.xml,108868,108884,nähert sich ihr.,negative,emotions of rejection,fear
1359,GerDracor/lenz-der-hofmeister.xml,108885,108925,Du hast eine Seele dem Himmel gestohlen.,negative,emotions of suffering,despair
1360,GerDracor/lenz-der-hofmeister.xml,108927,108948,Faßt sie an die Hand.,positive,emotions of suffering,emotional movement
1361,GerDracor/lenz-der-hofmeister.xml,108949,109164,"Ich komme, Herr Mandel – Ich komme, weil Sie gesagt haben, es würd morgen keine
              Kinderlehr – weil Sie – so komm ich – gesagt haben – Ich komme, zu fragen, ob morgen
              Kinderlehre sein wird.",emotional movement,emotional movement,emotional movement
1362,GerDracor/lenz-der-hofmeister.xml,109165,109169,Ach!,negative,emotions of suffering,suffering
