,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
423,GerDracor/hippel-der-mann-nach-der-uhr.xml,25617,25750,"Und nur vor einigen Tagen sagte ich zu meinen auditoribus mitten in der Stunde:
            Commilitiones generosi atque nobilissimi!",positive,emotions of affection,admiration
424,GerDracor/hippel-der-mann-nach-der-uhr.xml,25751,25764,mir ist übel!,negative,emotions of suffering,suffering
425,GerDracor/hippel-der-mann-nach-der-uhr.xml,25765,25911,"und schafte mir dadurch
            Gelegenheit, die guten Gedanken zu Papier zu bringen, die mir während dem Lesen
            eingefallen waren.",positive,emotions of joy,joy
426,GerDracor/hippel-der-mann-nach-der-uhr.xml,25912,25978,"Bei uns Gelehrten ist es am besten, wenn man schwarz auf weiß hat.",negative,emotions of rejection,joy
427,GerDracor/hippel-der-mann-nach-der-uhr.xml,25991,26144,"Memoria est labilis – Doch Sie scheinen beschäftigt zu seyn, lieber Herr Orbil – Man
            kann es Ihnen ansehen – Lassen Sie uns ad rem schreiten.",negative,emotions of suffering,emotional movement
428,GerDracor/hippel-der-mann-nach-der-uhr.xml,26145,26271,"Wenn ich erst meinen Endzweck
            erhalte: so kommt mein Vetter mit der Zeit auch wohl auf andere Gedanken – vor sich.",negative,emotions of suffering,anger
429,GerDracor/hippel-der-mann-nach-der-uhr.xml,26272,26293,Ich habe gnug gehört!,negative,emotions of rejection,anger
430,GerDracor/hippel-der-mann-nach-der-uhr.xml,26294,26350,"Himmel, ist denn gar kein ordentlicher Mann in der Welt?",emotional movement,emotional movement,emotional movement
431,GerDracor/hippel-der-mann-nach-der-uhr.xml,26351,26363,Die Vorigen.,positive,emotions of rejection,emotional movement
432,GerDracor/hippel-der-mann-nach-der-uhr.xml,26364,26375,Wilhelmine.,emotional movement,emotional movement,emotional movement
433,GerDracor/hippel-der-mann-nach-der-uhr.xml,26376,26413,"Es hat geschlagen, lieber Herr Vater.",negative,emotions of suffering,suffering
434,GerDracor/hippel-der-mann-nach-der-uhr.xml,26414,26423,zu Orbil.,emotional movement,emotional movement,suffering
435,GerDracor/hippel-der-mann-nach-der-uhr.xml,26424,26570,"Die Jungfer Tochter – ohnfehlbar der Gegenstand –  Zieht sich ein Paar weiße
              Handschuh auf, hustet und bereitet sich pedantisch vor.",negative,emotions of suffering,suffering
436,GerDracor/hippel-der-mann-nach-der-uhr.xml,26571,26580,Vor sich.,negative,emotions of suffering,suffering
437,GerDracor/hippel-der-mann-nach-der-uhr.xml,26581,26588,Zu ihr.,negative,emotions of suffering,love
438,GerDracor/hippel-der-mann-nach-der-uhr.xml,26589,26606,"verlegen, zu ihm.",negative,emotional movement,emotional movement
439,GerDracor/hippel-der-mann-nach-der-uhr.xml,26607,26676,"Was ich Ihnen sagen will, lieber Herr Magister, und also – –  Zu ihr.",negative,emotional movement,emotional movement
440,GerDracor/hippel-der-mann-nach-der-uhr.xml,26677,26686,vor sich.,negative,emotions of suffering,suffering
441,GerDracor/hippel-der-mann-nach-der-uhr.xml,26687,26822,"Das ist mir alles bis auf die weißen Handschue und den lateinschen Scharfuß des guten
            Pedanten, ein unauflößliches Räthsel.",negative,emotions of rejection,anger
442,GerDracor/hippel-der-mann-nach-der-uhr.xml,26824,26875,"Zu ihnen beyden mit einer
              Verbeugung.",positive,emotions of affection,admiration
443,GerDracor/hippel-der-mann-nach-der-uhr.xml,26876,26919,"Ohne Umstände meine Tochter, ohne Umstände.",negative,emotional movement,love
444,GerDracor/hippel-der-mann-nach-der-uhr.xml,26921,26933,Zu Lisetten.,positive,emotions of affection,emotional movement
445,GerDracor/hippel-der-mann-nach-der-uhr.xml,26934,26941,zu ihm.,negative,emotional movement,suffering
446,GerDracor/hippel-der-mann-nach-der-uhr.xml,26942,26951,Ich gehe.,negative,emotions of fear,fear
447,GerDracor/hippel-der-mann-nach-der-uhr.xml,26953,26962,Vor sich.,negative,emotions of suffering,suffering
448,GerDracor/hippel-der-mann-nach-der-uhr.xml,26963,26972,Sie geht.,negative,emotional movement,suffering
