,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1975,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,87897,88009,"Etwas Außerordentliches mag es auch sein, das den Kronprinzen von Genua zu seiner
              Schwester führt?",positive,emotional movement,emotional movement
1976,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88010,88091,"Schwester, bist du doch stets von Schmetterlingen umschwärmt, und ich von Wespen.",positive,emotions of affection,joy
1977,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88092,88124,"Wer
              kann abkommen?",negative,emotions of fear,fear
1978,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88125,88140,Setzen wir uns.,emotional movement,emotional movement,emotional movement
1979,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88141,88172,Du machst mich bald ungeduldig.,negative,emotions of rejection,anger
1980,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88173,88234,"Schwester, wann wars das letztemal, daß dich Fiesco besuchte?",positive,emotions of affection,emotional movement
1981,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88235,88243,Seltsam.,emotional movement,emotional movement,emotional movement
1982,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88244,88303,Als wenn mein Gehirn dergleichen Nichtigkeiten beherbergte!,negative,emotions of rejection,"hate, disgust"
1983,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88304,88331,Ich muß es durchaus wissen.,negative,emotions of rejection,anger
1984,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88332,88356,Nun – er war gestern da.,positive,emotions of affection,joy
1985,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88357,88389,Und zeigte sich  Wie gewöhnlich.,positive,emotions of affection,anger
1986,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88390,88420,Auch noch der alte  beleidigt.,negative,emotions of rejection,anger
1987,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88421,88428,Bruder!,positive,emotions of affection,emotional movement
1988,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88429,88449,mit stärkrer Stimme.,emotional movement,emotions of suffering,anger
1989,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88450,88455,Höre!,positive,emotions of rejection,joy
1990,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88456,88484,Auch noch der alte Phantast?,negative,emotions of rejection,"hate, disgust"
1991,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88485,88507,steht aufgebracht auf.,negative,emotions of rejection,anger
1992,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88508,88538,"Wofür halten Sie mich, Bruder?",emotional movement,emotional movement,emotional movement
1993,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88539,88562,"bleibt sitzen, hämisch.",negative,emotions of rejection,anger
1994,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88563,88637,"Für ein Stück Weiberfleisch, in einen großen – großen Adelbrief gewickelt.",positive,emotions of rejection,"hate, disgust"
1995,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88638,88702,"Unter uns,
              Schwester, weil doch niemand auflauert.",positive,emotions of affection,suffering
1996,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88703,88710,hitzig.,negative,emotions of rejection,anger
1997,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88711,88846,"Unter uns – Sie sind ein tolldreister Affe, der auf dem Kredit seines Onkels
              steckenreitet – Weil doch niemand auflauert.",negative,emotions of rejection,anger
1998,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88847,88861,Schwesterchen!,positive,emotional movement,emotional movement
1999,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88862,88876,Schwesterchen!,positive,emotional movement,emotional movement
2000,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88877,88963,"Nicht böse – Ich bin nur lustig, weil Fiesco noch der
              alte Phantast ist.",positive,emotions of joy,Schadenfreude
2001,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88964,88990,Das hab ich wissen wollen.,negative,emotional movement,anger
2002,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,88991,89004,Empfehl mich.,positive,emotions of affection,joy
2003,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,89006,89031,"Will
              gehen.",negative,emotions of fear,fear
2004,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,89032,89047,Lomellin kommt.,emotional movement,emotional movement,emotional movement
2005,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,89048,89072,küßt der Julia die Hand.,positive,emotions of affection,admiration
2006,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,89073,89121,"Verzeihung für meine Dreustigkeit, gnädige Frau.",negative,emotions of joy,emotional movement
2007,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,89123,89162,"Zum Gianettino
                gekehrt.",positive,emotions of affection,suffering
2008,GerDracor/schiller-die-verschwoerung-des-fiesco-zu-genua.xml,89163,89182,nimmt ihn beiseite.,emotional movement,emotional movement,emotional movement
