,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
0,CATMA_652231A1-51A5-49AA-B87E-97AF38C60EA5,CATMA_77C9A62D-B159-4998-B464-DB87EC9E4D36,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,diese Betrübnis,2,1341,1356,LSch,Nicht-Charakter
1,CATMA_15503CE9-1A53-4049-86ED-1ED55B377D69,CATMA_77C9A62D-B159-4998-B464-DB87EC9E4D36,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,ich ,1,1497,1501,LSch,MALE
2,CATMA_7ECE71DE-BEAB-4DDC-8D9F-D6442C67FE9A_0,CATMA_D7373956-0BBB-4324-BB3C-C635DED58400,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen des Leids,Leid,daß er in seiner Jugend ein Bösewicht war,8,1997,2038,LSch,Nicht-Charakter
3,CATMA_C51EE836-D512-4C30-9020-FF68E7EF720D_0,CATMA_D7373956-0BBB-4324-BB3C-C635DED58400,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,ich ,1,2097,2101,LSch,MALE
4,CATMA_B0656960-4F54-4D7C-A028-2D2B01A38A23,CATMA_929472F1-F37A-4FAB-B658-B85196337803,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,single,negativ,negativ,Emotionen des Leids,Leid,die Unglücklichen,2,2427,2444,LSch,unpersönlich
5,CATMA_80332C87-13A4-4B76-A3D1-9630E273A035,CATMA_929472F1-F37A-4FAB-B658-B85196337803,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Zustand,single,negativ,negativ,Emotionen des Leids,Leid,die Zähre des Elends,4,2494,2514,LSch,Nicht-Charakter
6,CATMA_929472F1-F37A-4FAB-B658-B85196337803,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,robert,single,negativ,negativ,Emotionen des Leids,Leid,"Auf die Unglücklichen, denen du in deinen
              weisern Jahren die Zähre des Elends abgetrocknet hast",16,2423,2532,LSch,MALE
7,CATMA_F57E65A9-8326-4D3E-9EF3-6F4451B5A585,CATMA_C9CC31D6-9B34-4534-A852-19D619590A22,Explizite_Source:_Experiencer,source,Experiencer,explicit,willhelm,single,negativ,negativ,Emotionen des Leids,Leid,mir ,1,2648,2652,LSch,MALE
8,CATMA_0C6AD6BE-5B80-48CB-9A9A-98C9AB0D461B,CATMA_C9CC31D6-9B34-4534-A852-19D619590A22,Explizites_Target:_Charakter,target,Charakter,explicit,lucie,single,negativ,negativ,Emotionen des Leids,Leid,diesen Namen,2,2652,2664,LSch,FEMALE
9,CATMA_DD742B1E-3E00-42E3-A96A-BA2EF6D62914,CATMA_079118DB-A34B-49BB-8B6F-3F3CE548424B,Explizite_Source:_Experiencer,source,Experiencer,explicit,lucie,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,die ,1,2771,2775,LSch,FEMALE
