,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
365,GerDracor/andre-der-comoedienfeind.xml,24693,24714,Ihr Zorn tödtet mich.,negative,emotions of rejection,anger
366,GerDracor/andre-der-comoedienfeind.xml,24715,24758,"Stosen Sie mich nicht von
            sich.",negative,emotions of fear,fear
367,GerDracor/andre-der-comoedienfeind.xml,24759,24807,Ich verlange nur ledig und bey Ihnen zu bleiben!,negative,emotions of affection,love
368,GerDracor/andre-der-comoedienfeind.xml,24808,24812,Ach!,negative,emotions of suffering,suffering
369,GerDracor/andre-der-comoedienfeind.xml,24813,24823,Ha Barbar!,negative,emotions of rejection,anger
370,GerDracor/andre-der-comoedienfeind.xml,24824,24934,"(In Damons Herzen streitet die väterliche Liebe mit der Geldbegierde, er steht
            unentschlossen da.)",emotional movement,emotional movement,emotional movement
371,GerDracor/andre-der-comoedienfeind.xml,24935,25056,"(welcher meynt, Damon merke auf ihn, spricht:) Hier ist eine Stelle, die mir besonders wohl gefällt; geben sie wohl acht.",positive,emotions of affection,joy
372,GerDracor/andre-der-comoedienfeind.xml,25058,25084,"(Er
              lieset.)",negative,emotional movement,emotional movement
373,GerDracor/andre-der-comoedienfeind.xml,25085,25153,"(Er sieht daß Damon nicht auf ihn merket, und ruft:) Was zum Henker!",emotional movement,emotional movement,emotional movement
374,GerDracor/andre-der-comoedienfeind.xml,25154,25194,will denn niemand auf mich achtunggeben!,positive,emotions of rejection,anger
375,GerDracor/andre-der-comoedienfeind.xml,25195,25240,(wirft sich nochmals vor ihrem Vater nieder.),negative,emotions of suffering,suffering
376,GerDracor/andre-der-comoedienfeind.xml,25241,25270,Ach allerliebster Herr Vater!,positive,emotions of joy,joy
377,GerDracor/andre-der-comoedienfeind.xml,25271,25304,(wirft sich auch vor ihm nieder.),negative,emotions of suffering,suffering
378,GerDracor/andre-der-comoedienfeind.xml,25305,25334,Ach allerliebster Herr Damon!,positive,emotions of joy,joy
