,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
672,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",50639,50685,Es wird der Baur an statt des Printzen kommen.,negative,emotions of rejection,anger
673,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",50727,50736,Heimlich.,negative,emotions of rejection,emotional movement
674,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",50778,50813,Es öffnet sich Atis Schlaff Gemach.,emotional movement,emotional movement,emotional movement
675,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",50852,50867,Atis in Fürstl.,positive,emotions of joy,admiration
676,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",50868,50921,"Kleidung / Halimacus, Eliates, Orsanes und Hoffleute.",positive,emotional movement,emotional movement
677,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",50922,50940,Da ist der Printz.,positive,emotions of rejection,emotional movement
678,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",50941,50965,Der Baur den ich erhebe.,negative,emotions of affection,admiration
679,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51007,51016,Heimlich.,negative,emotions of rejection,emotional movement
680,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51061,51073,Atis (ALLE.),emotional movement,emotional movement,emotional movement
681,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51118,51208,"Atis 
                                        Atis stellet sich freundlich gegen jedweden.",positive,emotions of affection,joy
682,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51250,51255,Aria.,emotional movement,emotional movement,emotional movement
683,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51256,51590,"Weils dem Himmel so gefällt / Können wir die Unglücks-Plagen Desto leichter noch ertragen / Da er diesen Held erhält / Daß er uns Erquickung gebe; 
                                           Atis 
                                        Atis Mich schmertzt des Königs Ungelück / Daß der erzürnte Himmel Ihn stürtzt in Band und Strick.",negative,emotions of suffering,suffering
684,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51632,51687,Atis wendet ihm mit spöttischen Gebärden den Rücken zu.,negative,emotions of rejection,anger
685,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51688,51718,Schaut doch den Bauren-Lümmel.,positive,emotions of joy,anger
686,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51760,51769,Heimlich.,negative,emotions of rejection,emotional movement
687,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51811,51854,Atis macht viele Gebärden gegen die andern.,negative,emotions of affection,admiration
688,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51855,51965,Er bittet / daß sie wollen Sorge tragen / Und alle Kräfft und Schätze wagen / Den Herren Vater frey zu machen.,negative,emotions of affection,admiration
689,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",51966,51998,Ich muß des alten Narren lachen.,positive,emotions of joy,joy
690,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",52040,52049,Heimlich.,negative,emotions of rejection,emotional movement
691,"TextGrid/-Der_hochmuetige,_gestuerzte_und_wieder_erhabene_Croesus.xml",52050,52081,Wir geben für ihm Gut und Blut.,positive,emotions of affection,admiration
