,Gemeinte_Source:_Experiencer,Gemeinte_Source:_Zuschreibende_Instanz,Gemeintes_Target:_Charakter,Gemeintes_Target:_Nicht-Charakter,Polarität,annotator,base_polarity,end,id,length_in_tokens,main_emotion_class,polarity,start,tag_type,text,tokens
0,,,,,,LS,positiv,2080,CATMA_8BC8E3BE-5911-4AC0-AA23-C98418DD70F6,26,Emotionen der Freude,positiv,1966,Schadenfreude,"Guten Morgen, Herr Just, guten Morgen! Ei, schon so früh auf? Oder soll ich sagen:
              noch so spät auf?","['Guten', 'Morgen', ',', 'Herr', 'Just', ',', 'guten', 'Morgen', '!', 'Ei', ',', 'schon', 'so', 'früh', 'auf', '?', 'Oder', 'soll', 'ich', 'sagen', ':', 'noch', 'so', 'spät', 'auf', '?']"
1,,,,,,LS,positiv,2239,CATMA_4379017E-970C-4D0D-89DF-E5BAEDABBC95,24,Emotionen der Freude,positiv,2121,Schadenfreude,"Ich sage nichts, als guten Morgen; und das verdient doch wohl, daß Herr Just, großen
              Dank, darauf sagt?
","['Ich', 'sage', 'nichts', ',', 'als', 'guten', 'Morgen', ';', 'und', 'das', 'verdient', 'doch', 'wohl', ',', 'daß', 'Herr', 'Just', ',', 'großen', 'Dank', ',', 'darauf', 'sagt', '?']"
2,der_wirt (Der Wirt),,der_wirt (Der Wirt),,,LS,negativ,2259,CATMA_451ED3E4-4D85-4710-8A61-7CB658D797F9,3,Emotionen der Ablehnung,negativ,2246,Ärger,"Großen Dank!
","['Großen', 'Dank', '!']"
3,der_wirt (Der Wirt),,just (Just),,,LS,positiv,2813,CATMA_E1F0CDE3-8EFE-4EA5-91EA-3C4A0C628954,31,Emotionen der Freude,positiv,2665,Schadenfreude,"Ei, Herr Just! ich will doch nicht hoffen, Herr Just, daß Er noch von gestern her
              böse ist? Wer wird seinen Zorn über Nacht behalten?
","['Ei', ',', 'Herr', 'Just', '!', 'ich', 'will', 'doch', 'nicht', 'hoffen', ',', 'Herr', 'Just', ',', 'daß', 'Er', 'noch', 'von', 'gestern', 'her', 'böse', 'ist', '?', 'Wer', 'wird', 'seinen', 'Zorn', 'über', 'Nacht', 'behalten', '?']"
4,,,,,,LS,negativ,14012,CATMA_84FF1E7E-B321-4301-9F17-2331D4290DED,19,Emotionen des Leids,negativ,13901,Leid,"Ich stehe von dem Krankenbette auf, auf das mich der Schmerz über den Verlust meines
              Mannes warf.","['Ich', 'stehe', 'von', 'dem', 'Krankenbette', 'auf', ',', 'auf', 'das', 'mich', 'der', 'Schmerz', 'über', 'den', 'Verlust', 'meines', 'Mannes', 'warf', '.']"
5,,,,,,LS,negativ,14407,CATMA_93DF8988-F2CD-4D8D-8F52-2E3D0244D01D,10,Emotionen des Leids,negativ,14354,Leid,Vor mir dürfen Sie sich Ihres Unglücks nicht schämen.,"['Vor', 'mir', 'dürfen', 'Sie', 'sich', 'Ihres', 'Unglücks', 'nicht', 'schämen', '.']"
6,,,,,,LS,negativ,14407,CATMA_6EA1D7E1-2679-411E-A1DD-6A5DD03590E6,10,Emotionen des Leids,negativ,14354,Mitleid,Vor mir dürfen Sie sich Ihres Unglücks nicht schämen.,"['Vor', 'mir', 'dürfen', 'Sie', 'sich', 'Ihres', 'Unglücks', 'nicht', 'schämen', '.']"
7,,,,,,LS,negativ,14525,CATMA_659ABBE8-E43F-4F41-85DB-8B5FA0BA77BF,7,Emotionen des Leids,negativ,14495,Mitleid,"Ich beklage Sie, gnädige Frau!","['Ich', 'beklage', 'Sie', ',', 'gnädige', 'Frau', '!']"
8,,,,,,LS,positiv,14631,CATMA_A704D641-0D1B-40B6-B68B-ABA6DFC6052B,15,Emotionen der Zuneigung,positiv,14555,Freundschaft,"Sie wissen, Ihr Gemahl
              war mein Freund; mein Freund, sage ich;","['Sie', 'wissen', ',', 'Ihr', 'Gemahl', 'war', 'mein', 'Freund', ';', 'mein', 'Freund', ',', 'sage', 'ich', ';']"
9,,,,,,LS,positiv,14747,CATMA_98B58646-878A-4765-AF59-BC1392E62293,14,Emotionen der Zuneigung,positiv,14680,Freundschaft,"Wer weiß es besser, als ich, wie wert Sie seiner Freundschaft waren","['Wer', 'weiß', 'es', 'besser', ',', 'als', 'ich', ',', 'wie', 'wert', 'Sie', 'seiner', 'Freundschaft', 'waren']"
10,,die_dame (Eine Dame in Trauer),,,,LS,positiv,14791,CATMA_FAED698B-B194-42D2-9F6F-12ACB7FEF6B1,7,Emotionen der Zuneigung,positiv,14749,Freundschaft,"wie wert er der
              Ihrigen war?","['wie', 'wert', 'er', 'der', 'Ihrigen', 'war', '?']"
11,,die_dame (Eine Dame in Trauer),,,,LS,positiv,15045,CATMA_7B263E83-CE20-4C1D-8E0D-D6D3A8E18DE8,36,Emotionen der Zuneigung,positiv,14792,Freundschaft,"Sie würden sein letzter Gedanke, Ihr Name der letzte Ton seiner
              sterbenden Lippen gewesen sein, hätte nicht die stärkere Natur dieses traurige
              Vorrecht für seinen unglücklichen Sohn, für seine unglückliche Gattin gefordert –
","['Sie', 'würden', 'sein', 'letzter', 'Gedanke', ',', 'Ihr', 'Name', 'der', 'letzte', 'Ton', 'seiner', 'sterbenden', 'Lippen', 'gewesen', 'sein', ',', 'hätte', 'nicht', 'die', 'stärkere', 'Natur', 'dieses', 'traurige', 'Vorrecht', 'für', 'seinen', 'unglücklichen', 'Sohn', ',', 'für', 'seine', 'unglückliche', 'Gattin', 'gefordert', '–']"
12,,,,,,LS,negativ,15186,CATMA_346C9107-7252-404E-94DA-0B1969D1989D,18,Emotionen des Leids,negativ,15083,Leid,"Weinen wollte ich mit Ihnen gern; aber ich habe heute keine
              Tränen. Verschonen Sie mich! ","['Weinen', 'wollte', 'ich', 'mit', 'Ihnen', 'gern', ';', 'aber', 'ich', 'habe', 'heute', 'keine', 'Tränen', '.', 'Verschonen', 'Sie', 'mich', '!']"
13,,,,,,LS,negativ,15329,CATMA_DF322BAC-0A3F-473B-886F-223E8C2621EA,5,Emotionen des Leids,negativ,15298,Mitleid,"O mein rechtschaffner Marloff!
","['O', 'mein', 'rechtschaffner', 'Marloff', '!']"
14,von_tellheim (Major von Tellheim),,,,,LS,negativ,15949,CATMA_EA76355F-1B2E-476E-BFA5-A6926E22BCAD,5,Emotionen des Leids,negativ,15930,Mitleid,"Nicht doch, Madame!","['Nicht', 'doch', ',', 'Madame', '!']"
15,,,,,,LS,positiv,15997,CATMA_B0DAF87C-BC15-4131-854E-5E8A85476473,9,Emotionen der Zuneigung,positiv,15950,Freundschaft,Marloff mir schuldig? das kann schwerlich sein.,"['Marloff', 'mir', 'schuldig', '?', 'das', 'kann', 'schwerlich', 'sein', '.']"
16,die_dame (Eine Dame in Trauer),,,,,LS,Emotionale Bewegtheit,16501,CATMA_51B73015-3550-4F19-81EA-E8E6A7AC13D6,3,Emotionale Bewegtheit,Emotionale Bewegtheit,16489,Emotionale Bewegtheit,"Herr Major!
","['Herr', 'Major', '!']"
17,,,,,,LS,positiv,17068,CATMA_D78AF740-B6ED-4D12-B6F2-29E5FFABD917,69,Emotionen der Zuneigung,positiv,16685,Verehrung,"Nicht anders,
              Madame; er hat mich vielmehr als seinen Schuldner hinterlassen. Ich habe nie etwas tun
              können, mich mit einem Manne abzufinden, der sechs Jahre Glück und Unglück, Ehre und
              Gefahr mit mir geteilet. Ich werde es nicht vergessen, daß ein Sohn von ihm da ist. Er
              wird mein Sohn sein, so bald ich sein Vater sein kann.","['Nicht', 'anders', ',', 'Madame', ';', 'er', 'hat', 'mich', 'vielmehr', 'als', 'seinen', 'Schuldner', 'hinterlassen', '.', 'Ich', 'habe', 'nie', 'etwas', 'tun', 'können', ',', 'mich', 'mit', 'einem', 'Manne', 'abzufinden', ',', 'der', 'sechs', 'Jahre', 'Glück', 'und', 'Unglück', ',', 'Ehre', 'und', 'Gefahr', 'mit', 'mir', 'geteilet', '.', 'Ich', 'werde', 'es', 'nicht', 'vergessen', ',', 'daß', 'ein', 'Sohn', 'von', 'ihm', 'da', 'ist', '.', 'Er', 'wird', 'mein', 'Sohn', 'sein', ',', 'so', 'bald', 'ich', 'sein', 'Vater', 'sein', 'kann', '.']"
18,die_dame (Eine Dame in Trauer),,,,,LS,positiv,17166,CATMA_B090B0FE-DFA5-44EE-9E5F-3153D5B7A34D,3,Emotionen der Zuneigung,positiv,17149,Verehrung,Edelmütiger Mann!,"['Edelmütiger', 'Mann', '!']"
19,,,,,,LS,negativ,17645,CATMA_376AEC1D-326A-4119-B821-0F2E8FAC024C,39,Emotionen des Leids,negativ,17427,Mitleid,"Oder wollen Sie, daß ich die unerzogene Waise meines Freundes
              bestehlen soll? Bestehlen, Madame; das würde es in dem eigentlichsten Verstande sein.
              Ihm gehört es; für ihn legen Sie es an. –
","['Oder', 'wollen', 'Sie', ',', 'daß', 'ich', 'die', 'unerzogene', 'Waise', 'meines', 'Freundes', 'bestehlen', 'soll', '?', 'Bestehlen', ',', 'Madame', ';', 'das', 'würde', 'es', 'in', 'dem', 'eigentlichsten', 'Verstande', 'sein', '.', 'Ihm', 'gehört', 'es', ';', 'für', 'ihn', 'legen', 'Sie', 'es', 'an', '.', '–']"
20,,,,,,LS,negativ,19002,CATMA_B7796CF8-02D2-43D5-A9ED-6FE2A68EFDAB,45,Emotionen des Leids,negativ,18720,Mitleid,"Armes, braves Weib! Ich muß nicht vergessen, den Bettel zu vernichten. Er
                nimmt aus seinem Taschenbuche Briefschaften, die er zerreißt.
 Wer steht mir
              dafür, daß eigner Mangel mich nicht einmal verleiten könnte, Gebrauch davon zu
              machen?
","['Armes', ',', 'braves', 'Weib', '!', 'Ich', 'muß', 'nicht', 'vergessen', ',', 'den', 'Bettel', 'zu', 'vernichten', '.', 'Er', 'nimmt', 'aus', 'seinem', 'Taschenbuche', 'Briefschaften', ',', 'die', 'er', 'zerreißt', '.', 'Wer', 'steht', 'mir', 'dafür', ',', 'daß', 'eigner', 'Mangel', 'mich', 'nicht', 'einmal', 'verleiten', 'könnte', ',', 'Gebrauch', 'davon', 'zu', 'machen', '?']"
21,,,,,,LS,negativ,19341,CATMA_460A6B2C-99D0-4D5D-88DC-508F438417DC,9,Emotionen des Leids,negativ,19297,Mitleid,"Haben Sie Barmherzigkeit mit mir, mein Herr.","['Haben', 'Sie', 'Barmherzigkeit', 'mit', 'mir', ',', 'mein', 'Herr', '.']"
22,,,,,,LS,negativ,19418,CATMA_E666E714-516E-43A7-BB8A-27F78825C3A3,14,Emotionen des Leids,negativ,19342,Mitleid,"Ich weiß wohl, daß die Menschen mit
              Ihnen keine haben; aber –
","['Ich', 'weiß', 'wohl', ',', 'daß', 'die', 'Menschen', 'mit', 'Ihnen', 'keine', 'haben', ';', 'aber', '–']"
23,,,,,,LS,negativ,19511,CATMA_5279F906-85A1-484B-A759-8DF4CDC97E3B,12,Emotionen des Leids,negativ,19455,Leid,"Ich hätte mir ehr den Tod, als meinen Abschied vermutet.","['Ich', 'hätte', 'mir', 'ehr', 'den', 'Tod', ',', 'als', 'meinen', 'Abschied', 'vermutet', '.']"
24,,,,,,LS,negativ,20946,CATMA_659049FD-044B-4FF2-AA57-86447B267566,62,Emotionen des Leids,negativ,20607,Leid,"Ich glaube es gern, daß ich Ihnen weit mehr koste. Aber es wäre verlorne Dinte, es
              dazu zu schreiben. Ich kann Ihnen das nicht bezahlen, und wenn Sie mir vollends die
              Liverei nehmen, die ich auch noch nicht verdient habe, – so wollte ich lieber, Sie
              hätten mich in dem Lazarette krepieren lassen.
","['Ich', 'glaube', 'es', 'gern', ',', 'daß', 'ich', 'Ihnen', 'weit', 'mehr', 'koste', '.', 'Aber', 'es', 'wäre', 'verlorne', 'Dinte', ',', 'es', 'dazu', 'zu', 'schreiben', '.', 'Ich', 'kann', 'Ihnen', 'das', 'nicht', 'bezahlen', ',', 'und', 'wenn', 'Sie', 'mir', 'vollends', 'die', 'Liverei', 'nehmen', ',', 'die', 'ich', 'auch', 'noch', 'nicht', 'verdient', 'habe', ',', '–', 'so', 'wollte', 'ich', 'lieber', ',', 'Sie', 'hätten', 'mich', 'in', 'dem', 'Lazarette', 'krepieren', 'lassen', '.']"
