,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
409,GerDracor/neuber-das-schaeferfest.xml,25510,25534,Geht ihr zum Saufen hin.,negative,emotions of rejection,anger
410,GerDracor/neuber-das-schaeferfest.xml,25535,25552,Sylvan und Silen.,emotional movement,emotional movement,emotional movement
411,GerDracor/neuber-das-schaeferfest.xml,25553,25577,Er geht wahrhaftig fort.,negative,emotions of rejection,emotional movement
412,GerDracor/neuber-das-schaeferfest.xml,25578,25634,"Kommt mit, ich will ihn fragen, Was ihm im Kopfe steckt.",emotional movement,emotions of rejection,anger
413,GerDracor/neuber-das-schaeferfest.xml,25635,25663,"Ja, Bruder, laß dir's sagen.",positive,emotions of rejection,anger
414,GerDracor/neuber-das-schaeferfest.xml,25664,25709,Silen und Sylvan laufen dem Mops nach und ab.,positive,emotional movement,emotional movement
415,GerDracor/neuber-das-schaeferfest.xml,25710,25715,Mops.,negative,emotions of rejection,emotional movement
416,GerDracor/neuber-das-schaeferfest.xml,25716,25857,"Schleicht sachte wieder hervor, sieht sich schüchtern um, und Mirtillo kommt
            gleich nach auf der andern Seite, steht in Gedanken.",negative,emotional movement,emotional movement
417,GerDracor/neuber-das-schaeferfest.xml,25858,25886,Nun sind die Schwärmer fort.,negative,emotions of rejection,"hate, disgust"
418,GerDracor/neuber-das-schaeferfest.xml,25887,26157,"Sie wissen viel davon; Sie haben gute Herrn und kriegen guten Lohn, Und müssen nicht hierher früh nüchtern auf die Lausche, Sie stoßen sich am Kopf im Finstern keine Prausche, Sie hüten nicht allein den lieben langen Tag, Wo man für Hitze schwitzt und immer trinken mag.",positive,emotions of affection,admiration
419,GerDracor/neuber-das-schaeferfest.xml,26158,26204,Sie dürfen ohne Scheu ihr Schäfermädel küssen.,positive,emotions of affection,love
420,GerDracor/neuber-das-schaeferfest.xml,26205,26458,"Mirtillo will davon nichts hören und nichts wissen; Er schmält und flucht im Zorn auf jede Schäferin, Daß ich in tausend Angst und tausend Sorgen bin, Der Himmel könnt' einmal ihm auf den Scheitel fallen, Wer hälfe denn hernach uns armen Knechten allen?",negative,emotions of rejection,anger
421,GerDracor/neuber-das-schaeferfest.xml,26459,26521,"ist unvermerkt hervorgegangen, ohne den Mops gewahr zu werden.",negative,emotions of rejection,"hate, disgust"
