,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/arnim-das-loch.xml,Kaiser und Kaiserin.,0,20,stage_direction,1,1,pre_speech,,,,,no_annotation,S,,1811.0,no_annotation,no_annotation
1,1,GerDracor/arnim-das-loch.xml,"Nicht wahr, es sitzt sich gut auf dem Thron?",0,44,character_speech,1,1,,KAISER.,#kaiser,1.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
2,2,GerDracor/arnim-das-loch.xml,"
              Ich sitze nicht gern, das wißt ihr schon,
              Tanzen und Springen war mein Entzücken,
              Das Regieren will mich gar nicht beglücken.",0,168,character_speech,1,1,,KAISERIN.,#kaiserin,2.0,FEMALE,joy,S,,1811.0,positive,emotions of pleasure
3,3,GerDracor/arnim-das-loch.xml,"
              Ja, liebes Kind, man muß sich genieren,
              Wann man die ganze Welt will regieren,
              Es ist kein Spas, es fordert Knochen.",0,159,character_speech,1,1,,KAISER.,#kaiser,3.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
4,4,GerDracor/arnim-das-loch.xml,So ward mir noch nie vom Regieren gesprochen.,0,45,character_speech,1,1,,KAISERIN.,#kaiserin,4.0,FEMALE,no_annotation,S,,1811.0,no_annotation,no_annotation
5,5,GerDracor/arnim-das-loch.xml,"
              Du kennst auch noch nicht die schwersten Pflichten,
              Du kennst bis jetzt nur die lustgen Geschichten,
              Wie einer den andern läßt köpfen und schinden,
              Die Städte verbrennt, den Krieg zu verkünden,
              Ja wäre es damit abgethan,
              Da wäre gar mancher ein großer Mann,
              Doch dann kommt erst das Gesetzegeben,
              Das greifet dem Klügsten in das Leben.",0,448,character_speech,1,1,,KAISER.,#kaiser,5.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
6,6,GerDracor/arnim-das-loch.xml,"Wenn du in deiner Kammer verschlossen,
              Da wird die Regierungsmaschine gestoßen,
              Wie mancher Tropfen Schweiß wird vergossen,
              Bis wir die Gesetze herausgestoßen.",463,664,character_speech,1,1,,KAISER.,#kaiser,5.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
7,7,GerDracor/arnim-das-loch.xml,"
              Kann ich euch bei der Arbeit nicht nützen,
              Fast fürchte ich mich, hier zu versitzen,
              Bewegung kann die Gesundheit schützen.",0,166,character_speech,1,1,,KAISERIN.,#kaiserin,6.0,FEMALE,fear,S,,1811.0,negative,emotions of anxiety
8,8,GerDracor/arnim-das-loch.xml,"
              Kein Weib hat die Kraft und den hohen Muth,
              Der die Gesetze recht greifen thut,
              Oft muß ich ganze Tage drauf lauern,
              Und dann will wenig Minuten nur dauern
              Die Kraft der hohen Begeisterung:
              Sie kommt, sie kommt, entfliehe im Sprung.",0,317,character_speech,1,1,,KAISER.,#kaiser,7.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
9,9,GerDracor/arnim-das-loch.xml,"
              Ich ziehe mich willig zurück in die Kammer,
              Doch endet, o Kaiser, des Herzens Jammer,
              Gedenket, wie langsam die Tage verfließen,
              Ach, soll ich in Einsamkeit immer büßen!",0,226,character_speech,1,1,,KAISERIN.,#kaiserin,8.0,FEMALE,suffering,S,,1811.0,negative,emotions of suffering and empathy
10,10,GerDracor/arnim-das-loch.xml,"
              Was kannst du verlangen, was kannst du vermissen,
              Geh schlafen auf deinen sammtenen Kissen,
              Und Kasper soll mir heut Spässe aufschreiben,
              Womit ich dir kann die Zeit vertreiben.",0,234,character_speech,1,1,,KAISER.,#kaiser,9.0,MALE,anger,S,,1811.0,negative,emotions of rejection
11,11,GerDracor/arnim-das-loch.xml,"
              Ich möchte auch gerne ins Freie gehen,
              Die Ritter der Tafelrunde besehen.",0,102,character_speech,1,1,,KAISERIN.,#kaiserin,10.0,FEMALE,no_annotation,S,,1811.0,no_annotation,no_annotation
12,12,GerDracor/arnim-das-loch.xml,"
              Das schicket sich nicht in glücklichen Ehen.",0,59,character_speech,1,1,,KAISER.,#kaiser,11.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
13,13,GerDracor/arnim-das-loch.xml,Flugs steige die Treppe zu deinem Thurm.,74,114,character_speech,1,1,,KAISER.,#kaiser,11.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
14,14,GerDracor/arnim-das-loch.xml,"Ich arme Prinzessin, ich armer Wurm.",0,36,character_speech,1,1,,KAISERIN.,#kaiserin,12.0,FEMALE,compassion,S,,1811.0,negative,emotions of suffering and empathy
15,15,GerDracor/arnim-das-loch.xml,Er führt sie zur Treppe und schließt sie ein.,0,45,stage_direction,1,1,speech_part,,#kaiserin,12.0,FEMALE,no_annotation,S,,1811.0,no_annotation,no_annotation
16,16,GerDracor/arnim-das-loch.xml,"He Kasper, Tintenklecker, seyd ihr noch nicht fertig.",0,53,character_speech,1,2,,KAISER.,#kaiser,13.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
17,17,GerDracor/arnim-das-loch.xml,kommt.,0,6,stage_direction,1,2,speech_part,,#kasper,14.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
18,18,GerDracor/arnim-das-loch.xml,Ich bin des kaiserlichen Worts gewärtig.,0,40,character_speech,1,2,,KASPER,#kasper,14.0,MALE,fear,S,,1811.0,negative,emotions of anxiety
19,19,GerDracor/arnim-das-loch.xml,"
              So schieb die Regierungsmaschine herbei,
              Ich fühle in mir Begeisterung,
              Die macht mich wieder in Freuden jung.",0,153,character_speech,1,2,,KAISER.,#kaiser,15.0,MALE,joy,S,,1811.0,positive,emotions of pleasure
20,20,GerDracor/arnim-das-loch.xml,schiebt sie herbei.,0,19,stage_direction,1,2,speech_part,,#kasper,16.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
21,21,GerDracor/arnim-das-loch.xml,Die Räder machen ein wenig Geschrei.,0,36,character_speech,1,2,,KASPER,#kasper,16.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
22,22,GerDracor/arnim-das-loch.xml,Ihr müsset die Räder ein wenig schmieren.,0,41,character_speech,1,2,,KAISER.,#kaiser,17.0,MALE,no_annotation,S,,1811.0,no_annotation,no_annotation
