,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1951,GerDracor/schiller-don-carlos-infant-von-spanien.xml,106977,107090,"Wird sie der Rache trauriges Vergnügen  Ein Erröten Zurückzunehmen, haben manche schon Der Schande sich geopfert.",negative,emotions of joy,suffering
1952,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107091,107117,mit Heftigkeit aufstehend.,emotional movement,emotional movement,emotional movement
1953,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107118,107152,"Nein, das ist Zu hart, zu grausam!",negative,emotions of rejection,anger
1954,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107153,107210,Sie ist stolz und edel; Ich kenne sie und fürchte nichts.,positive,emotions of affection,admiration
1955,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107211,107263,"Umsonst Versuchst du, meine Hoffnungen zu schrecken.",negative,emotions of fear,fear
1956,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107264,107289,Ich spreche meine Mutter.,negative,emotional movement,suffering
1957,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107290,107296,Jetzt?,emotional movement,emotional movement,emotional movement
1958,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107297,107302,Wozu?,emotional movement,emotional movement,emotional movement
1959,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107303,107371,Ich habe nun nichts mehr zu schonen – ich muß Mein Schicksal wissen.,negative,emotions of fear,despair
1960,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107372,107409,"Sorge nur, wie ich Sie sprechen kann.",negative,emotions of fear,fear
1961,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107410,107448,Und diesen Brief willst du Ihr zeigen?,negative,emotions of rejection,anger
1962,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107449,107473,"Wirklich, willst du das?",negative,emotions of fear,fear
1963,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107474,107499,Befrage Mich darum nicht.,negative,emotional movement,anger
1964,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107500,107550,"Das Mittel jetzt, das Mittel, Daß ich sie spreche!",negative,emotions of rejection,suffering
1965,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107551,107565,mit Bedeutung.,emotional movement,emotions of affection,emotional movement
1966,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107566,107619,"Sagtest du mir nicht, Du  Ihr diesen Brief zu zeigen?",negative,emotions of rejection,anger
1967,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107620,107655,Carlos sieht zur Erde und schweigt.,negative,emotional movement,emotional movement
1968,GerDracor/schiller-don-carlos-infant-von-spanien.xml,107656,107744,"Karl, ich lese In deinen Mienen etwas – mir ganz neu – Ganz fremd bis diesen Augenblick.",emotional movement,emotional movement,emotional movement
