,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,0,39, Vorhalle im Palaste des Geisterkönigs.,positive,emotional movement,"hate, disgust"
1,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,40,49,Zauberer.,positive,emotions of rejection,"hate, disgust"
2,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,50,55,Feen.,positive,emotions of joy,emotional movement
3,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,56,64,Geister.,negative,emotions of fear,emotional movement
4,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,65,102,"Einige mit
            Bittschriften.",negative,emotions of suffering,suffering
5,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,103,118,Ein Feuergeist.,negative,emotions of rejection,"hate, disgust"
6,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,119,148,Sollen wir noch lange harren?,negative,emotional movement,emotional movement
7,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,149,177,Bald verläßt uns die Geduld!,negative,emotions of fear,anger
8,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,178,208,Sind wir Geister seine Narren?,negative,emotions of rejection,"hate, disgust"
9,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,209,238,Unverzeihlich ist die Schuld.,negative,emotions of suffering,suffering
10,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,239,337,"Welche Beleidigung, Damen so lange warten zu lassen, als wären sie seine
              Domestiken!",negative,emotions of rejection,anger
11,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,338,355,Das ist unerhört!,negative,emotions of rejection,anger
12,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,356,424,"Ich frage, wie kann man ein Geisterkönig sein und so lange schlafen?",emotional movement,emotional movement,emotional movement
13,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,425,495,"Und ich frage, wie kann man vernünftig sein und so unvernünftig reden?",negative,emotions of rejection,anger
14,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,496,602,"Geisterkönig
              ist er, er muß für uns alle wachen, folglich muß er auch für uns alle schlafen.",positive,emotions of rejection,anger
15,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,603,654,"Seine Pflicht heischt aber, unsere Bitten zu hören.",negative,emotions of suffering,anger
16,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,655,736,"Und er kümmert sich gar nicht um uns, spart seine Gunst nur für die Menschen auf.",negative,emotions of rejection,love
17,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,737,814,Er hat schon ungeheure Schätze der Luft entzogen und sie der Erde zugewendet.,positive,emotions of affection,joy
18,GerDracor/raimund-der-diamant-des-geisterkoenigs.xml,815,882,"Sehen Sie, darum bauen sich die Leute jetzt so viele Luftschlösser.",positive,emotions of joy,joy
