,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/andre-der-comoedienfeind.xml,Oront.,0,6,stage_direction,1,1,pre_speech,,,,,no_annotation,K,,1765.0,no_annotation,no_annotation
1,1,GerDracor/andre-der-comoedienfeind.xml,Arist.,7,13,stage_direction,1,1,pre_speech,,,,,no_annotation,K,,1765.0,no_annotation,no_annotation
2,2,GerDracor/andre-der-comoedienfeind.xml,"Ich sage es Ihnen deutsch heraus, daß Sie ein Narr sind, Herr Bruder, wenn Sie im
            geringsten sich unterstehen die Comödien zu vertheidigen.",0,151,character_speech,1,1,,Oront.,#oront,1.0,MALE,anger,K,,1765.0,negative,emotions of rejection
3,3,GerDracor/andre-der-comoedienfeind.xml,"Es ist nichts abscheulichers
            auf der Welt!",152,206,character_speech,1,1,,Oront.,#oront,1.0,MALE,abhorrence,K,,1765.0,negative,emotions of rejection
4,4,GerDracor/andre-der-comoedienfeind.xml,Der Satan selbst hat sie erfunden!,207,241,character_speech,1,1,,Oront.,#oront,1.0,MALE,abhorrence,K,,1765.0,negative,emotions of rejection
5,5,GerDracor/andre-der-comoedienfeind.xml,"Sie sind eine Schule der Ueppigkeit und
            der Unzucht!",242,306,character_speech,1,1,,Oront.,#oront,1.0,MALE,abhorrence,K,,1765.0,negative,emotions of rejection
6,6,GerDracor/andre-der-comoedienfeind.xml,"Das sind Sie, und nicht wie Sie sagten, eine Schule der Sitten.",307,370,character_speech,1,1,,Oront.,#oront,1.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
7,7,GerDracor/andre-der-comoedienfeind.xml,"Verstehen
            Sie mich wohl?",371,407,character_speech,1,1,,Oront.,#oront,1.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
8,8,GerDracor/andre-der-comoedienfeind.xml,"Ich verstehe Sie gar wohl; allein darum bin ich noch nicht von der Untrüglichkeit Ihrer
            Meynung überzeugt.",0,118,character_speech,1,1,,Arist.,#arist,2.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
9,9,GerDracor/andre-der-comoedienfeind.xml,Nur Ihres gleichen können noch daran zweifeln.,0,46,character_speech,1,1,,Oront.,#oront,3.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
10,10,GerDracor/andre-der-comoedienfeind.xml,"Doch um Ihnen deutlich zu beweisen daß
            ich Recht habe: so sag ich Ihnen, daß nur Gottlose, Lasterhafte, Sünder und Heyden mir
            Unrecht geben können.",47,218,character_speech,1,1,,Oront.,#oront,3.0,MALE,abhorrence,K,,1765.0,negative,emotions of rejection
11,11,GerDracor/andre-der-comoedienfeind.xml,Schmähungen sind keine Beweise.,0,31,character_speech,1,1,,Arist.,#arist,4.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
12,12,GerDracor/andre-der-comoedienfeind.xml,Das sind keine Schmähungen.,0,27,character_speech,1,1,,Oront.,#oront,5.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
13,13,GerDracor/andre-der-comoedienfeind.xml,Man kan das Laster nicht zu scharf angreifen.,28,73,character_speech,1,1,,Oront.,#oront,5.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
14,14,GerDracor/andre-der-comoedienfeind.xml,"Sagen sie mir doch, Herr Bruder, was hat Sie so gegen die Comödie aufgebracht?",0,78,character_speech,1,1,,Arist.,#arist,6.0,MALE,anger,K,,1765.0,negative,emotions of rejection
