,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Hensler_Alles_weis.csv,"
      (Zimmer im gräflichen Schlos.)",0,37,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Hensler_Alles_weis.csv,"
      Graf von Leyden sitzt am Tisch, der Schulmeister steht nahe an der Thür.",0,79,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Hensler_Alles_weis.csv,"
       Der Beker kam gestern Abends nach Hause, sagt er?",0,57,character_speech,1,1,,"
       GRAF.
      ",#graf,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
3,3,Kasperl/Hensler_Alles_weis.csv,"
       Ja, Euer Hochgräfliche Gnanen!",0,38,character_speech,1,1,,"
       SCHULMEISTER.
      ",#schulmeister,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
4,4,Kasperl/Hensler_Alles_weis.csv,!,39,40,character_speech,1,1,,"
       SCHULMEISTER.
      ",#schulmeister,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
5,5,Kasperl/Hensler_Alles_weis.csv,"und kaum war er einige Schritte ihm Dorf, so erfährt er die Nachricht, daß sein Weib gestorben – denn",41,142,character_speech,1,1,,"
       SCHULMEISTER.
      ",#schulmeister,2.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
6,6,Kasperl/Hensler_Alles_weis.csv,"
        (verträulich)",0,22,stage_direction,1,1,inner_speech,,#schulmeister,2.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
7,7,Kasperl/Hensler_Alles_weis.csv,"
       Euer Gnaden!",0,20,character_speech,1,1,,"
       SCHULMEISTER.
      ",#schulmeister,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
8,8,Kasperl/Hensler_Alles_weis.csv,"im ganzen Dorf weiß kein Mensch, daß Euer Gnaden mit dem Beker nur ihren hochgräflichen Scherz haben wollen.",21,129,character_speech,1,1,,"
       SCHULMEISTER.
      ",#schulmeister,2.0,UNKNOWN,Schadenfreude,positive,emotions of pleasure,comedy,KK
9,9,Kasperl/Hensler_Alles_weis.csv,"
       Desto besser – wie gieng es denn weiter?",0,48,character_speech,1,1,,"
       GRAF.
      ",#graf,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
10,10,Kasperl/Hensler_Alles_weis.csv,"
       Wie er es denn vernommen, eilte er nach Haus – mir nichts – dir nichts, als wenn ihm, ut ita dicam – der Kopf gebrannt hätte, hat geheult, wie Euer Hochgräflichen Gnaden Schloßhund, läßt sich gleich von Jungfer Lischen den Schlüssel geben, geht hinein in das Zimmer, worin sie liegt, und – – –",0,301,character_speech,1,1,,"
       SCHULMEISTER.
      ",#schulmeister,4.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
11,11,Kasperl/Hensler_Alles_weis.csv,"
       Und erkannte sie vielleicht?",0,36,character_speech,1,1,,"
       GRAF.
      ",#graf,5.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
12,12,Kasperl/Hensler_Alles_weis.csv,"
       Ey ja wohl – erkennen?",0,30,character_speech,1,1,,"
       SCHULMEISTER.
      ",#schulmeister,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
13,13,Kasperl/Hensler_Alles_weis.csv,"Jungfer Lischen ist ein pfiffiges Ding, die hat schon dafür zu sorgen gewust – sie schließt auf, nimmt das Licht, sezt es auf den Tisch – und er, ha ha ha, ich muß mich halb tod lachen, wenn ich daran denke, der Beker Kasper hält Euer Hochgräfl.",31,276,character_speech,1,1,,"
       SCHULMEISTER.
      ",#schulmeister,6.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
