,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
646,GerDracor/gotter-der-dorfjahrmarkt.xml,25764,25768,Was?,emotional movement,emotional movement,emotional movement
647,GerDracor/gotter-der-dorfjahrmarkt.xml,25769,25804,So holterpolter in Eifer zu kommen?,negative,emotional movement,emotional movement
648,GerDracor/gotter-der-dorfjahrmarkt.xml,25805,25834,Um des albernen Lukas willen!,negative,emotions of rejection,anger
649,GerDracor/gotter-der-dorfjahrmarkt.xml,25835,25879,"– Ich dächte, wir
              kennten uns.",positive,emotions of affection,friendship
650,GerDracor/gotter-der-dorfjahrmarkt.xml,25880,25909,"– Ihre Hand, Herr Lieutenant!",negative,emotions of affection,admiration
651,GerDracor/gotter-der-dorfjahrmarkt.xml,25911,25929,Auf deinen Buckel!,negative,emotions of rejection,anger
652,GerDracor/gotter-der-dorfjahrmarkt.xml,25930,25960,– Seit wann bin ich dein Narr?,negative,emotions of rejection,anger
653,GerDracor/gotter-der-dorfjahrmarkt.xml,25961,26011,"Ist's jetzt Zeit, Possen zu
              treiben?",emotional movement,emotions of joy,emotional movement
654,GerDracor/gotter-der-dorfjahrmarkt.xml,26012,26041,Lassen Sie mich immer spasen!,negative,emotions of joy,anger
655,GerDracor/gotter-der-dorfjahrmarkt.xml,26042,26072,"Gut genug, ich hab' ihn schon.",positive,emotions of affection,joy
656,GerDracor/gotter-der-dorfjahrmarkt.xml,26073,26131,"Keiner ist beym Bataillon, Keiner, der, wie Fikfak, würbe.",negative,emotions of rejection,admiration
657,GerDracor/gotter-der-dorfjahrmarkt.xml,26132,26196,"Finten, Flausen, Pfiffe, Nasen, Werden endlich mir nicht schwer.",negative,emotions of rejection,anger
658,GerDracor/gotter-der-dorfjahrmarkt.xml,26197,26263,"– Ach, Herr, wenn man davon stürbe, Lebten Sie und ich nicht mehr!",negative,emotions of suffering,suffering
659,GerDracor/gotter-der-dorfjahrmarkt.xml,26264,26318,"Ja, mit meinem Gewissen will ich schon fertig wer den.",negative,emotions of rejection,anger
660,GerDracor/gotter-der-dorfjahrmarkt.xml,26319,26373,"Stehen Sie mir nur sonst für
              die Folgen.",negative,emotions of suffering,fear
661,GerDracor/gotter-der-dorfjahrmarkt.xml,26374,26381,Folgen?,emotional movement,emotional movement,emotional movement
662,GerDracor/gotter-der-dorfjahrmarkt.xml,26382,26554,"Wenn die Braut mit ihrem Anhang aufwacht, und die Sturmglocke zieht, und mich beym
              Herrn Obristen verklagt, der über gewisse Dinge ganz anders denkt, als wir.",negative,emotions of rejection,anger
663,GerDracor/gotter-der-dorfjahrmarkt.xml,26555,26570,Das giebt sich.,negative,emotions of suffering,joy
664,GerDracor/gotter-der-dorfjahrmarkt.xml,26571,26596,Schaff ihn nur erst fort.,negative,emotions of rejection,anger
665,GerDracor/gotter-der-dorfjahrmarkt.xml,26597,26638,Da läßt sich schon ein Deckmantel finden.,negative,emotions of rejection,"hate, disgust"
666,GerDracor/gotter-der-dorfjahrmarkt.xml,26653,26730,"Und hernach, meynst du denn, daß ich das Mädchen auf dem Halse behalten will?",negative,emotions of rejection,anger
667,GerDracor/gotter-der-dorfjahrmarkt.xml,26731,26798,"Sie soll
              ihn wiederhaben, aber erst von mir erkaufen.",negative,emotions of rejection,love
668,GerDracor/gotter-der-dorfjahrmarkt.xml,26799,26836,Für Lukas bleibt sie immer gut genug.,positive,emotions of affection,love
669,GerDracor/gotter-der-dorfjahrmarkt.xml,26837,26876,"–
              Du hast doch noch Geld?",negative,emotional movement,emotional movement
670,GerDracor/gotter-der-dorfjahrmarkt.xml,26877,26898,Wird nicht viel seyn.,negative,emotional movement,fear
671,GerDracor/gotter-der-dorfjahrmarkt.xml,26899,26974,"Hier ist mein Beutel, mit  Ich will mein Möglichstes thun, Herr Lieutenant.",positive,emotions of joy,joy
672,GerDracor/gotter-der-dorfjahrmarkt.xml,26975,27046,"Indessen – schreiben Sie lieber
              wieder frisch um Vorrath!",negative,emotions of joy,anger
673,GerDracor/gotter-der-dorfjahrmarkt.xml,27047,27068,So Schlag auf Schlag?,emotional movement,emotional movement,emotional movement
674,GerDracor/gotter-der-dorfjahrmarkt.xml,27069,27084,Das geht nicht.,negative,emotions of rejection,emotional movement
675,GerDracor/gotter-der-dorfjahrmarkt.xml,27085,27168,"Sie wollten mir schon meine letzten Rechnungen
              nicht passiren lassen.",negative,emotions of rejection,anger
676,GerDracor/gotter-der-dorfjahrmarkt.xml,27169,27219,"Ich weiß nicht, was den alten Perrücken anwandelt.",negative,emotions of rejection,emotional movement
677,GerDracor/gotter-der-dorfjahrmarkt.xml,27220,27252,"– Laß sie
              brummen!",negative,emotions of suffering,anger
678,GerDracor/gotter-der-dorfjahrmarkt.xml,27253,27290,Nur diesen Streich noch durchgesetzt!,negative,emotions of rejection,anger
679,GerDracor/gotter-der-dorfjahrmarkt.xml,27291,27320,Das wird mich nicht ruiniren.,negative,emotions of suffering,fear
680,GerDracor/gotter-der-dorfjahrmarkt.xml,27321,27420,"Dann will
              ich aber auch anfangen zu wirthschaften – daß du deine Freude sehen sollst.",positive,emotions of joy,joy
681,GerDracor/gotter-der-dorfjahrmarkt.xml,27438,27446,Geht ab.,negative,emotions of rejection,emotional movement
682,GerDracor/gotter-der-dorfjahrmarkt.xml,27447,27454,Fikfak.,negative,emotions of rejection,emotional movement
683,GerDracor/gotter-der-dorfjahrmarkt.xml,27455,27473,Greif in der Bude.,negative,emotions of rejection,anger
684,GerDracor/gotter-der-dorfjahrmarkt.xml,27474,27491,Zu wirthschaften?,emotional movement,emotional movement,emotional movement
685,GerDracor/gotter-der-dorfjahrmarkt.xml,27492,27507,"Ja, wie bisher.",negative,emotions of joy,anger
686,GerDracor/gotter-der-dorfjahrmarkt.xml,27508,27532,Eine schöne Wirthschaft!,positive,emotions of joy,joy
687,GerDracor/gotter-der-dorfjahrmarkt.xml,27533,27554,– Was kümmert's mich?,negative,emotions of rejection,emotional movement
688,GerDracor/gotter-der-dorfjahrmarkt.xml,27555,27606,"Ich
              schmiede das Eisen, weil's glüht.",negative,emotions of rejection,anger
689,GerDracor/gotter-der-dorfjahrmarkt.xml,27607,27658,"Aber – aber der Krug geht zu Wasser, bis er bricht.",negative,emotions of suffering,suffering
690,GerDracor/gotter-der-dorfjahrmarkt.xml,27673,27684,– Immerhin.,positive,emotions of suffering,suffering
691,GerDracor/gotter-der-dorfjahrmarkt.xml,27685,27709,"Bricht er, so bricht er.",negative,emotions of suffering,suffering
692,GerDracor/gotter-der-dorfjahrmarkt.xml,27710,27746,Ein Soldat muß sich in alles finden.,negative,emotions of affection,emotional movement
693,GerDracor/gotter-der-dorfjahrmarkt.xml,27747,27793,"In der
              Garnison ist's auch fein.",positive,emotions of joy,joy
694,GerDracor/gotter-der-dorfjahrmarkt.xml,27794,27876,"Da sitzen wir auf den Wällen und schmauchen, und singen
              Gassenhauer.",positive,emotions of joy,joy
695,GerDracor/gotter-der-dorfjahrmarkt.xml,27878,27896,Will trällernd ab.,positive,emotions of joy,joy
696,GerDracor/gotter-der-dorfjahrmarkt.xml,27897,28002,"nachdem er vergebens durch allerley Geräusch sich bemerken zu machen gesuchthat,
              ruft nach.",emotional movement,emotional movement,emotional movement
697,GerDracor/gotter-der-dorfjahrmarkt.xml,28003,28029,"Um Vergebung, Herr Fikfak.",negative,emotions of suffering,suffering
698,GerDracor/gotter-der-dorfjahrmarkt.xml,28030,28043,Auf ein Wort!,negative,emotional movement,emotional movement
699,GerDracor/gotter-der-dorfjahrmarkt.xml,28044,28059,sich umdrehend.,emotional movement,emotional movement,emotional movement
700,GerDracor/gotter-der-dorfjahrmarkt.xml,28061,28074,Um Vergebung.,negative,emotions of suffering,suffering
701,GerDracor/gotter-der-dorfjahrmarkt.xml,28075,28187,"Haben Sie die französischen Deserteurs schon gesehen, die sich auf dem
              Jahrmarkt aufhalten sollen?",negative,emotions of rejection,"hate, disgust"
702,GerDracor/gotter-der-dorfjahrmarkt.xml,28188,28199,Deserteurs?,emotional movement,emotions of rejection,emotional movement
703,GerDracor/gotter-der-dorfjahrmarkt.xml,28200,28213,Französische?,emotional movement,emotional movement,emotional movement
704,GerDracor/gotter-der-dorfjahrmarkt.xml,28214,28240,Das ist mir lieb zu hören.,positive,emotions of joy,joy
705,GerDracor/gotter-der-dorfjahrmarkt.xml,28241,28344,"Es geht auch ein Tyroler mit wollenen Decken herum, der sein gestrichenes Maaß haben
              mag.",negative,emotions of rejection,"hate, disgust"
706,GerDracor/gotter-der-dorfjahrmarkt.xml,28345,28381,"Danke für die Nachricht, Herr Greif.",positive,emotions of joy,joy
707,GerDracor/gotter-der-dorfjahrmarkt.xml,28382,28418,Das Leipziger Lenchen ist auch hier.,positive,emotions of joy,joy
708,GerDracor/gotter-der-dorfjahrmarkt.xml,28419,28432,Immer besser!,positive,emotions of joy,joy
709,GerDracor/gotter-der-dorfjahrmarkt.xml,28433,28439,Danke!,negative,emotions of joy,joy
710,GerDracor/gotter-der-dorfjahrmarkt.xml,28440,28446,danke!,negative,emotions of joy,joy
711,GerDracor/gotter-der-dorfjahrmarkt.xml,28448,28458,Will fort.,negative,emotions of rejection,anger
712,GerDracor/gotter-der-dorfjahrmarkt.xml,28459,28482,ihm stärker nachrufend.,positive,emotions of suffering,emotional movement
713,GerDracor/gotter-der-dorfjahrmarkt.xml,28483,28495,Schon gehen?,negative,emotional movement,emotional movement
714,GerDracor/gotter-der-dorfjahrmarkt.xml,28496,28511,so rund vorbey?,negative,emotions of suffering,emotional movement
715,GerDracor/gotter-der-dorfjahrmarkt.xml,28512,28554,Einen alten Kunden mit Verachtung strafen?,negative,emotions of rejection,"hate, disgust"
716,GerDracor/gotter-der-dorfjahrmarkt.xml,28555,28568,Ein andermal.,negative,emotions of rejection,anger
717,GerDracor/gotter-der-dorfjahrmarkt.xml,28569,28583,Ich bin eilig.,emotional movement,emotional movement,emotional movement
718,GerDracor/gotter-der-dorfjahrmarkt.xml,28585,28625,"Trällert wieder im Abgehen, steht still.",negative,emotions of suffering,joy
719,GerDracor/gotter-der-dorfjahrmarkt.xml,28626,28635,Trällert.,negative,emotions of suffering,joy
720,GerDracor/gotter-der-dorfjahrmarkt.xml,28636,28657,Will ab kömmt wieder.,negative,emotions of rejection,anger
721,GerDracor/gotter-der-dorfjahrmarkt.xml,28658,28702,"Auf ewig, o Kriegsgott, ergeb' ich mich dir.",positive,emotions of affection,love
722,GerDracor/gotter-der-dorfjahrmarkt.xml,28703,28716,Hier bin ich!,positive,emotions of joy,joy
723,GerDracor/gotter-der-dorfjahrmarkt.xml,28717,28747,"O, mach' einen Helden aus mir!",positive,emotions of affection,joy
724,GerDracor/gotter-der-dorfjahrmarkt.xml,28749,28789,Mit Ehr' und Vergnügen belohnest du sie.,positive,emotions of joy,joy
725,GerDracor/gotter-der-dorfjahrmarkt.xml,28790,28834,Wie will ich in meiner Montirung mich blähn!,negative,emotions of rejection,suffering
726,GerDracor/gotter-der-dorfjahrmarkt.xml,28835,28976,"Will stolz um mich her, wie ein Junkerchen, sehn, Wenn Bürger und Bauer vor mir sich nun bückt, Und jegliches Mädchen mir freundlicher nickt.",positive,emotions of affection,admiration
727,GerDracor/gotter-der-dorfjahrmarkt.xml,28977,29061,"Der Bürger und Bauer lebt immer so so, Wird alt, und dabey seines Lebens nicht froh.",negative,emotions of suffering,suffering
728,GerDracor/gotter-der-dorfjahrmarkt.xml,29062,29147,"Ich lobe mir kurz, aber lustig gelebt, Und sorge nicht, wann und wo man mich begräbt.",positive,emotions of joy,joy
729,GerDracor/gotter-der-dorfjahrmarkt.xml,29148,29241,"Geht ab;Greif hat sich indessen verdrüßlich wieder in seine Bude
              zurückgezogen.",negative,emotions of rejection,anger
730,GerDracor/gotter-der-dorfjahrmarkt.xml,29242,29268,Voriger Schauplatz Nathan.,positive,emotional movement,emotional movement
731,GerDracor/gotter-der-dorfjahrmarkt.xml,29269,29275,Tobis.,emotional movement,emotional movement,emotional movement
732,GerDracor/gotter-der-dorfjahrmarkt.xml,29276,29284,Jeremis.,emotional movement,emotional movement,emotional movement
733,GerDracor/gotter-der-dorfjahrmarkt.xml,29285,29291,Jobst.,emotional movement,emotional movement,emotional movement
734,GerDracor/gotter-der-dorfjahrmarkt.xml,29292,29299,Michel.,emotional movement,emotions of rejection,emotional movement
735,GerDracor/gotter-der-dorfjahrmarkt.xml,29300,29306,Lukas.,emotional movement,emotional movement,emotional movement
736,GerDracor/gotter-der-dorfjahrmarkt.xml,29307,29314,Bauern.,negative,emotions of rejection,anger
737,GerDracor/gotter-der-dorfjahrmarkt.xml,29315,29322,Fikfak.,negative,emotions of rejection,emotional movement
738,GerDracor/gotter-der-dorfjahrmarkt.xml,29323,29329,Greif.,negative,emotions of rejection,emotional movement
739,GerDracor/gotter-der-dorfjahrmarkt.xml,29330,29354,"In der
            Bude.",negative,emotions of rejection,anger
740,GerDracor/gotter-der-dorfjahrmarkt.xml,29355,29549,"Nathan springt über das Theater; Tobis hinkt hinter ihm an; die übrigen wollen auch
            nach; Lukas sucht sie zurückzuhalten; Fikfak schleicht herbey, und lauscht vom
            weiten.",emotional movement,emotional movement,emotional movement
741,GerDracor/gotter-der-dorfjahrmarkt.xml,29550,29563,Tumultgesang.,negative,emotional movement,emotional movement
742,GerDracor/gotter-der-dorfjahrmarkt.xml,29564,29581,Dort lief er hin.,negative,emotions of rejection,emotional movement
743,GerDracor/gotter-der-dorfjahrmarkt.xml,29582,29600,"Ey, laßt ihn gehn!",negative,emotions of suffering,anger
744,GerDracor/gotter-der-dorfjahrmarkt.xml,29601,29617,Er ist der Dieb.,negative,emotions of rejection,"hate, disgust"
745,GerDracor/gotter-der-dorfjahrmarkt.xml,29618,29635,Ich hab's gesehn.,positive,emotions of joy,joy
