,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1390,GerDracor/grillparzer-sappho.xml,74117,74143,"Hierher, Melitta, hierher!",negative,emotions of rejection,emotional movement
1391,GerDracor/grillparzer-sappho.xml,74144,74202,"Zittre nicht, Dir soll kein Leid geschehn solang ich atme!",negative,emotions of suffering,compassion
1392,GerDracor/grillparzer-sappho.xml,74203,74294,"Verruchte, konntet ihr dies Haupt verletzen, Das reine Haupt der Unschuld, und seid Männer?",negative,emotions of rejection,"hate, disgust"
1393,GerDracor/grillparzer-sappho.xml,74295,74381,"So grausam dacht ich höchstens mir ein Weib, Ein schwaches, feiges, aufgereiztes Weib.",negative,emotions of rejection,"hate, disgust"
1394,GerDracor/grillparzer-sappho.xml,74382,74429,"Du warsts, der nach ihr schlug, ich kenne dich!",positive,emotions of rejection,"hate, disgust"
1395,GerDracor/grillparzer-sappho.xml,74430,74450,"Fort, von mir, fort!",negative,emotions of rejection,anger
1396,GerDracor/grillparzer-sappho.xml,74451,74515,Daß ich die Rachegötter Vorgreifend nicht um ihren Raub betrüge!,negative,emotions of rejection,"hate, disgust"
1397,GerDracor/grillparzer-sappho.xml,74516,74535,Wie fühlst du dich.,emotional movement,emotional movement,emotional movement
1398,GerDracor/grillparzer-sappho.xml,74536,74541,Wohl!,positive,emotions of suffering,joy
1399,GerDracor/grillparzer-sappho.xml,74542,74651,"O, dein Blick verneint, Dies Zittern, diese Blässe, laut verrät sie Die erste Lüge, die dein Mund gesprochen!",negative,emotions of suffering,suffering
1400,GerDracor/grillparzer-sappho.xml,74652,74736,"Versuche nicht, den Grimm in mir zu dämpfen, Zu neuer Glut fachst du die Flammen an!",negative,emotions of rejection,anger
1401,GerDracor/grillparzer-sappho.xml,74737,75048,"Hier setze dich auf diesem Rasensitz; Hier, wo dein mildes, himmelklares Auge Zum erstenmale mir entgegenglänzte Und wie des Tages goldner Morgenstrahl Des Schlafes düstre Bande von mir löste, In den mich jene Zauberin gesungen, Hier, wo die Lieb ihr holdes Werk begann, Auf dieser Stelle sei es auch vollendet!",positive,emotions of affection,love
1402,GerDracor/grillparzer-sappho.xml,75049,75057,Sprecht!,negative,emotions of fear,emotional movement
1403,GerDracor/grillparzer-sappho.xml,75058,75072,Wo ist Sappho!,emotional movement,emotions of rejection,emotional movement
1404,GerDracor/grillparzer-sappho.xml,75073,75094,"Phaon, ruf sie nicht!",negative,emotions of rejection,anger
