,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
666,GerDracor/kurz-prinzessin-pumphia.xml,38502,38552,"Soldaten reist ihn hin, ich will, es soll so seyn.",positive,emotions of rejection,Schadenfreude
667,GerDracor/kurz-prinzessin-pumphia.xml,38553,38656,"Die Soldaten werffen den Cyrum vor den Thron auf die Erden; Kulican will auf ihn
              steigen.",positive,emotions of rejection,admiration
668,GerDracor/kurz-prinzessin-pumphia.xml,38657,38712,"Pumphia aber springt ihm vor, und setzt sich auf Cyrum.",positive,emotional movement,emotional movement
669,GerDracor/kurz-prinzessin-pumphia.xml,38713,38761,"Ich sage, weicht zurück, das geh ich nimmer ein.",negative,emotions of rejection,fear
670,GerDracor/kurz-prinzessin-pumphia.xml,38762,38775,hebt sie auf.,positive,emotions of affection,emotional movement
671,GerDracor/kurz-prinzessin-pumphia.xml,38776,38780,Ach!,negative,emotions of suffering,suffering
672,GerDracor/kurz-prinzessin-pumphia.xml,38781,38830,"meiner Pumphia, der folge ich in allen, Zu Cyrus.",positive,emotions of affection,love
673,GerDracor/kurz-prinzessin-pumphia.xml,38831,38890,"Steh auf, du hast Pardon, Die Soldaten heben den Cyrum auf.",positive,emotions of rejection,joy
674,GerDracor/kurz-prinzessin-pumphia.xml,38891,38916,So kanst du mir gefallen.,positive,emotions of affection,anger
675,GerDracor/kurz-prinzessin-pumphia.xml,38917,38963,Pumphia und Kulican setzen sich auf den Thron.,positive,emotions of joy,admiration
676,GerDracor/kurz-prinzessin-pumphia.xml,38964,38984,Ihr tapfren Tartarn!,positive,emotions of fear,fear
677,GerDracor/kurz-prinzessin-pumphia.xml,38985,39153,"seht, hier sitzet meine Braut, Die mir der Himmel selbst zur Freude angetraut, Die wird als Königin mit mir hinfüro leben, Bezeiget eure Freud, last eure Stimm erheben.",positive,emotions of joy,joy
678,GerDracor/kurz-prinzessin-pumphia.xml,39154,39173,Ihr tapfren Perser!,negative,emotions of affection,compassion
679,GerDracor/kurz-prinzessin-pumphia.xml,39174,39355,"seht, hier sitzet Kulican, Der Abfaum der Natur, der Wüttrich, der Tyrann, Der Mörder unsers Volks, und Persiens Verderben, Eh ich sein Weib will seyn, will ich viel lieber sterben.",negative,emotions of rejection,"hate, disgust"
680,GerDracor/kurz-prinzessin-pumphia.xml,39356,39366,Prinzeßin!,positive,emotional movement,emotional movement
681,GerDracor/kurz-prinzessin-pumphia.xml,39367,39377,rasest du?,negative,emotions of rejection,anger
682,GerDracor/kurz-prinzessin-pumphia.xml,39378,39428,"Nein, nein ich rase nicht, Ich weiß, Abscheuliger!",negative,emotions of rejection,"hate, disgust"
683,GerDracor/kurz-prinzessin-pumphia.xml,39429,39456,was Zorn und Eyfer spricht.,negative,emotions of rejection,anger
684,GerDracor/kurz-prinzessin-pumphia.xml,39457,39508,"Du Scheusaal der Natur, du Feind von meinem Herzen.",negative,emotions of rejection,"hate, disgust"
685,GerDracor/kurz-prinzessin-pumphia.xml,39509,39565,Pflegt hier das Frauen-volk auf solche Art zu schertzen?,negative,emotions of rejection,"hate, disgust"
686,GerDracor/kurz-prinzessin-pumphia.xml,39566,39615,"Dafür bedank ich mich, weist du auch wer ich bin?",positive,emotions of affection,joy
687,GerDracor/kurz-prinzessin-pumphia.xml,39616,39642,"Gar wol, verhaster Mensch!",negative,emotions of rejection,"hate, disgust"
688,GerDracor/kurz-prinzessin-pumphia.xml,39643,39670,scher dich zum Hencker hin.,negative,emotions of rejection,anger
689,GerDracor/kurz-prinzessin-pumphia.xml,39671,39696,Verdammtes Affen-g'sicht!,negative,emotions of rejection,anger
690,GerDracor/kurz-prinzessin-pumphia.xml,39697,39775,"viel ehnder alle Plagen, Und auch den ärgsten Tod will ich ganz gern ertragen.",negative,emotions of suffering,suffering
691,GerDracor/kurz-prinzessin-pumphia.xml,39776,39785,fält ein.,emotional movement,emotions of joy,emotional movement
692,GerDracor/kurz-prinzessin-pumphia.xml,39786,39896,"Jetzt geht die Sach zuweit, und die Gedult zerreist, So daß mein Zorn und Grimm, dich von dem Throne schmeist.",negative,emotions of rejection,anger
