,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
1461,1461,1461,GerDracor/lessing-der-schatz.xml,Lelio an der Szene.,0,19,stage_direction,1,18,pre_speech,,,,,no_annotation,K,,1750.0,no_annotation,no_annotation
1462,1462,1462,GerDracor/lessing-der-schatz.xml,Die Vorigen.,20,32,stage_direction,1,18,pre_speech,,,,,no_annotation,K,,1750.0,no_annotation,no_annotation
1463,1463,1463,GerDracor/lessing-der-schatz.xml,Und steckte ihn an.,0,19,character_speech,1,18,,MASKARILL.,#maskarill,605.0,MALE,no_annotation,K,,1750.0,no_annotation,no_annotation
1464,1464,1464,GerDracor/lessing-der-schatz.xml,"Komm, rief er, Maskarill; mein Vater wird auf mich zürnen, und sein
            Zorn ist mir unerträglich.",20,126,character_speech,1,18,,MASKARILL.,#maskarill,605.0,MALE,anger,K,,1750.0,negative,emotions of rejection
1465,1465,1465,GerDracor/lessing-der-schatz.xml,"Ich will nicht länger leben, ohne ihn zu versöhnen.",127,178,character_speech,1,18,,MASKARILL.,#maskarill,605.0,MALE,friendship,K,,1750.0,positive,emotions of affection
1466,1466,1466,GerDracor/lessing-der-schatz.xml,"Er
            stürzte die Treppe herab, lief sporenstreichs zum Hause hinaus, und warf sich nicht weit
            von hier –",179,305,character_speech,1,18,,MASKARILL.,#maskarill,605.0,MALE,no_annotation,K,,1750.0,no_annotation,no_annotation
1467,1467,1467,GerDracor/lessing-der-schatz.xml,"Indem Maskarill dieses sagt, und Anselmo gegen ihn gekehrt ist, fällt
              ihm Lelio auf der andern Seite zu Füßen.",0,124,stage_direction,1,18,inner_speech,,#maskarill,605.0,MALE,no_annotation,K,,1750.0,no_annotation,no_annotation
1468,1468,1468,GerDracor/lessing-der-schatz.xml, – – zu den Füßen seines Vaters.,0,32,character_speech,1,18,,MASKARILL.,#maskarill,605.0,MALE,no_annotation,K,,1750.0,no_annotation,no_annotation
1469,1469,1469,GerDracor/lessing-der-schatz.xml,"–
            –",33,48,character_speech,1,18,,MASKARILL.,#maskarill,605.0,MALE,no_annotation,K,,1750.0,no_annotation,no_annotation
1470,1470,1470,GerDracor/lessing-der-schatz.xml,"Verzeihen Sie, liebster Vater, daß ich durch dieses Mittel versuchen wollen, ob Ihr
            Herz gegen mich noch einiges Mitleids fähig ist.",0,144,character_speech,1,18,,LELIO.,#lelio,606.0,MALE,compassion,K,,1750.0,negative,emotions of suffering and empathy
