,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/engel-eid-und-pflicht.xml,Madame Welldorf.,0,16,stage_direction,1,1,pre_speech,,,,,no_annotation,T,,1776.0,no_annotation,no_annotation
1,1,GerDracor/engel-eid-und-pflicht.xml,Dann Sophie.,17,29,stage_direction,1,1,pre_speech,,,,,no_annotation,T,,1776.0,no_annotation,no_annotation
2,2,GerDracor/engel-eid-und-pflicht.xml,unruhig umhergehend.,0,20,stage_direction,1,1,speech_part,,#madame_welldorf,1.0,FEMALE,being moved,T,,1776.0,being moved,being moved
3,3,GerDracor/engel-eid-und-pflicht.xml,"Sie, kömmt nicht.",0,17,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
4,4,GerDracor/engel-eid-und-pflicht.xml,"Sie weiss, mit welcher ängstlichen Ungeduld ich nach ihr aussehe,
              und kommt nicht.",18,114,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,fear,T,,1776.0,negative,emotions of anxiety
5,5,GerDracor/engel-eid-und-pflicht.xml,– O dies schreckliche Leben!,115,143,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,suffering,T,,1776.0,negative,emotions of suffering and empathy
6,6,GerDracor/engel-eid-und-pflicht.xml,"Ich könnte wünschen, dass nur Alles aus,
              Alles entschieden wäre.",144,222,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
7,7,GerDracor/engel-eid-und-pflicht.xml,So wär' ich doch ruhig.,223,246,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,being moved,T,,1776.0,being moved,being moved
8,8,GerDracor/engel-eid-und-pflicht.xml,– –,247,250,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
9,9,GerDracor/engel-eid-und-pflicht.xml,"Horchend und dann
                entgegen.",0,43,stage_direction,1,1,inner_speech,,#madame_welldorf,1.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
10,10,GerDracor/engel-eid-und-pflicht.xml, Endlich!,0,9,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,joy,T,,1776.0,positive,emotions of pleasure
11,11,GerDracor/engel-eid-und-pflicht.xml,"Ja, sie ist es; ihr Gang.",10,35,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
12,12,GerDracor/engel-eid-und-pflicht.xml,– Nun?,36,42,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
13,13,GerDracor/engel-eid-und-pflicht.xml,"Nun, Sophie?",43,55,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,1.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
14,14,GerDracor/engel-eid-und-pflicht.xml,ausser Athem.,0,13,stage_direction,1,1,speech_part,,#sophie,2.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
15,15,GerDracor/engel-eid-und-pflicht.xml,Ah Madam!,0,9,character_speech,1,1,,SOPHIE,#sophie,2.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
16,16,GerDracor/engel-eid-und-pflicht.xml,Wer doch lieber nicht reden dürfte!,10,45,character_speech,1,1,,SOPHIE,#sophie,2.0,FEMALE,anger,T,,1776.0,negative,emotions of rejection
17,17,GerDracor/engel-eid-und-pflicht.xml,erschrocken.,0,12,stage_direction,1,1,speech_part,,#madame_welldorf,3.0,FEMALE,being moved,T,,1776.0,being moved,being moved
18,18,GerDracor/engel-eid-und-pflicht.xml,Wie?,0,4,character_speech,1,1,,MADAME WELLDORF,#madame_welldorf,3.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
19,19,GerDracor/engel-eid-und-pflicht.xml,Die Geissel sollen fort.,0,24,character_speech,1,1,,SOPHIE.,#sophie,4.0,FEMALE,no_annotation,T,,1776.0,no_annotation,no_annotation
