,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
436,GerDracor/grillparzer-der-gastfreund.xml,19927,20046,"Du unbekannte Macht, die her mich führend, Dies Pfand der Rettung huldvoll einst mir gab Und  Zu dir ruf ich empor nun!",positive,emotions of affection,admiration
437,GerDracor/grillparzer-der-gastfreund.xml,20047,20057,Höre mich!,negative,emotions of rejection,emotional movement
438,GerDracor/grillparzer-der-gastfreund.xml,20058,20210,"Hab ich den  Das Haupt darbietend dem Verräternetz Und blind dem Schicksal trauend statt mir selber, So laß doch  Und halte deines Wortes zweite Hälfte!",negative,emotions of rejection,"hate, disgust"
439,GerDracor/grillparzer-der-gastfreund.xml,20211,20227,Was zauderst du?,negative,emotions of rejection,emotional movement
440,GerDracor/grillparzer-der-gastfreund.xml,20228,20235,Aietes!,positive,emotions of rejection,emotional movement
441,GerDracor/grillparzer-der-gastfreund.xml,20236,20250,"Nun, was noch?",negative,emotional movement,fear
442,GerDracor/grillparzer-der-gastfreund.xml,20251,20291,"Ich bin dein Gast, und du verrätst mich?",negative,emotions of rejection,anger
443,GerDracor/grillparzer-der-gastfreund.xml,20292,20302,Mein Gast?,emotional movement,emotional movement,emotional movement
444,GerDracor/grillparzer-der-gastfreund.xml,20303,20314,Mein Feind.,negative,emotions of rejection,"hate, disgust"
445,GerDracor/grillparzer-der-gastfreund.xml,20315,20356,"Was suchtest du, Fremder, in meinem Land?",emotional movement,emotional movement,emotional movement
446,GerDracor/grillparzer-der-gastfreund.xml,20357,20370,Tempelräuber!,negative,emotions of rejection,anger
447,GerDracor/grillparzer-der-gastfreund.xml,20371,20400,Hab ich dir Gastrecht gelobt?,negative,emotional movement,anger
448,GerDracor/grillparzer-der-gastfreund.xml,20401,20427,dich geladen in mein Haus?,negative,emotions of rejection,anger
449,GerDracor/grillparzer-der-gastfreund.xml,20428,20460,"Nichts versprach ich, Törichter!",negative,emotions of rejection,suffering
450,GerDracor/grillparzer-der-gastfreund.xml,20461,20489,Verderbt durch eigne Schuld!,negative,emotions of suffering,"hate, disgust"
451,GerDracor/grillparzer-der-gastfreund.xml,20490,20525,Damit beschönst du deine Freveltat?,negative,emotions of rejection,compassion
452,GerDracor/grillparzer-der-gastfreund.xml,20526,20547,"O, triumphiere nicht!",negative,emotions of rejection,despair
