,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
1083,1083,1083,GerDracor/schlegel-canut.xml,"Canut, Godschalk, Godewin, Estrithe.",0,36,stage_direction,5,5,pre_speech,,,,,no_annotation,T,HT,1746.0,no_annotation,no_annotation
1084,1084,1084,GerDracor/schlegel-canut.xml,"
              Herr, wenn ich strafbar bin, ist es des Glücks Verbrechen.",0,73,character_speech,5,5,,GODSCHALK.,#godschalk,253.0,MALE,joy,T,HT,1746.0,positive,emotions of pleasure
1085,1085,1085,GerDracor/schlegel-canut.xml,"Dieß zwang mich mit Gewalt, am Ulfo dich zu rächen.",88,139,character_speech,5,5,,GODSCHALK.,#godschalk,253.0,MALE,abhorrence,T,HT,1746.0,negative,emotions of rejection
1086,1086,1086,GerDracor/schlegel-canut.xml,"Der Degen, den mein Arm dir willig übergiebt,
              Ist von dem Blut gefärbt, das dich so schlecht geliebt.",154,269,character_speech,5,5,,GODSCHALK.,#godschalk,253.0,MALE,love,T,HT,1746.0,positive,emotions of affection
1087,1087,1087,GerDracor/schlegel-canut.xml,Wie?,0,4,character_speech,5,5,,ESTRITHE.,#estrithe,254.0,FEMALE,no_annotation,T,HT,1746.0,no_annotation,no_annotation
1088,1088,1088,GerDracor/schlegel-canut.xml,"Mörder, und so schnell entreißt man ihm das Leben?",5,55,character_speech,5,5,,ESTRITHE.,#estrithe,254.0,FEMALE,no_annotation,T,HT,1746.0,no_annotation,no_annotation
1089,1089,1089,GerDracor/schlegel-canut.xml,Ach!,0,4,character_speech,5,5,,GODEWIN.,#godewin,255.0,MALE,suffering,T,HT,1746.0,negative,emotions of suffering and empathy
1090,1090,1090,GerDracor/schlegel-canut.xml,Doch wer hatte dir das Rachschwerdt übergeben?,0,46,character_speech,5,5,,CANUT.,#canut,256.0,MALE,no_annotation,T,HT,1746.0,no_annotation,no_annotation
1091,1091,1091,GerDracor/schlegel-canut.xml,"
              Ich riß nur durch sein Blut mich selbst aus der Gefahr,
              Und gab ihm einen Tod, der mir gedrohet war.",0,129,character_speech,5,5,,GODSCHALK.,#godschalk,257.0,MALE,despair,T,HT,1746.0,negative,emotions of anxiety
1092,1092,1092,GerDracor/schlegel-canut.xml,"Ich nahte mich hieher mit unbesorgtem Schritte,
              Zu sagen, daß mein Heer um Ulfons Strafe bitte,
              Und wie voll Abscheu es sich vor der Wut entsetzt,
              Zu deren Werkzeug er es schlecht genug geschätzt.",144,382,character_speech,5,5,,GODSCHALK.,#godschalk,257.0,MALE,abhorrence,T,HT,1746.0,negative,emotions of rejection
1093,1093,1093,GerDracor/schlegel-canut.xml,"Man führet ihn von dir umringt und ohne Waffen,
               Doch seine Rachbegier wußt ihm ein Schwerdt zu schaffen.",397,516,character_speech,5,5,,GODSCHALK.,#godschalk,257.0,MALE,abhorrence,T,HT,1746.0,negative,emotions of rejection
1094,1094,1094,GerDracor/schlegel-canut.xml,"Er reißt der nächsten Wacht es rasend aus der Hand;
              Er eilet auf mich zu, ich sah ihn, und ich stand.",531,646,character_speech,5,5,,GODSCHALK.,#godschalk,257.0,MALE,fear,T,HT,1746.0,negative,emotions of anxiety
1095,1095,1095,GerDracor/schlegel-canut.xml,"Kaum hatt ich Zeit genug, den Degen zu entblössen,
              So ängstet mich sein Schwerdt mit wiederholten Stössen.",661,781,character_speech,5,5,,GODSCHALK.,#godschalk,257.0,MALE,fear,T,HT,1746.0,negative,emotions of anxiety
