,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
109,GerDracor/grillparzer-der-gastfreund.xml,4800,4804,Wem?,emotional movement,emotional movement,emotional movement
110,GerDracor/grillparzer-der-gastfreund.xml,4805,4826,"Uns, wenn wir wollen.",positive,emotions of affection,love
111,GerDracor/grillparzer-der-gastfreund.xml,4827,4831,Uns?,emotional movement,emotional movement,emotional movement
112,GerDracor/grillparzer-der-gastfreund.xml,4832,4892,"'s sind Fremde, sind Feinde, Kommen zu verwüsten unser Land.",negative,emotions of rejection,"hate, disgust"
113,GerDracor/grillparzer-der-gastfreund.xml,4893,4917,So geh hin und töte sie!,negative,emotions of rejection,"hate, disgust"
114,GerDracor/grillparzer-der-gastfreund.xml,4918,5025,"Zahlreich sind sie und stark bewehrt, Reich an List die fremden Männer, Leicht töten sie  So laß sie ziehn!",negative,emotions of rejection,"hate, disgust"
115,GerDracor/grillparzer-der-gastfreund.xml,5026,5037,Nimmermehr.,negative,emotions of rejection,anger
116,GerDracor/grillparzer-der-gastfreund.xml,5038,5096,"Sie sollen mir – Tu was du willst, Mich aber laß zur Jagd!",negative,emotions of rejection,anger
117,GerDracor/grillparzer-der-gastfreund.xml,5097,5119,"Bleib, sag ich, bleib!",negative,emotions of fear,anger
118,GerDracor/grillparzer-der-gastfreund.xml,5120,5133,Was soll ich?,negative,emotional movement,anger
119,GerDracor/grillparzer-der-gastfreund.xml,5134,5141,Helfen!,negative,emotions of fear,fear
120,GerDracor/grillparzer-der-gastfreund.xml,5142,5148,Raten!,emotional movement,emotions of joy,emotional movement
121,GerDracor/grillparzer-der-gastfreund.xml,5149,5153,Ich?,emotional movement,emotional movement,emotional movement
122,GerDracor/grillparzer-der-gastfreund.xml,5154,5182,"Du bist klug, du bist stark.",positive,emotions of affection,admiration
123,GerDracor/grillparzer-der-gastfreund.xml,5183,5298,"Dich hat die Mutter gelehrt Aus Kräutern, aus Steinen Tränke bereiten, Die den Willen binden Und fesseln die Kraft.",negative,emotions of affection,suffering
124,GerDracor/grillparzer-der-gastfreund.xml,5299,5367,"Du rufst Geister Und besprichst den Mond, Hilf mir, mein gutes Kind!",negative,emotions of fear,fear
125,GerDracor/grillparzer-der-gastfreund.xml,5368,5392,Bin ich dein gutes Kind!,positive,emotions of affection,friendship
126,GerDracor/grillparzer-der-gastfreund.xml,5393,5423,Sonst achtest du meiner wenig.,negative,emotions of rejection,admiration
127,GerDracor/grillparzer-der-gastfreund.xml,5424,5595,"Wenn ich will, willst du  Und schiltst mich und schlägst nach mir; Aber wenn du mein bedarfst, Lockst du mich mit Schmeichelworten Und nennst mich Medea, dein liebes Kind.",negative,emotions of rejection,"hate, disgust"
128,GerDracor/grillparzer-der-gastfreund.xml,5596,5630,"Vergiß, Medea, was sonst geschehn.",negative,emotions of fear,despair
129,GerDracor/grillparzer-der-gastfreund.xml,5631,5674,Bist doch auch nicht immer wie du solltest.,negative,emotions of rejection,anger
130,GerDracor/grillparzer-der-gastfreund.xml,5675,5707,Jetzt steh mir bei und hilf mir.,negative,emotions of affection,friendship
131,GerDracor/grillparzer-der-gastfreund.xml,5708,5713,Wozu?,emotional movement,emotional movement,emotional movement
132,GerDracor/grillparzer-der-gastfreund.xml,5714,5747,"So höre denn, mein gutes Mädchen!",positive,emotions of affection,joy
133,GerDracor/grillparzer-der-gastfreund.xml,5748,5806,Das Gold der Fremden all und ihre Schätze – Gelt lächelst?,positive,emotions of joy,"hate, disgust"
134,GerDracor/grillparzer-der-gastfreund.xml,5807,5811,Ich?,emotional movement,emotional movement,emotional movement
135,GerDracor/grillparzer-der-gastfreund.xml,5812,5913,"Ei ja, das viele Gold, Die bunten Steine und die reichen Kleider, Wie sollen die mein Mädchen zieren!",negative,emotions of joy,suffering
136,GerDracor/grillparzer-der-gastfreund.xml,5914,5927,"Ei, immerhin!",emotional movement,emotions of rejection,emotional movement
137,GerDracor/grillparzer-der-gastfreund.xml,5928,5999,"Du schlaue Bübin, sieh, Ich weiß, dir lacht das Herz nach all der Zier!",positive,emotions of joy,joy
138,GerDracor/grillparzer-der-gastfreund.xml,6000,6027,"Kommt nur zur Sache, Vater!",negative,emotions of rejection,anger
139,GerDracor/grillparzer-der-gastfreund.xml,6028,6061,Ich – Heiß dort die Mädchen gehn!,negative,emotions of affection,joy
140,GerDracor/grillparzer-der-gastfreund.xml,6062,6068,Warum?,emotional movement,emotional movement,emotional movement
141,GerDracor/grillparzer-der-gastfreund.xml,6069,6079,Ich wills!,positive,emotions of joy,joy
142,GerDracor/grillparzer-der-gastfreund.xml,6080,6111,Sie sollen ja mit mir zur Jagd.,negative,emotions of rejection,Schadenfreude
143,GerDracor/grillparzer-der-gastfreund.xml,6112,6128,Heut keine Jagd!,negative,emotions of rejection,anger
144,GerDracor/grillparzer-der-gastfreund.xml,6129,6135,Nicht?,negative,emotions of joy,emotional movement
145,GerDracor/grillparzer-der-gastfreund.xml,6136,6158,Nein sag ich und nein!,negative,emotions of rejection,suffering
146,GerDracor/grillparzer-der-gastfreund.xml,6159,6168,und nein!,negative,emotions of joy,emotional movement
147,GerDracor/grillparzer-der-gastfreund.xml,6169,6218,"Erst lobst du mich und – Nun, sei gut, mein Kind!",positive,emotions of rejection,joy
148,GerDracor/grillparzer-der-gastfreund.xml,6219,6232,Komm hierher!,negative,emotions of rejection,fear
149,GerDracor/grillparzer-der-gastfreund.xml,6233,6240,Weiter!,negative,emotions of fear,anger
150,GerDracor/grillparzer-der-gastfreund.xml,6241,6253,"hierher, so!",negative,emotions of suffering,emotional movement
151,GerDracor/grillparzer-der-gastfreund.xml,6254,6302,"Du bist ein kluges Mädchen, dir kann ich trauen.",positive,emotions of affection,friendship
152,GerDracor/grillparzer-der-gastfreund.xml,6303,6315,Ich – – Nun!,negative,emotional movement,emotional movement
153,GerDracor/grillparzer-der-gastfreund.xml,6316,6355,Was siehst du mir so starr ins Antlitz?,emotional movement,emotions of suffering,emotional movement
154,GerDracor/grillparzer-der-gastfreund.xml,6356,6372,"Ich höre, Vater!",emotional movement,emotional movement,emotional movement
155,GerDracor/grillparzer-der-gastfreund.xml,6373,6391,"O, ich kenne dich!",positive,emotions of rejection,anger
156,GerDracor/grillparzer-der-gastfreund.xml,6392,6432,"Willst du den Vater meistern, Ungeratne?",negative,emotions of fear,"hate, disgust"
157,GerDracor/grillparzer-der-gastfreund.xml,6434,6449,Du  Medea geht.,positive,emotional movement,emotional movement
