,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/pfeil-lucie-woodvil.xml,Sir Willhelm und Sir Robert.,0,28,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1,1,GerDracor/pfeil-lucie-woodvil.xml,"Nein, Robert, tadle diese Betrübnis nicht.",0,42,character_speech,1,1,,WILLHELM.,#willhelm,1.0,MALE,suffering,negative,emotions of suffering and empathy
2,2,GerDracor/pfeil-lucie-woodvil.xml,"Und wenn sie noch größer sein könnte, was
              für ein armseliges Opfer wäre sie immer noch für die Verbrechen, mit welchen ich in
              meinen jüngeren Jahren Gott und die Welt beleidiget habe?",43,254,character_speech,1,1,,WILLHELM.,#willhelm,1.0,MALE,suffering,negative,emotions of suffering and empathy
3,3,GerDracor/pfeil-lucie-woodvil.xml,"Dieser Eifer, mit welchem dein Herz wieder zu der Tugend zurückgekehret ist, hat dich
              bereits mit Gott und dem tugendhaften Teile der Welt wegen dieser Beleidigungen
              ausgesöhnet.",0,206,character_speech,1,1,,ROBERT.,#robert,2.0,MALE,"admiration, reverence",positive,emotions of affection
4,4,GerDracor/pfeil-lucie-woodvil.xml,"Deine guten Handlungen haben nunmehr deine bösen ungeschehen
              gemachet.",207,291,character_speech,1,1,,ROBERT.,#robert,2.0,MALE,joy,positive,emotions of pleasure
5,5,GerDracor/pfeil-lucie-woodvil.xml,Was sind diese guten Handlungen?,0,32,character_speech,1,1,,WILLHELM.,#willhelm,3.0,MALE,no_annotation,no_annotation,no_annotation
6,6,GerDracor/pfeil-lucie-woodvil.xml,"Können sie einem elenden Greise das traurige
              Andenken rauben, daß er in seiner Jugend ein Bösewicht war?",33,151,character_speech,1,1,,WILLHELM.,#willhelm,3.0,MALE,suffering,negative,emotions of suffering and empathy
7,7,GerDracor/pfeil-lucie-woodvil.xml,"Wer weiß, von wie vielen
              künftigen Lastern ich noch die elende Ursache bin?",152,241,character_speech,1,1,,WILLHELM.,#willhelm,3.0,MALE,suffering,negative,emotions of suffering and empathy
8,8,GerDracor/pfeil-lucie-woodvil.xml,"Wer weiß, wieviel Personen ich,
              auch ohne daß ich sie kenne, bereits zu Verbrechern gemachet habe oder noch machen
              werde?",242,391,character_speech,1,1,,WILLHELM.,#willhelm,3.0,MALE,abhorrence,negative,emotions of rejection
9,9,GerDracor/pfeil-lucie-woodvil.xml,"Kann ich bei allen diesen Vorstellungen eine Freude zu empfinden fähig
              sein?",392,482,character_speech,1,1,,WILLHELM.,#willhelm,3.0,MALE,joy,positive,emotions of pleasure
