,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,TextGrid/-Papinianus.xml,"
                                 Papinianus.",0,45,stage_direction,1,0,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1,1,TextGrid/-Papinianus.xml,"
                                 Papinianus.",0,45,stage_direction,1,0,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2,2,TextGrid/-Papinianus.xml,Der Käyserin Cämmerer.,46,68,stage_direction,1,0,pre_speech,,,,,no_annotation,no_annotation,no_annotation
3,3,TextGrid/-Papinianus.xml,Glück zu!,0,9,character_speech,1,0,,CÄMMERER.,CÄMMERER.,1.0,UNKNOWN,joy,positive,emotions of pleasure
4,4,TextGrid/-Papinianus.xml,Woher so früh?,0,14,character_speech,1,0,,PAPINIANUS.,PAPINIANUS.,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation
5,5,TextGrid/-Papinianus.xml,"
                                    Recht auß der Frauen Saal
                                    Das werthe Mutter-Hertz das stets in neue Qual
                                    Durch diese Zwytracht sinckt / bemüht mich jhn zu grüssen
                                    Und wil sich seiner Trew durch mich versichert wissen.",0,330,character_speech,1,0,,CÄMMERER.,CÄMMERER.,3.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
6,6,TextGrid/-Papinianus.xml,Wie?,0,4,character_speech,1,0,,PAPINIANUS.,PAPINIANUS.,4.0,UNKNOWN,no_annotation,no_annotation,no_annotation
7,7,TextGrid/-Papinianus.xml,Zweiffelt Julie an unverfälschter Gunst!,5,45,character_speech,1,0,,PAPINIANUS.,PAPINIANUS.,4.0,UNKNOWN,love,positive,emotions of affection
8,8,TextGrid/-Papinianus.xml,"
                                    Die ungewissen Fäll umbhüllt mit trübem Dunst
                                    Der Augen falscher Schein / der Klang vergällter Lippen /
                                    Der Hertzen Wanckelmut sind leider harte Klippen /
                                    An welchen Redli[ch]keit gar offt zu scheitern fährt.",0,353,character_speech,1,0,,CÄMMERER.,CÄMMERER.,5.0,UNKNOWN,suffering,negative,emotions of suffering and empathy
9,9,TextGrid/-Papinianus.xml,Es weiß Papinian was ihren Geist beschwert.,390,433,character_speech,1,0,,CÄMMERER.,CÄMMERER.,5.0,UNKNOWN,no_annotation,no_annotation,no_annotation
