,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,TextGrid/-Agrippina.xml,"
                                 Der Schauplatz stellet vor des Käysers Gemach.",0,80,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation
1,1,TextGrid/-Agrippina.xml,"
                                 Nero.",0,39,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation
2,2,TextGrid/-Agrippina.xml,Otho.,40,45,stage_direction,1,0,pre_speech,,,,,no_annotation,T,,1635.0,no_annotation,no_annotation
3,3,TextGrid/-Agrippina.xml,"
                                    So ists!",0,45,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation
4,4,TextGrid/-Agrippina.xml,"Die Sonn erstarrt für unsers Hauptes Glantz /
                                    Die Welt für unser Macht.",46,153,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,"admiration, reverence",T,,1635.0,positive,emotions of affection
5,5,TextGrid/-Agrippina.xml,"Des Ninus Sieges-Krantz
                                    Verwelckt für unserm Ruhm: Cyaxarens Gelücke
                                    Muß für des Käysers Sieg den Krebsgang gehn zurücke /
                                    Und Nerons Blitzen sängt der Grichen Lorbern weg.",154,434,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation
6,6,TextGrid/-Agrippina.xml,"Rom schätzt sich selbst zu tief für unsrer Thaten Zweck;
                                    Die Erde sich zu klein zum Schauplatz unsrer Wercke.",471,616,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation
7,7,TextGrid/-Agrippina.xml,"Des Numa Heyligkeit / des Römschen Vaters Stärcke /
                                    Der Muth des Julius / Tiberius Verstand
                                    Sind Schatten unsers Thuns und Spielwerck dieser Hand.",653,871,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,"admiration, reverence",T,,1635.0,positive,emotions of affection
8,8,TextGrid/-Agrippina.xml,Saturnus güldne Zeit ist gegen dieser eysern.,908,953,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation
9,9,TextGrid/-Agrippina.xml,"Sieg / Friede / Wolstand hat bey allen andern Käysern
                                    Nie / wie bey uns geblüht.",990,1106,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,joy,T,,1635.0,positive,emotions of pleasure
10,10,TextGrid/-Agrippina.xml,"Araxens gröste Stadt
                                          
                                          
                                          1
                                       
                                    
                                    Hat unser Arm geschleifft.",1107,1397,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation
11,11,TextGrid/-Agrippina.xml,"Der Tiridates hat
                                          
                                          
                                          2
                                       
                                    
                                    Durch Fußfall erst von uns erkauffet Gnad und Güte;
                                    Und Vologesus schickt
                                          
                                          
                                          3
                                        aus Arsaces Geblüte
                                    Uns Geißel seiner Treu.",1398,2018,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,"admiration, reverence",T,,1635.0,positive,emotions of affection
12,12,TextGrid/-Agrippina.xml,Des Janus Thor steht zu.,2019,2043,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation
13,13,TextGrid/-Agrippina.xml,Der Käyser siht den Preiß / die Stadt den Nutz der Ruh.,2080,2135,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,joy,T,,1635.0,positive,emotions of pleasure
14,14,TextGrid/-Agrippina.xml,"Die Schoß des Jupiters
                                          
                                          
                                          4
                                        ligt voller Lorber-Zweige:
                                    Man zehlt kaum / wie viel Rom uns Sieges-Bogen zeige /
                                    Der neue Schauplatz gibt dem Volck Erlustigung /
                                    Das Außtheiln reichen Gelds
                                          
                                          
                                          5
                                        / der Zölle Minderung
                                    Den Bürgern Lufft / uns Gunst.",2172,2890,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,joy,T,,1635.0,positive,emotions of pleasure
15,15,TextGrid/-Agrippina.xml,"Wir haben viel verwehret /
                                    Mit was der große Rath uns zu beehrn begehret;
                                    
                                       
Doch mein Gedächtnüs wird darumb nicht abgethan /
                                    Fängt mein Geburthstag
                                          
                                          
                                          6
                                        gleich des Jahres Lauff nicht an /
                                    Und Nerons Bild wird stehn im Tempel treuer Seelen /
                                    Darff man mir es gleich nicht mit güldnem Ertzt außhölen.",2891,3574,character_speech,1,0,,NERO.,NERO.,1.0,UNKNOWN,no_annotation,T,,1635.0,no_annotation,no_annotation
16,16,TextGrid/-Agrippina.xml,"
                                    Wahr ist es: Daß die Welt die Seegel für dir streicht /
                                    Der wilde Parth ist zahm / der kühne Mede weicht /
                                    Weil dir das Kriegsfeld Palm / und ihm Zipreßen träget:
                                    Rom hat den Harnisch ab / ein Lust-Kleid angeleget /
                                    Die Länder sind von Oel mehr / als von Blutte fett.",0,448,character_speech,1,0,,OTHO.,OTHO.,2.0,UNKNOWN,joy,T,,1635.0,positive,emotions of pleasure
