,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/meisl-orpheus-und-euridice.xml,Wolkenzimmer mit den Attributen Jupiters ausgeschmückt.,0,55,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1,1,GerDracor/meisl-orpheus-und-euridice.xml,"Jupiter sitzt an einem Fenster im Schlafrocke sein Pfeifchen schmauchend, gähnt oft
            mitunter.",0,105,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
2,2,GerDracor/meisl-orpheus-und-euridice.xml,Arie.,0,5,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation
3,3,GerDracor/meisl-orpheus-und-euridice.xml,"Einmahl war ich wohl früher wach,",0,33,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
4,4,GerDracor/meisl-orpheus-und-euridice.xml,"Lief bey der Nacht den Mädel nach,",0,34,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
5,5,GerDracor/meisl-orpheus-und-euridice.xml,War der Wauwau aller Weiber.,0,28,character_speech,1,1,,,#jupiter,1.0,MALE,love,positive,emotions of affection
6,6,GerDracor/meisl-orpheus-und-euridice.xml,"Doch jetzt bin ich schon alt und schwach,",0,41,character_speech,1,1,,,#jupiter,1.0,MALE,suffering,negative,emotions of suffering and empathy
7,7,GerDracor/meisl-orpheus-und-euridice.xml,"Sieht mich ein Weib, so sagt sie: ach!",0,38,character_speech,1,1,,,#jupiter,1.0,MALE,suffering,negative,emotions of suffering and empathy
8,8,GerDracor/meisl-orpheus-und-euridice.xml,Drey Schritt vom Leibe mir bleib er!,0,36,character_speech,1,1,,,#jupiter,1.0,MALE,love,positive,emotions of affection
9,9,GerDracor/meisl-orpheus-und-euridice.xml,"Jetzt ist das noch mein ganz Gaudée,",0,36,character_speech,1,1,,,#jupiter,1.0,MALE,joy,positive,emotions of pleasure
10,10,GerDracor/meisl-orpheus-und-euridice.xml,"Wenn ich die Menschen da unten seh,",0,35,character_speech,1,1,,,#jupiter,1.0,MALE,suffering,negative,emotions of suffering and empathy
11,11,GerDracor/meisl-orpheus-und-euridice.xml,Schnäbeln und hüpfen und walzen;,0,32,character_speech,1,1,,,#jupiter,1.0,MALE,joy,positive,emotions of pleasure
12,12,GerDracor/meisl-orpheus-und-euridice.xml,"Es ist ein altes Sprichwort dann,",0,33,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
13,13,GerDracor/meisl-orpheus-und-euridice.xml,"Wer nicht mehr selber fahren kann,",0,34,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
14,14,GerDracor/meisl-orpheus-und-euridice.xml,Der hört doch gern noch schnalzen.,0,34,character_speech,1,1,,,#jupiter,1.0,MALE,Schadenfreude,positive,emotions of pleasure
15,15,GerDracor/meisl-orpheus-und-euridice.xml,"Da rauch ich alle Morgen mein Pfeiferl bey einem Glas Kümmel,",0,61,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
16,16,GerDracor/meisl-orpheus-und-euridice.xml,Und betrachte das tolle Menschengetümmel.,0,41,character_speech,1,1,,,#jupiter,1.0,MALE,joy,positive,emotions of pleasure
17,17,GerDracor/meisl-orpheus-und-euridice.xml,"Ich war ein lockerer Zeisig, ich wills hoffen,",0,46,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
18,18,GerDracor/meisl-orpheus-und-euridice.xml,Aber die heutige Welt hat mich schon übertroffen.,0,49,character_speech,1,1,,,#jupiter,1.0,MALE,"admiration, reverence",positive,emotions of affection
19,19,GerDracor/meisl-orpheus-und-euridice.xml,"Buben, die noch die Bücher im Riemen tragen,",0,44,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
20,20,GerDracor/meisl-orpheus-und-euridice.xml,"Haben schon Liebschaften, und wollen was sagen.",0,47,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
21,21,GerDracor/meisl-orpheus-und-euridice.xml," Und die Erwachsenen die muß man erst sehn,",0,43,character_speech,1,1,,,#jupiter,1.0,MALE,no_annotation,no_annotation,no_annotation
