,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
131,GerDracor/lessing-philotas.xml,10277,10340,"– So willst du, daß ich mich vervielfältiget verabscheuen soll?",negative,emotions of rejection,"hate, disgust"
132,GerDracor/lessing-philotas.xml,10341,10409,"In jedem der Gefangenen
            werde ich mich selbst erblicken.",positive,emotions of suffering,suffering
133,GerDracor/lessing-philotas.xml,10410,10441,– Schenke mir diese Verwirrung.,emotional movement,emotional movement,emotional movement
134,GerDracor/lessing-philotas.xml,10442,10499,– Aber – Unter den Gefangenen muß sich Parmenio befinden.,emotional movement,emotions of fear,suffering
135,GerDracor/lessing-philotas.xml,10500,10557,"Den schicke mir her; ich will ihn
            abfertigen.",negative,emotions of rejection,anger
136,GerDracor/lessing-philotas.xml,10558,10572,Wohl; auch so!,positive,emotions of suffering,joy
137,GerDracor/lessing-philotas.xml,10573,10585,Komm Strato!,negative,emotions of rejection,emotional movement
138,GerDracor/lessing-philotas.xml,10586,10619,"Prinz, wir sehen uns bald wieder.",positive,emotions of joy,joy
139,GerDracor/lessing-philotas.xml,10620,10627,Götter!,negative,emotions of joy,emotional movement
140,GerDracor/lessing-philotas.xml,10628,10726,"Näher konnte der Blitz, ohne mich ganz zu zerschmettern, nicht vor mir
            niederschlagen.",negative,emotions of suffering,suffering
141,GerDracor/lessing-philotas.xml,10727,10745,Wunderbare Götter!,positive,emotions of affection,emotional movement
142,GerDracor/lessing-philotas.xml,10746,10828,"Die Flamme kehrt zurück; der Dampf verfliegt, und ich
            war nur betäubt.",negative,emotions of suffering,suffering
143,GerDracor/lessing-philotas.xml,10829,10917,"– So war das mein ganzes Elend, zu sehen, wie elend ich hätte werden
            können?",negative,emotions of suffering,suffering
144,GerDracor/lessing-philotas.xml,10918,10950,Wie elend mein Vater durch mich?,negative,emotions of suffering,suffering
145,GerDracor/lessing-philotas.xml,10951,11016,"– Nun darf ich wieder vor dir erscheinen, mein
            Vater!",positive,emotions of joy,joy
146,GerDracor/lessing-philotas.xml,11017,11202,"Zwar noch mit niedergeschlagenen Augen; doch nur die Scham wird sie
            niederschlagen, nicht das brennende Bewußtsein, dich mit mir ins Verderben gerissen zu
            haben.",negative,emotions of suffering,suffering
147,GerDracor/lessing-philotas.xml,11203,11398,"Nun darf ich nichts von dir fürchten, als einen Verweis mit Lächeln; kein stummes
            Trauren; keine, durch die stärkere Gewalt der väterlichen Liebe erstickte
            Verwünschungen.",negative,emotions of rejection,fear
148,GerDracor/lessing-philotas.xml,11399,11427,"– Aber – ja, bei dem Himmel!",negative,emotions of suffering,suffering
149,GerDracor/lessing-philotas.xml,11428,11456,Ich bin zu gütig gegen mich.,positive,emotions of affection,admiration
150,GerDracor/lessing-philotas.xml,11457,11546,"Darf ich mir alle Fehler
            vergeben, die mir die Vorsicht zu vergeben scheinet?",negative,emotions of fear,fear
151,GerDracor/lessing-philotas.xml,11547,11633,"Soll ich mich nicht strenger
            richten, als sie und mein Vater mich richten?",negative,emotions of rejection,anger
152,GerDracor/lessing-philotas.xml,11634,11651,Die Allzugütigen!,negative,emotions of affection,admiration
