,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1143,GerDracor/kleist-amphitryon.xml,66518,66529,Amphitryon!,negative,emotions of rejection,emotional movement
1144,GerDracor/kleist-amphitryon.xml,66530,66554,"Sei ruhig, ruhig, ruhig!",emotional movement,emotional movement,emotional movement
1145,GerDracor/kleist-amphitryon.xml,66555,66594,Es wird sich alles dir zum Siege lösen.,positive,emotions of joy,joy
1146,GerDracor/kleist-amphitryon.xml,66595,66738,"Es drängt den Gott Begier, sich dir zu zeigen,  Herauf durchs stille Nachtgefilde zieht, Weiß deine Brust auch schon, wem sie erglüht – Sosias!",positive,emotions of joy,joy
1147,GerDracor/kleist-amphitryon.xml,66739,66744,Herr!,negative,emotions of rejection,emotional movement
1148,GerDracor/kleist-amphitryon.xml,66745,66813,"Auf jetzt, mein treuer Diener, Auf daß sich dieser Tag verherrliche!",positive,emotions of joy,admiration
1149,GerDracor/kleist-amphitryon.xml,66814,66939,"Alkmene hat sich liebend mir versöhnt: Und du, du gehst, und rufst zu einem Feste Im Lager mir, wo du sie triffst, die Gäste.",positive,emotions of affection,love
1150,GerDracor/kleist-amphitryon.xml,66940,66949,Beide ab.,negative,emotional movement,joy
1151,GerDracor/kleist-amphitryon.xml,66950,66957,Charis.,emotional movement,emotional movement,emotional movement
1152,GerDracor/kleist-amphitryon.xml,66958,66965,Sosias.,positive,emotional movement,emotional movement
1153,GerDracor/kleist-amphitryon.xml,66966,66975,für sich.,positive,emotions of joy,emotional movement
1154,GerDracor/kleist-amphitryon.xml,66976,67008,"Was hast du da gehört, Unselige?",negative,emotions of rejection,anger
1155,GerDracor/kleist-amphitryon.xml,67009,67044,Olymp'sche Götter wären es gewesen?,emotional movement,emotional movement,emotional movement
1156,GerDracor/kleist-amphitryon.xml,67045,67148,"Und der sich für Sosias hier mir gibt, Der wäre einer der Unsterblichen, Apollon, Hermes, oder Ganymed?",negative,emotions of rejection,"hate, disgust"
1157,GerDracor/kleist-amphitryon.xml,67149,67158,für sich.,positive,emotions of joy,emotional movement
1158,GerDracor/kleist-amphitryon.xml,67159,67173,Der Blitzgott!,negative,emotions of rejection,emotional movement
1159,GerDracor/kleist-amphitryon.xml,67174,67200,Zeus soll es gewesen sein.,emotional movement,emotions of rejection,anger
1160,GerDracor/kleist-amphitryon.xml,67201,67210,für sich.,positive,emotions of joy,emotional movement
1161,GerDracor/kleist-amphitryon.xml,67211,67253,"Pfui, schäme dich, wie du dich aufgeführt.",negative,emotions of rejection,"hate, disgust"
1162,GerDracor/kleist-amphitryon.xml,67254,67263,für sich.,positive,emotions of joy,emotional movement
1163,GerDracor/kleist-amphitryon.xml,67264,67305,"Mein Seel, er war nicht schlecht bedient.",positive,emotions of joy,joy
1164,GerDracor/kleist-amphitryon.xml,67306,67393,"Ein Kerl, der seinen Mann stund, und sich Für seinen Herrn schlug, wie ein Panthertier.",negative,emotions of rejection,admiration
1165,GerDracor/kleist-amphitryon.xml,67394,67403,für sich.,positive,emotions of joy,emotional movement
1166,GerDracor/kleist-amphitryon.xml,67404,67433,"Wer weiß auch, irr ich nicht.",negative,emotions of fear,emotional movement
1167,GerDracor/kleist-amphitryon.xml,67434,67453,Ich muß ihn prüfen.,negative,emotions of rejection,anger
1168,GerDracor/kleist-amphitryon.xml,67454,67459,Laut.,emotional movement,emotional movement,emotional movement
1169,GerDracor/kleist-amphitryon.xml,67460,67502,"Komm, laß uns Frieden machen auch, Sosias.",positive,emotions of affection,friendship
1170,GerDracor/kleist-amphitryon.xml,67503,67516,Ein andermal.,negative,emotions of rejection,anger
1171,GerDracor/kleist-amphitryon.xml,67517,67543,Jetzt ist nicht Zeit dazu.,negative,emotions of rejection,anger
1172,GerDracor/kleist-amphitryon.xml,67544,67560,Wo gehst du hin?,emotional movement,emotions of rejection,emotional movement
1173,GerDracor/kleist-amphitryon.xml,67561,67590,Ich soll die Feldherrn rufen.,negative,emotions of rejection,anger
1174,GerDracor/kleist-amphitryon.xml,67591,67632,"Vergönne mir ein Wort vorher, mein Gatte.",positive,emotions of affection,anger
1175,GerDracor/kleist-amphitryon.xml,67633,67646,Dein Gatte –?,emotional movement,emotional movement,emotional movement
1176,GerDracor/kleist-amphitryon.xml,67647,67662,"Oh, recht gern.",positive,emotions of joy,joy
1177,GerDracor/kleist-amphitryon.xml,67663,67853,"Hast du gehört, Daß in der Dämmerung zu meiner Fürstin gestern,  Zwei große Götter vom Olymp gestiegen, Daß Zeus, der Gott der Wolken, hier gewesen, Und Phöbus ihn, der herrliche, begleitet?",positive,emotions of joy,admiration
