,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class,genre,subgenre
0,0,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
      (Wirthshaus-Gaststube.)",0,30,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
1,1,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
      Feldwebel.",0,17,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
2,2,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"Liebenthal, und Blumhaim, sitzen an einem gedeckten Tisch, worauf noch verschiedene Ueberbleibseln von Spiesen und Trank zu sehen sind.)",18,154,stage_direction,1,1,pre_speech,,,,,no_annotation,no_annotation,no_annotation,comedy,KK
3,3,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Aber aufrichtig, liebster Freund!",0,41,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,1.0,UNKNOWN,friendship,positive,emotions of affection,comedy,KK
4,4,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,O ja – nicht wahr?,42,60,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,1.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
5,5,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,du wirst – du willst es sein.,61,90,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,1.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
6,6,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       War ich’s etwa bisher nicht?",0,36,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,2.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
7,7,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,Setzest du Mißtrauen in meine Rechtschaffenheit?,37,85,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,2.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
8,8,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,Oder hast du wirklich gegründete Beschwerden wider mein Herz?,86,147,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,2.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
9,9,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Nein, Bruder!",0,21,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
10,10,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,bisher hab’ ich zwar keine; aber – aber in die Zukunft?,22,77,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,3.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
11,11,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,– wenn ich auch nur in die Folgezeit hinaus deiner Freundschaft versichert wäre –,78,159,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,3.0,UNKNOWN,friendship,positive,emotions of affection,comedy,KK
12,12,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Bruder, bey Gott!",0,25,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,4.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
13,13,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,dafür steh’ ich dir mit Leib und Seele!,26,65,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,4.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
14,14,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"du weißt, daß ich gegen dich keine Geheimniße kenne; daß ich all mein Vertrauen in deinen Busen verschliesse; daß du mein Einziger bist; und du kannst noch für die Zukunft zweifeln?",66,247,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,4.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
15,15,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Gut.",0,12,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,5.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
16,16,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"Vergieb mir also, und beantworte mir zugleich diejenige Frage, welche ich dir vorlegen werde.",13,106,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,5.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
17,17,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Und die wäre also?",0,26,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,6.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
18,18,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Aufrichtig: du liebst das Mädchen, welches meine Schwester zu sich genommen hat, und von der man nichts Gewißes weiß, wer ihre Aeltern waren?",0,149,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,7.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
19,19,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"Nicht wahr, du liebst sie?",150,176,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,7.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
20,20,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Ja freilich: wie oft hab’ ich dir’s nicht gesagt?",0,57,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,8.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
21,21,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,Wie oft soll ich dir diese Versicherung nicht noch wiederholen?,58,121,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,8.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
22,22,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Sind aber deine Absichten auf Sie redlich?",0,50,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,9.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
23,23,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,wirst du wohl das Mädchen heurathen?,51,87,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,9.0,UNKNOWN,suffering,negative,emotions of suffering and empathy,comedy,KK
24,24,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Wozu dein aber?",0,23,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,10.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
25,25,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,all diese deine Fragen?,24,47,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,10.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
26,26,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,Du machst dadurch meiner militärischen Entschlossenheit herrliche Lobsprüche.,48,125,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,10.0,UNKNOWN,"admiration, reverence",positive,emotions of affection,comedy,KK
27,27,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"Meinst du etwan, ich habe mich seit gestern eines andern besonnen?",126,192,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,10.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
28,28,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Das eben nicht; aber weißt du auch schon, daß der Gimpel von einem Schulmeister Sie ins Joch der Ehe spannen will.",0,122,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,11.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
29,29,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"’s Mädchen weiß zwar nichts davon; aber ich glaube, das gute Kind wird bey der ersten Nachricht einer solchen Absicht gewiß den jungfräulichen Krampf bekommen.",123,282,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,11.0,UNKNOWN,fear,negative,emotions of anxiety,comedy,KK
30,30,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,Du kennest doch wohl Kaspers eigensinnigen Kopf?,283,331,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,11.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
31,31,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       O ja, sehr wohl!",0,24,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,12.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
32,32,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"Als ich heute früh ausgieng, begegnete mir der Steinesel von einem Schulmeister.",25,105,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,12.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
33,33,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"Nach einem schiefen Bückling sagte er mir hönisch ins Gesicht, daß ich ihm die Ehre geben möchte, ihn bei seiner Hochzeit-Feyer zu besuchen, damit ich noch zu guter letzt das süsse Minnenglück haben könnte, mit Jungfrau Röschen zu tanzen.",106,344,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,12.0,UNKNOWN,anger,negative,emotions of rejection,comedy,KK
34,34,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,Wie wirbelte da mein Soldatenblut in meinen Adern!,345,395,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,12.0,UNKNOWN,joy,positive,emotions of pleasure,comedy,KK
35,35,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"Thor, der ich war, daß ich den Schwerenoths-Kerl nicht an der Stelle eine Kugel durch den Kopf jagte, so könnte ich doch –",396,518,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,12.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
36,36,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       So könntest du doch auch mit schönster Gelegenheit deinen Athem verlieren, nicht wahr?",0,94,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,13.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
37,37,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"– Pfui, Bruder!",95,110,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,13.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
38,38,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,sey Held über den Schwall deiner Leidenschaften.,111,159,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,13.0,UNKNOWN,no_annotation,no_annotation,no_annotation,comedy,KK
39,39,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,Für einen Mann von deines Gleichen ziemt sich kein frostiges Wertherfieber!,160,235,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,13.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
40,40,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Du hast leicht zu moralisiren, hast nie geliebt, folglich bist du auch mit dem reissenden Strom dieser Neigung ganz unbekannt.",0,134,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,14.0,UNKNOWN,abhorrence,negative,emotions of rejection,comedy,KK
41,41,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,Du weißt alles mit gleichgültigen Augen zu betrachten; deine Gedanken sind nicht die meinigen.,135,229,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,14.0,UNKNOWN,being moved,being moved,being moved,comedy,KK
42,42,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"Ich liebe Röschen, und bin um ihres Besitzes Willen im Stande Mord und Tod zu unternehmen – ob ich auf der Waide oder auf dem Schlachtfelde sterbe.",230,377,character_speech,1,1,,"
       Liebenthal.
      ",#liebenthal,14.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
43,43,Kasperl/Huber_Der eifersüchtige Schuster_korr.csv,"
       Ich habe nie geliebt, sagst du?",0,39,character_speech,1,1,,"
       Blumhaim.
      ",#blumhaim,15.0,UNKNOWN,love,positive,emotions of affection,comedy,KK
