,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/malss-der-alte-buerger-capitain.xml,"Die Bühne stellt die Wirthsstube des Capitains vor; vorn links ein Fenster auf die
            Straße, rechts eine Seitenthüre in des Capitains Zimmer, auf derselben Seile ganz im
            Vordergrunde ein langer Tisch und Stühle für die Schoppengäste; gegenüber nahe am
            Fenster sitzen Lieschen und Gretchen mit weiblichen Arbeiten beschäftigt.",0,359,stage_direction,1,1,pre_speech,,,,,no_annotation,K,,1821.0,no_annotation,no_annotation
1,1,GerDracor/malss-der-alte-buerger-capitain.xml,Wo nor der Vatter bleiwe duht?,0,30,character_speech,1,1,,LIESCHEN.,#lieschen,1.0,FEMALE,no_annotation,K,,1821.0,no_annotation,no_annotation
2,2,GerDracor/malss-der-alte-buerger-capitain.xml,Was fregst de mich?,0,19,character_speech,1,1,,GRETCHEN.,#gretchen,2.0,FEMALE,joy,K,,1821.0,positive,emotions of pleasure
3,3,GerDracor/malss-der-alte-buerger-capitain.xml,"Mir seegt ersch net, wo er hin geht.",20,56,character_speech,1,1,,GRETCHEN.,#gretchen,2.0,FEMALE,no_annotation,K,,1821.0,no_annotation,no_annotation
4,4,GerDracor/malss-der-alte-buerger-capitain.xml,Mer werd doch froge derfe; es kennt ja sein de wißt's.,0,54,character_speech,1,1,,LIESCHEN.,#lieschen,3.0,FEMALE,no_annotation,K,,1821.0,no_annotation,no_annotation
5,5,GerDracor/malss-der-alte-buerger-capitain.xml,No – loß nor jetz gut sein.,55,82,character_speech,1,1,,LIESCHEN.,#lieschen,3.0,FEMALE,no_annotation,K,,1821.0,no_annotation,no_annotation
6,6,GerDracor/malss-der-alte-buerger-capitain.xml,"–
              Der Mann is de liewe lange Dag uff de Bähn, wo ersch gar net braicht, un wo ersch noch
              owedrein net vertrage kann mit seim Gicht.",83,242,character_speech,1,1,,LIESCHEN.,#lieschen,3.0,FEMALE,suffering,K,,1821.0,negative,emotions of suffering and empathy
7,7,GerDracor/malss-der-alte-buerger-capitain.xml,"Awer sag emohl selbst Gretche, des Lahfe,
              des is sein änzig Frähd, un die muß mer'm gunne.",243,347,character_speech,1,1,,LIESCHEN.,#lieschen,3.0,FEMALE,no_annotation,K,,1821.0,no_annotation,no_annotation
8,8,GerDracor/malss-der-alte-buerger-capitain.xml,"– Sein Kabbedehnschaft hot dorch de
              Primas aach e End gemacht krieht, so daß er jetzt nix mehr hot, als wie die Spritze im
              Kwatier.",348,507,character_speech,1,1,,LIESCHEN.,#lieschen,3.0,FEMALE,no_annotation,K,,1821.0,no_annotation,no_annotation
9,9,GerDracor/malss-der-alte-buerger-capitain.xml,Un is Kwatier-Vorstand – un Brunnemähster.,0,42,character_speech,1,1,,GRETCHEN.,#gretchen,4.0,FEMALE,no_annotation,K,,1821.0,no_annotation,no_annotation
