,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
640,TextGrid/-Theseus.xml,53753,53989,"Doch will ich über Meere tieff Nicht fahren in eim sichern Schiff, Sonder will reysen auff der Strassen, Mein kühne Mannheit sehen lassen An den Mördern, bluting Tyrannen, An den Raubgirig argen Mannen, Die vnsicher machen die Strassen.",negative,emotions of fear,"hate, disgust"
641,TextGrid/-Theseus.xml,53990,54120,"Der will ich kein Bein leben lassen, Machen die Straß sicher vnd frey Von allem Mord vnd Rauberey, Dann ich bin doch darzu geborn.",negative,emotions of rejection,"hate, disgust"
642,TextGrid/-Theseus.xml,54159,54164,sagt.,negative,emotions of rejection,anger
643,TextGrid/-Theseus.xml,54165,54403,"Ach hertzallerliebster Sohn außerkorn, Warumb wollst da dich solcher gfehr Schon vnterwinden hin vnd her, Vmbzubringen die Mörderisch Bößwicht Die so vil Leut haben hingericht, Daß derhalb die Straß allgemein Gefehrlich vnd vnsicher sein?",negative,emotions of suffering,emotional movement
644,TextGrid/-Theseus.xml,54404,54434,Derhalb fahr du hin über Meer!,negative,emotions of rejection,anger
645,TextGrid/-Theseus.xml,54435,54458,"THESEUS, JHR SON  sagt.",negative,emotional movement,joy
646,TextGrid/-Theseus.xml,54459,54566,"O Mutter, der groß Ruhm vnd Ehr 
                                        So gwaltig in mein Hertz gefallen.",positive,emotions of affection,admiration
647,TextGrid/-Theseus.xml,54567,54738,"Dem hoff ich auch auff diser Erden Mit kühner that noch gleich zu werden, Daß ich ein Namen überkomm Eins Kämpffers mit Lob, Ehr vnd Ruhm Oder will drob lassen mein Leben.",positive,emotions of affection,admiration
648,TextGrid/-Theseus.xml,54777,54782,sagt.,negative,emotions of rejection,anger
649,TextGrid/-Theseus.xml,54783,54925,"Die Götter wöllen dir Glück geben, Weil du betrachtest gmeinen Nutz Vnd willst den Frommen thun als Guts, Aber die Bösen verderben auff Erden!",negative,emotions of rejection,Schadenfreude
650,TextGrid/-Theseus.xml,54926,55029,"Daß die Frommen befridigt werden, So geb dir Jupiter langs Leben, Guts Glück vnd all Wolfarth darneben!",positive,emotions of joy,joy
651,TextGrid/-Theseus.xml,55030,55068,Vnd ich will dir das gleit nauß geben.,positive,emotions of joy,joy
652,TextGrid/-Theseus.xml,55107,55114,Abgang.,negative,emotions of suffering,suffering
653,TextGrid/-Theseus.xml,55153,55348,"geht ein, ist vnten ein Ochs vnd oben ein Mensch, tregt ein grossen kolben, fürt oder tregt ein Kind an der Hand vnd sagt, das Kind mag ein Mäidlein oder Büblein sein, wenns nur nicht erschrickt.",negative,emotions of suffering,emotional movement
654,TextGrid/-Theseus.xml,55349,55384,O wie dürst mich nach MenschenBlut!,negative,emotions of rejection,"hate, disgust"
655,TextGrid/-Theseus.xml,55385,55419,Der Hunger mir auch gar wehe thut.,negative,emotions of suffering,suffering
656,TextGrid/-Theseus.xml,55420,55493,"Ich bin mit solchem Hunger bsessen, Wolt wol drey solcher Kinder fressen.",negative,emotions of suffering,suffering
657,TextGrid/-Theseus.xml,55494,55629,"So gibt man mir einmal nur eins Vnd ist darzu nur gar ein kleins Vnd ist mein Bauch mir also lehr, Daß ich von Hertzn zu fressn begehr.",positive,emotions of rejection,suffering
658,TextGrid/-Theseus.xml,55630,55668,Das Kind friß ich (glaubt mir fürwar!),negative,emotions of rejection,"hate, disgust"
659,TextGrid/-Theseus.xml,55669,55739,"Mit Leüß vnd Nüßn, mit Haut vnd Haar, Darzu mit Ingweid vnd mit Treck.",negative,emotions of affection,love
660,TextGrid/-Theseus.xml,55740,55774,Kein bissen würff ich von jhm weg.,positive,emotions of affection,"hate, disgust"
