,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
3585,3585,3585,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"Wald, Fels, Einöde.",0,19,stage_direction,5,7,pre_speech,,,,,no_annotation,T,,1856.0,no_annotation,no_annotation
3586,3586,3586,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"Heilige Anachoreten gebirgauf verteilt, gelagert zwischen Klüften.",0,66,stage_direction,5,7,pre_speech,,,,,no_annotation,T,,1856.0,no_annotation,no_annotation
3587,3587,3587,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"
              Waldung, sie schwankt heran,
              Felsen, sie lasten dran,
              Wurzeln, sie klammern an,
              Stamm dicht an Stamm hinan.",0,164,character_speech,5,7,,CHOR UND ECHO.,#chor_und_echo,992.0,UNKNOWN,no_annotation,T,,1856.0,no_annotation,no_annotation
3588,3588,3588,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"Woge nach Woge spritzt,
              Höhle, die tiefste, schützt.",179,245,character_speech,5,7,,CHOR UND ECHO.,#chor_und_echo,992.0,UNKNOWN,no_annotation,T,,1856.0,no_annotation,no_annotation
3589,3589,3589,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"Löwen, sie schleichen stumm-
              freundlich um uns herum,
              Ehren geweihten Ort,
              Heiligen Liebeshort.",260,397,character_speech,5,7,,CHOR UND ECHO.,#chor_und_echo,992.0,UNKNOWN,no_annotation,T,,1856.0,no_annotation,no_annotation
3590,3590,3590,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,auf und ab schwebend.,0,21,stage_direction,5,7,speech_part,,#pater_ecstaticus,993.0,MALE,being moved,T,,1856.0,being moved,being moved
3591,3591,3591,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"
              Ewiger Wonnebrand,
              Glühendes Liebeband,
              Siedender Schmerz der Brust,
              Schäumende Gotteslust.",0,148,character_speech,5,7,,PATER ECSTATICUS,#pater_ecstaticus,993.0,MALE,love,T,,1856.0,positive,emotions of affection
3592,3592,3592,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"Pfeile, durchdringet mich,
               Lanzen, bezwinget mich,
              Keulen, zerschmettert mich,
              Blitze, durchwettert mich!",163,311,character_speech,5,7,,PATER ECSTATICUS,#pater_ecstaticus,993.0,MALE,being moved,T,,1856.0,being moved,being moved
3593,3593,3593,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"Daß ja das Nichtige
              Alles verflüchtige,
              Glänze der Dauerstern,
              Ewiger Liebe Kern.",326,449,character_speech,5,7,,PATER ECSTATICUS,#pater_ecstaticus,993.0,MALE,love,T,,1856.0,positive,emotions of affection
3594,3594,3594,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,tiefe Region.,0,13,stage_direction,5,7,speech_part,,#pater_profundus,994.0,MALE,no_annotation,T,,1856.0,no_annotation,no_annotation
3595,3595,3595,GerDracor/goethe-faust-der-tragoedie-zweiter-teil.xml,"
              Wie Felsenabgrund mir zu Füßen
              Auf tiefern Abgrund lastend ruht,
              Wie tausend Bäche strahlend fließen
              Zum grausen Sturz des Schaums der Flut,
              Wie strack mit eignem kräftigen Triebe
              Der Stamm sich in die Lüfte trägt:
              So ist es die allmächtige Liebe,
              Die alles bildet, alles hegt.",0,390,character_speech,5,7,,PATER PROFUNDUS,#pater_profundus,994.0,MALE,love,T,,1856.0,positive,emotions of affection
