,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
2029,2029,2029,GerDracor/lenz-der-hofmeister.xml,"Der Major, ein Kind auf dem Arm.",0,32,stage_direction,5,12,pre_speech,,,,,no_annotation,K,,1778.0,no_annotation,no_annotation
2030,2030,2030,GerDracor/lenz-der-hofmeister.xml,Der alte Pätus.,33,48,stage_direction,5,12,pre_speech,,,,,no_annotation,K,,1778.0,no_annotation,no_annotation
2031,2031,2031,GerDracor/lenz-der-hofmeister.xml,"Kommen Sie, Herr Pätus.",0,23,character_speech,5,12,,MAJOR.,#major,631.0,MALE,no_annotation,K,,1778.0,no_annotation,no_annotation
2032,2032,2032,GerDracor/lenz-der-hofmeister.xml,Sie haben mir das Leben wiedergegeben.,24,62,character_speech,5,12,,MAJOR.,#major,631.0,MALE,love,K,,1778.0,positive,emotions of affection
2033,2033,2033,GerDracor/lenz-der-hofmeister.xml,"Das war der einzige
              Wurm, der mir noch dran nagte.",63,127,character_speech,5,12,,MAJOR.,#major,631.0,MALE,suffering,K,,1778.0,negative,emotions of suffering and empathy
2034,2034,2034,GerDracor/lenz-der-hofmeister.xml,"Ich muß Sie meinem Bruder präsentieren, und Ihre alte
              blinde Großmutter will ich in Gold einfassen lassen.",128,248,character_speech,5,12,,MAJOR.,#major,631.0,MALE,no_annotation,K,,1778.0,no_annotation,no_annotation
2035,2035,2035,GerDracor/lenz-der-hofmeister.xml,"O meine Mutter hat mich durch ihren unvermuteten Besuch weit glücklicher gemacht als
              Sie.",0,103,character_speech,5,12,,DER ALTE PÄTUS.,#der_alte_paetus,632.0,MALE,joy,K,,1778.0,positive,emotions of pleasure
2036,2036,2036,GerDracor/lenz-der-hofmeister.xml,"Sie haben nur einen Enkel wiedererhalten, der Sie an traurige Geschichten
              erinnert; ich aber eine Mutter, die mich an die angenehmsten Szenen meines Lebens
              erinnert, und deren mütterliche Zärtlichkeit ich leider  noch durch
              nichts habe erwidern können als Haß und Undankbarkeit.",104,424,character_speech,5,12,,DER ALTE PÄTUS.,#der_alte_paetus,632.0,MALE,abhorrence,K,,1778.0,negative,emotions of rejection
2037,2037,2037,GerDracor/lenz-der-hofmeister.xml,"Ich habe sie aus dem Hause
              gestoßen, nachdem sie mir den ganzen Nachlaß meines Vaters und ihr Vermögen mit
              übergeben hatte; ich habe ärger gegen sie gehandelt als ein Tiger – Welche Gnade von
              Gott ist es, daß sie noch lebt, daß sie mir noch verzeihen kann, die großmütige
              Heilige!",425,761,character_speech,5,12,,DER ALTE PÄTUS.,#der_alte_paetus,632.0,MALE,abhorrence,K,,1778.0,negative,emotions of rejection
2038,2038,2038,GerDracor/lenz-der-hofmeister.xml,"daß es noch in meine Gewalt gestellt ist, meine verfluchte Verbrechen wieder
              gut zu machen.",762,867,character_speech,5,12,,DER ALTE PÄTUS.,#der_alte_paetus,632.0,MALE,abhorrence,K,,1778.0,negative,emotions of rejection
