,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/brawe-brutus.xml,0,22, In the public domain.,negative,emotional movement,emotional movement
1,GerDracor/brawe-brutus.xml,23,109,"A brave man struggling in the Storm of fate, And greatly falling with a falling state.",negative,emotions of suffering,suffering
2,GerDracor/brawe-brutus.xml,110,185,Die Scene ist im Zelte des Brutus (Nach einem tiefsinnigen Stillschweigen.),emotional movement,emotional movement,emotional movement
3,GerDracor/brawe-brutus.xml,186,213,Welch schreckendes Gesicht?,negative,emotions of fear,fear
4,GerDracor/brawe-brutus.xml,214,227,– Ihr Götter!,negative,emotions of fear,despair
5,GerDracor/brawe-brutus.xml,228,271,"Rom, Rom weissagt euer Grimm den Untergang?",negative,emotions of rejection,anger
6,GerDracor/brawe-brutus.xml,272,296,– Unglücklich Vaterland!,negative,emotions of suffering,suffering
7,GerDracor/brawe-brutus.xml,297,359,"umsonst versprach Dir Zeus Unsterblichkeit, umsonst siegst du.",negative,emotions of rejection,suffering
8,GerDracor/brawe-brutus.xml,360,366,– Wie?,emotional movement,emotional movement,emotional movement
9,GerDracor/brawe-brutus.xml,367,379,Brutus bebt?,emotional movement,emotions of fear,emotional movement
10,GerDracor/brawe-brutus.xml,380,496,"Ein Traum, ein leicht Geschöpf Der Nacht erschüttert den, den eine Welt, Die Cäsarn schützte, nicht zum Beben zwang?",emotional movement,emotional movement,emotional movement
11,GerDracor/brawe-brutus.xml,497,595,"Doch ist die Furcht nicht Ruhm, nicht Pflicht, wenn Rom Bedrohet wird: droht auch nur ein Phantom?",negative,emotions of fear,fear
12,GerDracor/brawe-brutus.xml,596,695,"– Und naht er nicht, der feyerliche Tag, Der, königliches Volk, dein hoh Geschick Entscheiden soll?",positive,emotions of joy,fear
13,GerDracor/brawe-brutus.xml,696,858,"Ja, heut umhüllt – (zürnt nicht, Ihr Helden Roms, die ihr auf dieses Heer Von dem Olymp beschützend seht, zürnt nicht, Wenn die Erwartung mich mit Schauer füllt!)",negative,emotions of fear,joy
14,GerDracor/brawe-brutus.xml,859,943,"Die nächste Nacht umhüllt den Kreis der Welt, Frey, oder als den Sklaven des Antons.",positive,emotions of suffering,suffering
15,GerDracor/brawe-brutus.xml,944,1029,"Verhaßter Tag, selbst, wann die Freyheit siegt: Auf Roms Ruinen eilt sie zum Triumph.",positive,emotions of joy,joy
16,GerDracor/brawe-brutus.xml,1030,1070,Es strömt von Römerblut ihr Siegsgewand.,negative,emotions of affection,admiration
17,GerDracor/brawe-brutus.xml,1071,1085,Von Römerblut?,emotional movement,emotional movement,emotional movement
18,GerDracor/brawe-brutus.xml,1086,1103,o Tag voll Graun!,negative,emotions of suffering,suffering
19,GerDracor/brawe-brutus.xml,1104,1110,o Rom!,negative,emotions of suffering,emotional movement
20,GerDracor/brawe-brutus.xml,1111,1127,"Messala, Brutus.",emotional movement,emotional movement,emotional movement
21,GerDracor/brawe-brutus.xml,1128,1140,"Nun, Brutus!",negative,emotions of rejection,emotional movement
22,GerDracor/brawe-brutus.xml,1141,1272,"ist er da, der große Tag, Der Rächer Roms, von Ungewittern schwer Für Frevler, für Antone; dir voll Glanz Und voll Unsterblichkeit.",positive,emotions of joy,admiration
23,GerDracor/brawe-brutus.xml,1273,1355,"Entfesselt jauchzt Der Erdkreis bald dir seinem Helden, bald Dir seinem Rächer zu.",positive,emotions of joy,joy
24,GerDracor/brawe-brutus.xml,1356,1413,Voll Ungeduld Bewaffnet sich dein Heer und fodert Streit.,negative,emotions of rejection,emotional movement
25,GerDracor/brawe-brutus.xml,1414,1492,"Ich komme den Befehl – doch wie bestürzt, Umwölkt von Schwermuth seh ich dich?",emotional movement,emotional movement,emotional movement
26,GerDracor/brawe-brutus.xml,1493,1508,– du schweigst?,negative,emotional movement,emotional movement
27,GerDracor/brawe-brutus.xml,1509,1572,"Sprich, Freund, du sahst das Heer; von welchem Geist Entflammt?",emotional movement,emotional movement,joy
28,GerDracor/brawe-brutus.xml,1573,1612,– Vom Geist der Freyheit und des Muths.,positive,emotions of affection,admiration
29,GerDracor/brawe-brutus.xml,1613,1642,"Rom, Rom herrscht nur in ihm.",positive,emotions of affection,love
30,GerDracor/brawe-brutus.xml,1643,1892,"Noch liegt die Nacht Verbreitet um die Tapfern her, als schon Vom kriegrischen Getös’ das Feld erbebt, Gerüstet, – Glut und Sieg auf ihrer Stirn, Versammlen sie um ihre Führer sich, Voll Unmuth, daß der zweifelhafte Tag Noch mit den Schatten kämpft.",negative,emotions of rejection,suffering
31,GerDracor/brawe-brutus.xml,1893,2051,"Ihr Heldenmuth Thürmt der erhöheten Gefahr sich stolz Entgegen – und ihr Haupt – vergieb mir, Freund – Ihr Haupt scheint sich nicht gleich, nicht Brutus mehr.",positive,emotions of affection,admiration
