,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1049,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64518,64547,Aber verwundet sind Sie doch?,negative,emotions of suffering,fear
1050,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64548,64555,seufzt.,negative,emotions of suffering,suffering
1051,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64556,64559,Ja!,positive,emotions of joy,anger
1052,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64560,64564,?Wo?,emotional movement,emotional movement,emotional movement
1053,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64565,64582,deutet aufs Herz.,positive,emotions of suffering,love
1054,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64583,64588,Hier.,negative,emotions of joy,anger
1055,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64589,64595,lacht.,positive,emotions of joy,joy
1056,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64596,64623,Der Scherz ist allerliebst.,positive,emotions of joy,joy
1057,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64624,64651,wendet sich schnell zu ihm.,emotional movement,emotional movement,suffering
1058,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64652,64663,Was Scherz?,negative,emotional movement,emotional movement
1059,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64664,64753,"Sie, Sie können lachen, nachdem Sie uns diese unverzeihliche Angst
              gemacht?",negative,emotions of fear,fear
1060,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64754,64839,"Es war – Thorheit, mit einem Manne eifersüchtig zu sein, den man zum erstenmal sieht.",positive,emotions of affection,"hate, disgust"
1061,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,64840,65012,"Meine Liebe – Gründet sich nicht auf  Rosalie – Ein ehrlicher Kaufmann muß Gott vor Augen, seine Frau im Herzen, und hinter dem
              rechten Ohr seine Feder haben.",positive,emotions of affection,love
1062,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65013,65135,"Der zieht keinen Degen, der kennt Pistolen nur als eine
              Münze, und endet mit einem Wortwechsel jeden Streit.",positive,emotions of rejection,anger
1063,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65136,65159,Auch wenn er Recht hat?,emotional movement,emotions of rejection,emotional movement
1064,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65160,65190,Das hat der Eifersüchtige nie.,positive,emotions of rejection,"hate, disgust"
1065,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65191,65219,Wenn man sein Herz angreift?,negative,emotions of affection,love
1066,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65220,65276,Den Kaufmann erschreckt nur ein Angriff auf seine Kasse.,negative,emotions of fear,fear
1067,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65277,65310,Wenn man ihm seine Frau verführt?,negative,emotional movement,despair
1068,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65311,65372,Halt – jetzt sind wir auf dem Punkt den wir abzumachen haben.,emotional movement,emotions of rejection,anger
1069,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65373,65473,"Ihr Verdruß entstand,
              weil Sie glaubten, ich hätte die Ehre Herrn Langers zu gefallen?",negative,emotions of rejection,anger
1070,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65474,65530,"Gehorsamster Diener, die Ehre ist ganz auf meiner Seite.",positive,emotions of affection,admiration
1071,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65531,65590,"Ich erkläre also hiermit, daß ich das Recht habe,  schreit.",negative,emotions of rejection,anger
1072,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,65591,65597,Allen?,emotional movement,emotional movement,emotional movement
