,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
696,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42332,42403,"Bis
              dahin reiche mir deine Hand und nenne mich Schwester.",positive,emotions of affection,love
697,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42404,42416,Recht gerne!,positive,emotions of joy,joy
698,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42417,42471,"Ach, was ist das Schönes, wenn man eine Schwester hat.",positive,emotions of joy,joy
699,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42472,42578,"Aber da muß ich
              hernach auch du zu Euer Hoheit sagen und bin so viel als Euer Hoheit selbst?",positive,emotions of affection,emotional movement
700,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42579,42590,Allerdings!,negative,emotions of suffering,emotional movement
701,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42591,42731,"Du sitzest neben mir auf meinem moosbewachsenen Thron, und über uns
              spannt sich der schönste Baldachin, der heitre Himmel aus.",positive,emotions of joy,joy
702,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42732,42780,"Ach du liebe Schwester, wie soll ich dir danken?",negative,emotional movement,joy
703,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42781,42840,"Bleibe, wie du bist, und du hast den Lohn schon abgetragen.",negative,emotions of rejection,Schadenfreude
704,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42841,42849,freudig.,positive,emotions of joy,joy
705,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42850,42912,"Ach ja, wie ich bin – doch – nun ja – wie ich bin, nicht wahr?",negative,emotions of joy,emotional movement
706,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42913,42920,Nun ja.,negative,emotions of rejection,suffering
707,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42921,42956,Da muß ich aber auch ledig bleiben?,negative,emotions of suffering,emotional movement
708,GerDracor/raimund-das-maedchen-aus-der-feenwelt.xml,42957,42966,lächelnd.,positive,emotions of joy,joy
