,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1048,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45244,45393,"Wer Meister ist in seine Sach, Greift an der Werk, still und gemach; Und dicht, und denkt, und schließt und macht; Was Witz, und Klugheit ausgedacht.",positive,emotions of joy,joy
1049,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45394,45527,"Mir sagt mein Herz, mir sagt mein Sinn, So wahr ich eine Lisel bin; Heut Abend eignet sich der Fall, Ich koch' gewiß ein Hochzeitmal.",positive,emotions of joy,joy
1050,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45528,45593,"Doch kömmt der Ausgang dieses Plan, Noch immer auf das Glücke an.",positive,emotions of joy,joy
1051,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45594,45603,Nur Geld!,negative,emotions of fear,emotional movement
1052,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45604,45613,nur Geld!,negative,emotions of rejection,anger
1053,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45614,45628,zum vorhinaus!,negative,emotions of rejection,anger
1054,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45629,45669,Das kömmt itzt gleich ins Meisters Haus.,negative,emotions of rejection,anger
1055,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45670,45694,"Ich muß auch fort, Adje!",negative,emotions of rejection,anger
1056,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45695,45700,Adje!,negative,emotions of suffering,joy
1057,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45701,45734,"Wart wenig, bis ich selbster geh.",negative,emotions of rejection,anger
1058,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45735,45761,"Ich muß gleich fort, Adje!",negative,emotions of rejection,anger
1059,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45762,45767,Adje!,negative,emotions of suffering,joy
1060,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45768,45775,Wohlan!,positive,emotions of suffering,joy
1061,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45776,45787,mein Lisel!,positive,emotions of suffering,love
1062,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45788,45802,Komm' ich geh.,negative,emotions of rejection,fear
1063,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45803,45864,"Beyde wollen abgehen, werden aber von den Herren aufgehalten.",negative,emotions of rejection,anger
1064,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45865,45897,Wird aber nichts entgegen stehn?,negative,emotions of fear,fear
1065,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45898,45929,Wird aber alles glücklich gehn?,positive,emotions of joy,joy
1066,GerDracor/auenbrugger-der-rauchfangkehrer.xml,45930,46049,"Volpino halt; nimmt beyde Herren bey der Hand; führt sie hervor, und singt ihnen
              ganz leise in die Ohren.",positive,emotions of affection,joy
1067,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46050,46115,"Feige verfolgt die Glück, Stoßt Sie sehr oft zurück, Die Idioten.",negative,emotions of rejection,anger
1068,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46116,46187,"Muth und Entschlossenheit Hält den Glück jederzeit, Mit starke Pfotten.",positive,emotions of affection,joy
1069,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46188,46283,"Wir empfehlen unsre Sachen, Herr  Das wir Beyde glücklich seyn, Und uns für kein Teufel scheun.",positive,emotions of joy,joy
1070,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46284,46294,von allen.,positive,emotions of affection,suffering
1071,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46295,46404,"Die feigen Memmen, Mögen sich schämen, Mögen sich grämen, Mein Loos sey jederzeit, Muth und Entschlossenheit.",negative,emotions of rejection,"hate, disgust"
1072,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46405,46459,Das Theater stellt das Zimmer des ersten Aufzuges vor.,positive,emotions of joy,emotional movement
1073,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46460,46550,"Frau von Habicht., die Fräule, Johann der Bediente, und Fränzl die
            Stubenmagd.",negative,emotional movement,anger
1074,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46551,46665,"sie kömmt eilfertig aus dem Zimmer der Fräule, lauft auf die Eintrittthüre zu,
              und hält selbe offen.",negative,emotional movement,emotional movement
1075,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46666,46689,Meine Herrschaft kömmt!,positive,emotions of joy,joy
1076,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46690,46714,– meine Herschaft kömmt!,negative,emotions of rejection,emotional movement
1077,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46715,46786,"– und der allerliebste Pauxl, mein
              Hänsel kömmt auch mit.",positive,emotions of joy,joy
1078,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46787,46849,"Beede Frauen prächtig angezogen, treten ein, und Johann folgt.",positive,emotions of joy,joy
1079,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46850,46882,Soll ich Euer Gnaden auskleiden?,negative,emotional movement,emotional movement
1080,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46883,46892,mürrisch.,negative,emotions of rejection,anger
1081,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46893,46904,Mich nicht.,negative,emotions of suffering,suffering
1082,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46905,46911,bißig.,negative,emotions of rejection,emotional movement
1083,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46912,46928,Mich auch nicht.,negative,emotions of suffering,suffering
1084,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46929,46943,zum Bedienten.,negative,emotions of rejection,anger
1085,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46944,46983,Bey mir wird ausser den  zum Bedienten.,negative,emotions of rejection,anger
1086,GerDracor/auenbrugger-der-rauchfangkehrer.xml,46984,47072,"Ich bin für Niemand zu Hause, nur für den  Beide
                gehen in ihr Zimmer ab.",negative,emotions of rejection,anger
1087,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47073,47087,zum Bedienten.,negative,emotions of rejection,anger
1088,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47088,47114,Sie sind ja einander böse?,emotional movement,emotions of rejection,anger
1089,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47115,47131,Ein wenig stark.,emotional movement,emotional movement,emotional movement
1090,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47132,47196,"– Und dies, wegen dem schwarzen H dertumpe, dem Rauchfangkehrer.",negative,emotions of rejection,"hate, disgust"
1091,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47197,47209,Für Niemand.,negative,emotions of fear,"hate, disgust"
1092,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47210,47248,– Nur für dich allein liebster Johann!,positive,emotions of affection,love
1093,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47249,47266,Gesang in Zweyen.,positive,emotions of joy,suffering
1094,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47267,47310,Ich gedachte stäts an dich Liebster Hänsel!,positive,emotions of affection,love
1095,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47311,47353,Du warst allezeit um mich Liebste Fränzel!,positive,emotions of affection,love
1096,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47354,47549,"Wie ich Bett und Zimmer machte, Und ich was zur Tafel brachte, So oft ich eine Nadel strickte, Und ich eine Schüssel rückte, Bey ein jeden Haspelsschneller, Bey ein jeden Wechselteller, zusammen.",negative,emotions of suffering,joy
1097,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47550,47590,"Warst du stäts um mich, Liebster Hänsel!",negative,emotions of suffering,compassion
1098,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47591,47630,"War ich stäts um dich, Liebste Fränzel!",negative,emotions of suffering,compassion
1099,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47631,47715,"Bey Nähekissen, Bey Leckerbissen, Beym Kästenwichsen, Beym Weinausbüchsen, zusammen.",emotional movement,emotions of joy,joy
1100,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47716,47856,"Kurz; bey all und jeden Sachen, Die schon muß ein Dienstboth machen, Warst du stäts um mich mein Hänsel, War ich stäts um dich mein Fränzel.",negative,emotions of affection,suffering
1101,GerDracor/auenbrugger-der-rauchfangkehrer.xml,47857,48025,"Itzt will ich einen Seitensprung machen, um beyden Herren von meinen Frauen Nachricht
              zu geben, wie sie sich gegeneinander bey der Tafel aufgeführt haben.",negative,emotions of rejection,anger
1102,GerDracor/auenbrugger-der-rauchfangkehrer.xml,48026,48043,Das must du thun.,negative,emotions of rejection,anger
1103,GerDracor/auenbrugger-der-rauchfangkehrer.xml,48044,48055,Ganz gewiß.,positive,emotions of fear,joy
1104,GerDracor/auenbrugger-der-rauchfangkehrer.xml,48056,48062,Still!,negative,emotional movement,emotional movement
1105,GerDracor/auenbrugger-der-rauchfangkehrer.xml,48063,48078,die Thüre geht!,negative,emotions of fear,fear
1106,GerDracor/auenbrugger-der-rauchfangkehrer.xml,48080,48096,Johann läuft ab.,negative,emotions of suffering,suffering
