,id,connected_emotion_id,assignment,main_type,main_sub_type,type,value,amount_type,polarity,base_polarity,main_emotion_class,tag_type,text,length_in_tokens,start,end,annotator,gender
0,CATMA_6174E1DE-7AC2-4A59-A428-C4B9F9A24CD6,CATMA_144D64C9-2435-4277-B90B-90C0DBE4992F,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Objekt,single,positiv,positiv,Emotionen der Freude,Freude,neues Glücke,2,1506,1518,ER,Nicht-Charakter
1,CATMA_2DB415A7-97EE-4445-BF13-D05C4A712446,CATMA_144D64C9-2435-4277-B90B-90C0DBE4992F,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,single,positiv,positiv,Emotionen der Freude,Freude,wir,1,1560,1563,ER,UNKNOWN
2,CATMA_3F152DD5-3604-400E-940A-4C6CC2F49B55,CATMA_351E0343-564C-4F58-99BB-DD70557F3BA8,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,Sie,1,1631,1634,ER,UNKNOWN
3,CATMA_351E0343-564C-4F58-99BB-DD70557F3BA8,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Sie heben / was nach Tugend schmecket /
",8,1631,1671,ER,UNKNOWN
4,CATMA_67F30227-482B-4312-BE5F-A457AC1BB3F0,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Und sehn / was uns gelehrter macht.
",8,1683,1719,ER,UNKNOWN
5,CATMA_67F30227-482B-4312-BE5F-A457AC1BB3F0,,Gemeintes_Target:_Charakter,target,Charakter,implicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Und sehn / was uns gelehrter macht.
",8,1683,1719,ER,UNKNOWN
6,CATMA_9A4A254D-E08A-4C6B-A202-5EE64F115025,CATMA_3A2DA325-AE6F-4EA1-BC3A-F582A4325A6D,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,dieses,1,1736,1742,ER,UNKNOWN
7,CATMA_3A2DA325-AE6F-4EA1-BC3A-F582A4325A6D,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,"Weil dieses manchen Geist erwecket:
",6,1731,1767,ER,UNKNOWN
8,CATMA_81049BF5-8001-4655-98D3-93C0D13C4FD1,CATMA_B2FEE8F9-49A6-43A8-98E5-A3CDD8BB9AF2,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,single,negativ,negativ,Emotionen der Ablehnung,Ärger, ein Fischer ,2,2363,2376,ER,UNKNOWN
9,CATMA_3FCA3CCF-5974-4B01-B63D-26761A59F873,CATMA_B2FEE8F9-49A6-43A8-98E5-A3CDD8BB9AF2,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,single,negativ,negativ,Emotionen der Ablehnung,Ärger," seinen Herren:
",3,2375,2391,ER,UNKNOWN
10,CATMA_B2FEE8F9-49A6-43A8-98E5-A3CDD8BB9AF2,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,unbekannt,single,negativ,negativ,Emotionen der Ablehnung,Ärger,"Hier trotzt ein Fischer seinen Herren:
",7,2352,2391,ER,UNKNOWN
11,CATMA_C94ADE7A-14C6-4B31-85CD-7F14A44A812F,CATMA_B111D0E3-C3E4-492F-8988-71FC98E04014,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,group,negativ,negativ,Emotionen des Leids,Leid,Der Adel,2,2493,2501,ER,UNKNOWN
12,CATMA_C94ADE7A-14C6-4B31-85CD-7F14A44A812F,CATMA_B111D0E3-C3E4-492F-8988-71FC98E04014,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,group,negativ,negativ,Emotionen des Leids,Leid,Der Adel,2,2493,2501,ER,unpersönlich
13,CATMA_B111D0E3-C3E4-492F-8988-71FC98E04014,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,"Der Adel fühlt den Hertzens-Stich.
",6,2493,2528,ER,UNKNOWN
14,CATMA_3DF5C916-90D4-44C8-BDEA-9B18DBF829BC,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,positiv,positiv,Emotionen der Freude,Freude,"Wie Recht und Macht den Platz behilt.
",8,2583,2621,ER,UNKNOWN
15,CATMA_11B0222B-B3E9-4E64-9D13-34DE8748316F,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,unbekannt,single,positiv,positiv,Emotionen der Freude,Freude,"Und stralet mit einer beständigen Gunst. So werden die blöden Gemüther gezwungen / Und opfern sich selbsten in danckbarer Brunst.
",22,2775,2905,ER,UNKNOWN
16,CATMA_11B0222B-B3E9-4E64-9D13-34DE8748316F,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,chorus,single,positiv,positiv,Emotionen der Freude,Freude,"Und stralet mit einer beständigen Gunst. So werden die blöden Gemüther gezwungen / Und opfern sich selbsten in danckbarer Brunst.
",22,2775,2905,ER,UNKNOWN
17,CATMA_4DB681E3-BA46-4788-9DE5-0E506F6E01CF,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,roderigo,single,negativ,negativ,Emotionen der Angst,Angst,Es ist eine Furcht / die von Weiblicher Schwachheit entstehet,10,2970,3031,ER,MALE
18,CATMA_367ED382-92F4-4F32-8CEA-3F4B0CE2C811,CATMA_4C110345-9B69-4A9D-9B3C-95AD1001F4AA,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,seinen Halß einmahl der Regiments-Last unterworffen hat ,7,3037,3093,ER,Nicht-Charakter
19,CATMA_4C110345-9B69-4A9D-9B3C-95AD1001F4AA,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,roderigo,single,negativ,negativ,Emotionen der Ablehnung,Abscheu," Wer seinen Halß einmahl der Regiments-Last unterworffen hat / der muß ein solches Ungewitter verachten können.
",17,3032,3144,ER,MALE
20,CATMA_2A994459-D96D-4B4B-91EE-0AEE8C8652D5_0,CATMA_1716544B-15B0-4AD0-800F-F44E4FAB9D6F,Explizite_Source:_Experiencer,source,Experiencer,explicit,leonisse,single,negativ,negativ,Emotionen der Angst,Angst,Ich,1,3155,3158,ER,FEMALE
21,CATMA_A26E250E-CC7C-48A5-BB9B-9FEB673C6A68_0,CATMA_1716544B-15B0-4AD0-800F-F44E4FAB9D6F,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst, Ist uns und unserer Familie der unglückselige Tod zu Neapolis bestirnt ,11,3359,3431,ER,Nicht-Charakter
22,CATMA_69C246CA-7865-4767-B50B-7A66F951FBB7,CATMA_89FD5DC3-0017-4099-811E-9A732E966001,Explizites_Target:_Charakter,target,Charakter,explicit,leonisse,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Ihr Liebden,2,3529,3540,ER,FEMALE
23,CATMA_F5F973F6-C635-48A1-A83B-6654AEE18258,CATMA_89FD5DC3-0017-4099-811E-9A732E966001,Explizite_Source:_Experiencer,source,Experiencer,explicit,roderigo,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,mich,1,3551,3555,ER,MALE
24,CATMA_A1D39593-E1DD-413A-92E9-D2FB40F493A6_0,CATMA_8D385A6D-329C-4BB6-B6E8-8D3399B481E0,Explizite_Source:_Experiencer,source,Experiencer,explicit,leonisse,single,negativ,negativ,Emotionen der Angst,Angst,mir,1,3613,3616,ER,FEMALE
25,CATMA_318770A8-2DC1-4694-9FFF-92ACDD197453,CATMA_8D385A6D-329C-4BB6-B6E8-8D3399B481E0,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,weil doch so viel hundert tausend Menschen nach unserm Blute durstig sind,12,3730,3803,ER,Nicht-Charakter
26,CATMA_ECE224D5-8C66-44D7-A307-31CCC788FF54_0,CATMA_8D385A6D-329C-4BB6-B6E8-8D3399B481E0,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,single,negativ,negativ,Emotionen der Angst,Angst,meiner hertzliebsten Kinder,3,3914,3941,ER,UNKNOWN
27,CATMA_479859F0-7FA7-437C-B559-D1E9346549D5,CATMA_DC1A5E84-9E00-413F-B614-7D651875C7BA,Explizite_Source:_Experiencer,source,Experiencer,explicit,leonisse,single,negativ,negativ,Emotionen des Leids,Leid,ich,1,3902,3905,ER,FEMALE
28,CATMA_ECE224D5-8C66-44D7-A307-31CCC788FF54_0,CATMA_DC1A5E84-9E00-413F-B614-7D651875C7BA,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,single,negativ,negativ,Emotionen des Leids,Leid,meiner hertzliebsten Kinder,3,3914,3941,ER,UNKNOWN
29,CATMA_4D4CAD90-A371-477A-92AC-8F35D650C95D,CATMA_339E1FBF-CB5A-48E2-B138-B29095C67CD6,Explizite_Source:_Experiencer,source,Experiencer,explicit,leonisse,single,negativ,negativ,Emotionen der Angst,Verzweiflung,Ich,1,4206,4209,ER,FEMALE
30,CATMA_0A12382A-A39B-44C1-9146-6BA298179A93,CATMA_339E1FBF-CB5A-48E2-B138-B29095C67CD6,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Verzweiflung,einen geschwinden Tod,3,4259,4280,ER,Nicht-Charakter
31,CATMA_9A7912E1-B1A5-48E0-ACB5-5040F18E6FF2,CATMA_82623DB2-AECF-4572-B84F-73C1FD4D2389,Explizite_Source:_Experiencer,source,Experiencer,explicit,leonisse,single,positiv,positiv,Emotionen der Zuneigung,Liebe,ich,1,4320,4323,ER,FEMALE
32,CATMA_2857033B-3466-49A4-AFDE-9E0EF4CA644E,CATMA_82623DB2-AECF-4572-B84F-73C1FD4D2389,Explizites_Target:_Charakter,target,Charakter,explicit,unbekannt,single,positiv,positiv,Emotionen der Zuneigung,Liebe,Hertzgeliebtesten Ehegemahl ,2,4397,4425,ER,UNKNOWN
33,CATMA_BB4839A0-3C0D-4375-BFFC-97FC7E99BE7E,CATMA_EEA852F2-F688-4307-9A74-2E52EB0C432E,Explizites_Target:_Charakter,target,Charakter,explicit,unpersönlich,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,dem Volcke,2,4568,4578,ER,unpersönlich
34,CATMA_EEA852F2-F688-4307-9A74-2E52EB0C432E,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,roderigo,single,negativ,negativ,Emotionen der Ablehnung,Abscheu," und wenn es zum eusersten komt / so wird dem Volcke viel versprochen / das man hernach desto weniger halten darff.
",22,4526,4642,ER,MALE
35,CATMA_078290AA-4C57-40E0-9D6B-6BF3B3FDB8AD,CATMA_9F54BE25-F178-4DA1-B1FC-0DB907EE04FA,Explizite_Source:_Experiencer,source,Experiencer,explicit,leonisse,single,negativ,negativ,Emotionen der Angst,Angst,ich,1,4673,4676,ER,FEMALE
36,CATMA_00880F25-DA70-4D35-A572-EFC30BEF9C5E_0,CATMA_9F54BE25-F178-4DA1-B1FC-0DB907EE04FA,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,das Volck werde sich ins künfftige mit solchen Versprechungen nicht abweisen lassen,12,4679,4762,ER,Nicht-Charakter
37,CATMA_344B2AF2-D95C-4C52-9DF2-F5F3C38D6254,CATMA_2A8501A2-52DC-4F1A-BE37-D8115004E4AB,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst,"daß wir von derselben Gnade bitten müssen.
",8,5436,5479,ER,Nicht-Charakter
38,CATMA_2A8501A2-52DC-4F1A-BE37-D8115004E4AB,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,leonisse,single,negativ,negativ,Emotionen der Angst,Angst,"Desto schlimmer ist es vor uns / wenn uns die Canaille so weit bringt / daß wir von derselben Gnade bitten müssen.
",23,5364,5479,ER,FEMALE
39,CATMA_7BB84C34-328B-43BD-A4F6-1AC45D5B2725,CATMA_C27108B5-EE47-4F66-9516-28D995B34999,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen der Angst,Angst, dieser Platz wird uns zu keiner steten Sicherheit dienlich seyn:,11,5733,5798,ER,Nicht-Charakter
40,CATMA_C27108B5-EE47-4F66-9516-28D995B34999,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,leonisse,single,negativ,negativ,Emotionen der Angst,Angst,"Auch dieser Platz wird uns zu keiner steten Sicherheit dienlich seyn: Doch wo das Wasser schon biß an die Seele gehet / da müssen die nähesten und die möglichsten Mittel die besten seyn.
",35,5729,5916,ER,FEMALE
41,CATMA_A2AA851A-685D-4CC5-B305-2F7780210D56,CATMA_7AE27C7D-C5E5-4E6C-981A-0349D436584A,Explizites_Target:_Charakter,target,Charakter,explicit,anaclerio,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,unser Marckt-Hauptmann,2,5994,6016,ER,MALE
42,CATMA_7AE27C7D-C5E5-4E6C-981A-0349D436584A,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,roderigo,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Doch was bringet unser Marckt-Hauptmann ?,6,5977,6018,ER,MALE
43,CATMA_9FA0F3C1-CCFE-4F38-9BE3-C1B37A45F292,CATMA_485713A8-36A2-42A2-A438-BEC62ECBCF4B,Explizites_Target:_Charakter,target,Charakter,explicit,roderigo,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,hr ExcELLENtz,2,6088,6101,ER,MALE
44,CATMA_8E25003A-2605-4B14-B35F-9E87F605309C_0,CATMA_485713A8-36A2-42A2-A438-BEC62ECBCF4B,Explizite_Source:_Experiencer,source,Experiencer,explicit,anaclerio,single,positiv,positiv,Emotionen der Zuneigung,Verehrung,mir,1,6109,6112,ER,MALE
45,CATMA_4CBA5C59-EDC6-495F-B685-609BA1A09C6C,CATMA_B0AD2AD8-E592-4B99-B5C0-5E1E25854B91,Explizite_Source:_Experiencer,source,Experiencer,explicit,anaclerio,single,negativ,negativ,Emotionen der Angst,Verzweiflung,Ich,1,6164,6167,ER,MALE
46,CATMA_3306C5A4-CF89-46A4-A3A6-BD154C128A10,CATMA_3ED216DD-0384-4632-89F7-ED62DCD10647,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,dieses,1,6229,6235,ER,Nicht-Charakter
47,CATMA_3ED216DD-0384-4632-89F7-ED62DCD10647,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,roderigo,single,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,Emotionale Bewegtheit,"Und warum dieses? sind unsere Dienste nunmehr zu geringe / daß sie euch nicht weiter vergnügen können?

",19,6219,6323,ER,MALE
48,CATMA_24F05F76-4A9C-4108-A58D-52878707A8C7_0,CATMA_362DBF7F-CE88-4AAC-B40B-5EE5268D0BF8,Explizite_Source:_Experiencer,source,Experiencer,explicit,anaclerio,single,negativ,negativ,Emotionen des Leids,Leid,ein Hauptmann,2,6389,6402,ER,MALE
49,CATMA_40032A59-46EE-4D3F-86E4-550D62D4A524_0,CATMA_362DBF7F-CE88-4AAC-B40B-5EE5268D0BF8,Explizites_Target:_Nicht-Charakter,target,Nicht-Charakter,explicit,Ereignis,single,negativ,negativ,Emotionen des Leids,Leid,als mich die kleinen Knaben mit faulen Aepffeln / Feigen und Pflaumen von dem Marckte weg steinigten ,17,6518,6619,ER,Nicht-Charakter
50,CATMA_39F13FD4-EDA0-4728-90D5-D5C3B6AB76CB_0,CATMA_ECCE29F4-C0D8-49FF-87F2-F7A07C4C924E,Explizites_Target:_Charakter,target,Charakter,explicit,anaclerio,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Ich,1,6449,6452,ER,MALE
51,CATMA_EE70B8E1-FD26-4BB1-BD59-68724FD82881_0,CATMA_ECCE29F4-C0D8-49FF-87F2-F7A07C4C924E,Explizite_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,explicit,anaclerio,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Ich,1,6449,6452,ER,MALE
52,CATMA_F2861ABA-028D-4B39-A810-0732313EBE48,CATMA_ECCE29F4-C0D8-49FF-87F2-F7A07C4C924E,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,die kleinen Knaben,3,6527,6545,ER,UNKNOWN
53,CATMA_9010EB72-27A1-4E9A-AEC3-BDF447E94A04_0,CATMA_EA5D93C7-846F-4206-912D-7F825E6DEECE,Explizites_Target:_Charakter,target,Charakter,explicit,masaniello,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Masaniello,1,7254,7264,ER,MALE
54,CATMA_EA5D93C7-846F-4206-912D-7F825E6DEECE,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,anaclerio,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,"Ach das Unglück hat schon ein Haupt gefunden / der verfluchte Nähme Masaniello, welcher allbereit vor hundert Jahren ein leichtfertiges Gedächtnis in dieser Stadt erworben hat / wil nunmehr wieder lebendig werden.",34,7186,7399,ER,MALE
55,CATMA_E4D69993-9186-4739-A93B-67128CA28F2B_0,CATMA_FBC814A5-188F-40F7-B325-84A3FF9AC95A,Explizite_Source:_Experiencer,source,Experiencer,explicit,masaniello,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,kein Fürst,2,7496,7506,ER,MALE
56,CATMA_948DEA89-8445-4C4B-9660-35F8B2144A16,CATMA_FBC814A5-188F-40F7-B325-84A3FF9AC95A,Explizites_Target:_Charakter,target,Charakter,explicit,unpersönlich,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,den Fürsten,2,7561,7572,ER,unpersönlich
57,CATMA_FBC814A5-188F-40F7-B325-84A3FF9AC95A,,Gemeinte_Source:_Zuschreibende_Instanz,source,Zuschreibende Instanz,implicit,anaclerio,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Ihr ExCELLENtz / es ist kein Fürst / aber er ist ein Fischer / der sich rühmt / er wolle den Fürsten die Hälse brechen,25,7472,7590,ER,MALE
58,CATMA_99B0FDE8-39D8-455A-BEC3-39079D6EAA76_0,CATMA_80A4600B-5970-440C-9AA6-ED058B26D7AD,Explizites_Target:_Charakter,target,Charakter,explicit,masaniello,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Er,1,7592,7594,ER,MALE
59,CATMA_80A4600B-5970-440C-9AA6-ED058B26D7AD,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,anaclerio,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,"Er hat unlängst ein Possen-Spiel mit Kindern angefangen / welche die wohlfeyle Zeit in der Stadt ausruffen solten. Nun stehet er auff dem Marckte gleich als ein Quacksalber auff einem erhabenen Tische / und wil das gesamte Volck bereden; gleich wie Petrus der Fischer die Stadt Rom aus der Geistlichen Dienstbarkeit gerissen hat: also wolte er als ein Fischer die berühmte Stadt Neapolis von der unerträglichen Dienstbarkeit befreyen.
",72,7592,8027,ER,MALE
60,CATMA_0E74603C-47D2-430D-8DD5-2C64E26F20FE,CATMA_5FCDE3B7-B8DE-45D6-B278-C31ADFB61B10,Explizites_Target:_Charakter,target,Charakter,explicit,anaclerio,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,sein boßhafftiger Hals ,3,8071,8094,ER,MALE
61,CATMA_5FCDE3B7-B8DE-45D6-B278-C31ADFB61B10,,Gemeinte_Source:_Experiencer,source,Experiencer,implicit,roderigo,single,negativ,negativ,Emotionen der Ablehnung,Abscheu,Eine eitele Vergleichung / davor sein boßhafftiger Hals an dem Galgen sol belohnet werden,14,8038,8127,ER,MALE
62,CATMA_67465869-C69B-4C32-87AE-E4D7E32F31B3,CATMA_62B1223B-E647-45F9-B855-5BE7FC74E86F,Explizite_Source:_Experiencer,source,Experiencer,explicit,unbekannt,group,positiv,positiv,Emotionen der Freude,Freude,das Volck,2,8306,8315,ER,UNKNOWN
63,CATMA_67465869-C69B-4C32-87AE-E4D7E32F31B3,CATMA_62B1223B-E647-45F9-B855-5BE7FC74E86F,Explizite_Source:_Experiencer,source,Experiencer,explicit,unpersönlich,group,positiv,positiv,Emotionen der Freude,Freude,das Volck,2,8306,8315,ER,unpersönlich
64,CATMA_AB9527BC-70D7-4979-B374-2183364BC3AC,CATMA_62B1223B-E647-45F9-B855-5BE7FC74E86F,Explizites_Target:_Charakter,target,Charakter,explicit,masaniello,single,positiv,positiv,Emotionen der Freude,Freude, seiner unverhofften Kühnheit,3,8320,8349,ER,MALE
