,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
429,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,23770,23802,– Sein Alles war Dieses Mädchen.,positive,emotions of affection,love
430,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,23803,23914,– Frisch und munter – Just am letzten Februar Vor vier Jahren – waren beyde In der Stadt zu einer Kinderfreude.,positive,emotions of joy,joy
431,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,23915,24127,"Da – auf einmal kommt ein Mann, Stürzend vom beschäumten Pferde, Keuchend, mit der Nachricht an, Daß mein Kind  Als der Strom zum Eisbruch schwoll, Tritt das Kind auf eine Scholl', Und das Wasser macht sie flott!",negative,emotions of suffering,suffering
432,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24128,24160,Niemand wagt's – Gerechter Gott!,positive,emotions of fear,fear
433,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24161,24182,Alles wagt ein Vater!,positive,emotions of fear,fear
434,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24183,24502,"Ich Stürze nach dem Strom, der sich Nah hier um die Waldspitz krümmet – Klara schwimmet, Von der Gaffer Schaar begleitet, Die am Ufer läuft und reitet, Stehend auf dem Eis heran – Lächelt – spielt mit einer Ruth' In der Fluth – Außer mir reiß ich vom Pfahle den Kahn, Zwing' ihn mit Stang' und mit Ruder hinan – »Vater!",negative,emotions of fear,suffering
435,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24503,24565,ich schiffe!« –  (mit brechender Stimme:) nach geraumer Pause.,emotional movement,emotional movement,emotional movement
436,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24566,24603,Wo man sie fand ist am Ufer ihr Grab.,negative,emotions of suffering,suffering
437,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24604,24632,(Alle drey sind in Thränen.),negative,emotions of suffering,suffering
438,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24633,24688,"hat sich zuerst gefaßt, geht zum Tisch und schenkt ein.",positive,emotional movement,emotional movement
439,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24689,24727,Ihr wollt Wein; ich geb' Euch Thränen!,negative,emotions of suffering,suffering
440,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24728,24757,Theurer habt Ihr nie gekauft.,negative,emotions of affection,Schadenfreude
441,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24758,24803,"Hier müßt' Ihr Euch dran gewöhnen,  entsetzt.",negative,emotional movement,"hate, disgust"
442,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24804,24808,Wie?,emotional movement,emotional movement,emotional movement
443,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24809,24851,Vater Horst hieß mich Sophie;  außer sich.,negative,emotional movement,emotional movement
444,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24852,24864,Agnes Thrän?,emotional movement,emotional movement,emotional movement
445,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24865,24882,– Und wo erzogen?,negative,emotional movement,emotional movement
446,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24883,24908,In Gemind beym Oberpfarr.,negative,emotions of suffering,suffering
447,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24909,24939,"Alter Herr, Ihr seyd ja starr!",emotional movement,emotional movement,emotional movement
448,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24940,24971,"Oh, so stürzt heran, ihr Wogen!",negative,emotions of fear,despair
449,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,24972,25005,"Schuld wie Unschuld decke, Strom!",negative,emotions of rejection,suffering
450,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,25006,25015,– Walter!,emotional movement,emotional movement,emotional movement
451,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,25016,25047,"– – Ich bin Euer Ohm,  Heiland!",positive,emotions of affection,admiration
452,GerDracor/muellner-der-neun-und-zwanzigste-februar.xml,25048,25127,"(Sie stürzt ohnmächtig nieder, Ludwig springt ihr bey, Walter steht vernichtet.",negative,emotions of suffering,suffering
