,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
0,GerDracor/kotzebue-der-freimaurer.xml,0,22, In the public domain.,negative,emotional movement,emotional movement
1,GerDracor/kotzebue-der-freimaurer.xml,23,51,(Der Schauplatz ein Zimmer.),negative,emotional movement,emotional movement
2,GerDracor/kotzebue-der-freimaurer.xml,52,59,allein.,negative,emotions of suffering,suffering
3,GerDracor/kotzebue-der-freimaurer.xml,60,113,"Vergebens plag' ich ihn, er will mir nichts erzählen.",negative,emotions of suffering,suffering
4,GerDracor/kotzebue-der-freimaurer.xml,114,164,– Wie mag die Neubegier uns Weiber doch so quälen!,negative,emotional movement,emotional movement
5,GerDracor/kotzebue-der-freimaurer.xml,165,325,"Ein Buch von Frau  Darum bekümmern wir uns in der Regel nicht: Doch was die Männer in's Geheim vor uns bewahren, Das mögten gar zu gern wir wissen und erfahren!",negative,emotional movement,anger
6,GerDracor/kotzebue-der-freimaurer.xml,326,431,"Und ist es auch vielleicht für uns von keinem Werth, Genug, es schmeichelt doch, wenn man es nur erfährt.",positive,emotions of affection,love
7,GerDracor/kotzebue-der-freimaurer.xml,432,643,"Im Grund' ists Eitelkeit – schau hinter die Coulissen – Es kitzelt, wenn man weiß, was Andre noch nicht wissen; Und wer sich brüsten kann mit einer Neuigkeit, Der wächst um einen Zoll, wird noch einmal so breit.",negative,emotions of joy,joy
8,GerDracor/kotzebue-der-freimaurer.xml,644,834,"Wenn's auch ein Unglück wär', nur  So mag man's gar zu gern dem Andern hinterbringen; Und wenn es dem auch gleich das Herz im Leibe bricht, Genug, man setzt hinzu: erschrecken Sie nur nicht.",negative,emotions of fear,fear
9,GerDracor/kotzebue-der-freimaurer.xml,835,905,– Verdammte  Schon längst Skandal und Qual dem weiblichen Geschlechte.,negative,emotions of rejection,"hate, disgust"
10,GerDracor/kotzebue-der-freimaurer.xml,906,1207,"Dem Maurer wöchentlich ein Abend bestimmt, An dem er aus dem Schrank das wohl Verschloßne nimmt, Es in die Tasche steckt, mit Sorgfalt es verheelend, Beinahe wie ein Dieb sich aus dem Hause stehlend; Er geht, Gott weiß wohin, er thut, man weiß nicht was, Indeß die Frau daheim mit schwerem Herzen saß.",negative,emotions of suffering,suffering
11,GerDracor/kotzebue-der-freimaurer.xml,1208,1401,"Fragt sie, so lächelt er mit vornehm güt'gen Blicken, Als wäre sie ein Kind, als woll' es sich nicht schicken, Ihr zu vertraun, was nur dem Mann zu wissen ziemt, Und nichts erfährt sie, nichts!",positive,emotions of affection,love
12,GerDracor/kotzebue-der-freimaurer.xml,1402,1429,auch nicht einmal verblümt!,positive,emotions of joy,anger
13,GerDracor/kotzebue-der-freimaurer.xml,1430,1710,"Beim Licht besehen ist auch wohl nicht viel dahinter, So eine Art von Klub, ein Zeitvertreib im Winter; Doch bleibt es ärgerlich, daß, wenn die  Die  Ich liebe den Baron, doch eh' ichs ihm gestehe, Muß er mir beichten, wie sichs ziemt in guter Ehe; Und thut er's nicht – was dann?",negative,emotions of rejection,suffering
14,GerDracor/kotzebue-der-freimaurer.xml,1711,1724,– ich breche?,negative,emotional movement,fear
15,GerDracor/kotzebue-der-freimaurer.xml,1725,1864,– das zwar nicht – Der Mann ist brav und hübsch – nur Sklave seiner Pflicht – Doch  Der Männer Stolz und Trotz durch Schönheit zu besiegen!,positive,emotions of affection,admiration
16,GerDracor/kotzebue-der-freimaurer.xml,1865,1960,Gelingt es – ein Triumph für meine Eitelkeit; Gelingt es nicht – ein Ruhm für seine Festigkeit.,positive,emotions of joy,admiration
17,GerDracor/kotzebue-der-freimaurer.xml,1961,1970,Der Graf.,negative,emotions of rejection,anger
18,GerDracor/kotzebue-der-freimaurer.xml,1971,1980,Karoline.,emotional movement,emotional movement,emotional movement
19,GerDracor/kotzebue-der-freimaurer.xml,1981,2005,"Mein Fräulein, Servitör!",positive,emotional movement,emotional movement
20,GerDracor/kotzebue-der-freimaurer.xml,2006,2031,"Herr Oheim, guten Morgen.",positive,emotions of joy,joy
21,GerDracor/kotzebue-der-freimaurer.xml,2032,2049,Warum so finster?,negative,emotions of rejection,anger
22,GerDracor/kotzebue-der-freimaurer.xml,2050,2065,Fragst du noch?,negative,emotional movement,emotional movement
23,GerDracor/kotzebue-der-freimaurer.xml,2066,2082,ich habe Sorgen.,negative,emotions of fear,fear
24,GerDracor/kotzebue-der-freimaurer.xml,2083,2109,Der reiche Graf von Hecht?,emotional movement,emotional movement,emotional movement
25,GerDracor/kotzebue-der-freimaurer.xml,2110,2199,"Reich hin, reich her, die Ruh Erkauft der Reichthum nicht, es drückt auch mich der Schuh!",negative,emotions of suffering,suffering
26,GerDracor/kotzebue-der-freimaurer.xml,2200,2300,"Ich, der Geplagteste von allen deutschen Grafen, Ich habe diese Nacht schon wieder nicht geschlafen.",negative,emotions of suffering,suffering
27,GerDracor/kotzebue-der-freimaurer.xml,2301,2326,"Die Maurerei, nicht wahr?",negative,emotions of rejection,anger
28,GerDracor/kotzebue-der-freimaurer.xml,2327,2346,die edle Wißbegier?,positive,emotional movement,emotional movement
29,GerDracor/kotzebue-der-freimaurer.xml,2347,2357,Was sonst?,emotional movement,emotions of rejection,emotional movement
30,GerDracor/kotzebue-der-freimaurer.xml,2358,2383,Auch ich bin krank davon.,negative,emotions of suffering,suffering
31,GerDracor/kotzebue-der-freimaurer.xml,2384,2402,Ich platze schier!,negative,emotions of fear,emotional movement
32,GerDracor/kotzebue-der-freimaurer.xml,2403,2704,"Du weißt, ich hatte kaum erlauscht, erfragt, ergründet, Daß hier im Hinterhaus die Loge sich befindet, So schloß ich alsobald den theuren Mieth-Contract; Es wurd' in aller Eil der Koffer eingepackt, Ich zog in's Vorderhaus, verhoffend in der Nähe, Daß ich die Heimlichkeit durch Zufalls Gunst erspähe.",negative,emotions of rejection,emotional movement
33,GerDracor/kotzebue-der-freimaurer.xml,2705,2915,"Die alte Wand ist dünn, die Fenster sind nicht hoch, Man bohrt in eine Thür auch wohl ein kleines Loch; Man hilft sich wie man kann; so hatt' ich es beschlossen, Allein es ist umsonst, ich habe fehl geschossen.",negative,emotions of suffering,suffering
