,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1723,GerDracor/pfeil-lucie-woodvil.xml,133293,133458,"Darf er Ihnen erst die Glückseligkeit eines Herzens
              schildern, das durch seine Tugend allein jeden seiner Augenblicke heiter machen
              kann?",positive,emotions of joy,joy
1724,GerDracor/pfeil-lucie-woodvil.xml,133459,133589,"Und wenn Sie mein Herz einen tausendfachen Tod empfinden ließen, Sie würden sich doch
              weniger grausam an mir rächen.",negative,emotions of suffering,love
1725,GerDracor/pfeil-lucie-woodvil.xml,133590,133754,"Southwell hat keine Ursache, sich zu rächen, und wenn er sie auch hätte, so würde er
              sich eher an der ganzen übrigen Welt als an Lucien rächen können.",negative,emotions of rejection,"hate, disgust"
1726,GerDracor/pfeil-lucie-woodvil.xml,133755,133831,"Nur Liebe,
              väterliche Liebe – Welche ungewöhnliche Bewegungen!",positive,emotions of affection,love
1727,GerDracor/pfeil-lucie-woodvil.xml,133832,133881,"Es überfällt mich eine
              Schwachheit.",negative,emotions of suffering,suffering
1728,GerDracor/pfeil-lucie-woodvil.xml,133882,133900,Meine Knie wanken.,negative,emotional movement,emotional movement
1729,GerDracor/pfeil-lucie-woodvil.xml,133901,133929,Reichen Sie mir einen Stuhl.,negative,emotional movement,suffering
1730,GerDracor/pfeil-lucie-woodvil.xml,133931,134006,"Sir Willhelm setzt
                sich, Lucie will voll Bewegung weggehen.",negative,emotional movement,emotional movement
1731,GerDracor/pfeil-lucie-woodvil.xml,134007,134033,Wollen Sie mich verlassen?,negative,emotions of fear,fear
1732,GerDracor/pfeil-lucie-woodvil.xml,134034,134115,"Wie, wenn es meine letzten  Er schließt ihre Hand in
                die seinige.",positive,emotions of affection,love
1733,GerDracor/pfeil-lucie-woodvil.xml,134116,134139,Zuviel haben Sie getan!,negative,emotions of suffering,emotional movement
1734,GerDracor/pfeil-lucie-woodvil.xml,134140,134197,"Nehmen Sie Ihr Vermächtnis, nehmen Sie Ihre Liebe zurück.",positive,emotions of affection,love
1735,GerDracor/pfeil-lucie-woodvil.xml,134198,134231,"Ich
              will sie nicht.",negative,emotions of rejection,love
1736,GerDracor/pfeil-lucie-woodvil.xml,134232,134290,"Sie sind das quälende Geschenk, das Sie mir machen können.",positive,emotions of affection,suffering
1737,GerDracor/pfeil-lucie-woodvil.xml,134291,134366,"Ihr Haß,
              Ihre Verachtung ist Trost, ist Ruhe für meine Seele.",negative,emotions of rejection,"hate, disgust"
1738,GerDracor/pfeil-lucie-woodvil.xml,134367,134407,"Beruhigen Sie sich, meine liebe Tochter.",emotional movement,emotional movement,emotional movement
1739,GerDracor/pfeil-lucie-woodvil.xml,134408,134491,"Sie verdienen nichts als Mitleiden, selbst
              von der eifrigsten Tugend.",negative,emotions of suffering,compassion
1740,GerDracor/pfeil-lucie-woodvil.xml,134492,134609,"Wie leicht fehlt ein menschliches Herz, das selbst der
              strengste Tyranne über seine Leidenschaften ist.",positive,emotions of affection,love
1741,GerDracor/pfeil-lucie-woodvil.xml,134610,134632,Sie kennen mich nicht.,negative,emotions of rejection,emotional movement
1742,GerDracor/pfeil-lucie-woodvil.xml,134633,134657,Sehen Sie Ihre Mörderin!,negative,emotions of fear,despair
1743,GerDracor/pfeil-lucie-woodvil.xml,134658,134758,"Sie hat ein Leben verkürzt, zu dessen
              Erhaltung sie das ihrige hätte aufopfern sollen.",negative,emotions of suffering,suffering
1744,GerDracor/pfeil-lucie-woodvil.xml,134759,134764,Nein!,emotional movement,emotions of rejection,emotional movement
1745,GerDracor/pfeil-lucie-woodvil.xml,134765,134818,dieses ermüdete Alter war schon längst reif zum Tode.,negative,emotions of suffering,suffering
1746,GerDracor/pfeil-lucie-woodvil.xml,134819,134930,"Die Schmerzen, die ich
              über Ihre Vergehung empfand, konnten nie meiner Gesundheit schädlich sein.",negative,emotions of suffering,suffering
