,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
1822,1822,1822,TextGrid/-Faust.2.xml,"
                                    Das Innere der Ruine von Faust's Hause.",0,76,stage_direction,5,31,pre_speech,,,,,no_annotation,T,,1802.0,no_annotation,no_annotation
1823,1823,1823,TextGrid/-Faust.2.xml,"
                                    Dachloses halbverfallenes schwarzes Gemach mit zum Theil erhaltenen Bogenfenstern, rings Schutt und Trümmer.",0,145,stage_direction,5,31,pre_speech,,,,,suffering,T,,1802.0,negative,emotions of suffering and empathy
1824,1824,1824,TextGrid/-Faust.2.xml,"Über der eingebrochenen Mauer des Hintergrunds erhebt sich der Vollmond, der das Ganze magisch beleuchtet.",146,252,stage_direction,5,31,pre_speech,,,,,no_annotation,T,,1802.0,no_annotation,no_annotation
1825,1825,1825,TextGrid/-Faust.2.xml,"
                                       kommt mit entblößtem Haupte aus der Tiefe; gleich nach ihm Wagner, der am Eingange stehen bleibt.",0,137,stage_direction,5,31,speech_part,,,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1826,1826,1826,TextGrid/-Faust.2.xml,"
                                       Nur leise, Faust, beschreite diese Schwelle,
                                       Daß nicht erwache die Vergangenheit.",0,160,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1827,1827,1827,TextGrid/-Faust.2.xml,"O holdes Grabmal mein, vom Mond so helle
                                       Mit hundert frommen Lilien bestreut!",244,360,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,love,T,,1802.0,positive,emotions of affection
1828,1828,1828,TextGrid/-Faust.2.xml,"Da schlummert sie in sichrer, schwarzer Wiege,
                                       Faust, schreite leise!",400,508,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1829,1829,1829,TextGrid/-Faust.2.xml,"deine Jugendzeit;
                                       Verklärtes Lächeln schwebt um ihre Züge
                                       Mit zarten Spuren von Vergänglichkeit.",509,683,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1830,1830,1830,TextGrid/-Faust.2.xml,Ich will zu dir mich legen und entschlafen!,723,766,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,love,T,,1802.0,positive,emotions of affection
1831,1831,1831,TextGrid/-Faust.2.xml,Doch!,806,811,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1832,1832,1832,TextGrid/-Faust.2.xml,– ruht denn hier auch meine Jugend?,812,847,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1833,1833,1833,TextGrid/-Faust.2.xml,Nein!,848,853,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1834,1834,1834,TextGrid/-Faust.2.xml,Das ist ja keine Wiege.,893,916,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1835,1835,1835,TextGrid/-Faust.2.xml,"S'ist der Hafen,
                                       Da lief ich aus, da lauf' ich wieder ein!",917,1014,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1836,1836,1836,TextGrid/-Faust.2.xml,O ich besinne mich!,1054,1073,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1837,1837,1837,TextGrid/-Faust.2.xml,"Und in den Tagen,
                                       Den wenigen, da ich das Meer befuhr,
                                       Ward er verbrannt vom Blitze und zerschlagen.",1074,1252,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,suffering,T,,1802.0,negative,emotions of suffering and empathy
1838,1838,1838,TextGrid/-Faust.2.xml,Sein ganzer Schutzbau ist Ruine nur.,1292,1328,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,suffering,T,,1802.0,negative,emotions of suffering and empathy
1839,1839,1839,TextGrid/-Faust.2.xml,"Die Wellen rauschen jammernd durchs Gemäuer,
                                       Sie schleudern Glück, versunknes, ringsum aus,
                                       Und Leichen, für der Tiefe Ungeheuer
                                       Und für Hyänenzahn ein sichrer Schmaus!",1368,1653,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,suffering,T,,1802.0,negative,emotions of suffering and empathy
1840,1840,1840,TextGrid/-Faust.2.xml,"Ja, ja, so ist's!",1693,1710,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1841,1841,1841,TextGrid/-Faust.2.xml,"Vom Himmelsleuchtthurm blicken
                                       Zur Warnung allen Schiffern, Strahlen dort,
                                       Hier sei die Stelle, wo die Schiffe sinken,
                                       Und für das Elend nur sei hier ein Port.",1711,1987,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1842,1842,1842,TextGrid/-Faust.2.xml,"
                                       Eine Phiole ziehend.",0,60,stage_direction,5,31,speech_part,,,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1843,1843,1843,TextGrid/-Faust.2.xml,"
                                       Du, Lootse, führe mich zum Jenseitsstrande
                                       Rasch, auf gedankenschnellem Kahn!",0,156,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1844,1844,1844,TextGrid/-Faust.2.xml,"Hin zu der Wahrheit unentdecktem Lande,
                                       Sei's zur Vernichtung auch, wohlan!",196,310,character_speech,5,31,,FAUST,FAUST,1.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1845,1845,1845,TextGrid/-Faust.2.xml,"
                                       tritt auf.",0,50,stage_direction,5,31,speech_part,,,2.0,UNKNOWN,no_annotation,T,,1802.0,no_annotation,no_annotation
1846,1846,1846,TextGrid/-Faust.2.xml,"
                                       Kommt, theurer Herr, mir graut an diesem Orte,
                                       Der Böse fußt noch inner seiner Pforte;
                                       Kommt, Meister, folget mir hinaus,
                                       Hier wohnt der Hölle Graus.",0,306,character_speech,5,31,,WAGNER,WAGNER,2.0,UNKNOWN,fear,T,,1802.0,negative,emotions of anxiety
1847,1847,1847,TextGrid/-Faust.2.xml,"Ich kann mich des Entsetzens nicht entschlagen;
                                       Das ist kein Ort für euch,
                                       Es ist des Lügengeists Bereich;
                                       Für euch nur sorgend mocht' ich her mich wagen!",346,617,character_speech,5,31,,WAGNER,WAGNER,2.0,UNKNOWN,fear,T,,1802.0,negative,emotions of anxiety
1848,1848,1848,TextGrid/-Faust.2.xml,"Kommt in mein armes, aber sichres Haus:
                                       Ich dank' es Gott und redlichem Bemüh'n,
                                       Beginnt von neuem, zieht auf Gutes aus.",657,855,character_speech,5,31,,WAGNER,WAGNER,2.0,UNKNOWN,joy,T,,1802.0,positive,emotions of pleasure
1849,1849,1849,TextGrid/-Faust.2.xml,"Wer weiß, wo euch das Glück noch kann erblüh'n.",895,942,character_speech,5,31,,WAGNER,WAGNER,2.0,UNKNOWN,joy,T,,1802.0,positive,emotions of pleasure
1850,1850,1850,TextGrid/-Faust.2.xml,"Ich berg' indessen euch in eine Kammer
                                       Und trag' den Zoll euch meines Dankes ab;
                                       Ihr sollt euch selber wiederfinden und den Jammer
                                       Verwinden, den euch Gott zur Sühne gab.",982,1269,character_speech,5,31,,WAGNER,WAGNER,2.0,UNKNOWN,suffering,T,,1802.0,negative,emotions of suffering and empathy
1851,1851,1851,TextGrid/-Faust.2.xml,"Kommt, Herr, o macht mir diese Freude,
                                       Bei mir, bis bess're Zeit, zu weilen,
                                       Mein Stückchen Brot mit mir zu theilen
                                       Und zu genesen bald von jedem Leide!",1309,1578,character_speech,5,31,,WAGNER,WAGNER,2.0,UNKNOWN,joy,T,,1802.0,positive,emotions of pleasure
