,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,pre1_base_polarity,pre1_main_emotion_class
1699,1699,1699,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"Bilau, Grundmann, die Vorigen.",0,30,stage_direction,4,5,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1700,1700,1700,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"Später Käthe, noch später der Bauer Hans.",31,72,stage_direction,4,5,pre_speech,,,,,no_annotation,no_annotation,no_annotation
1701,1701,1701,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,eilig.,0,6,stage_direction,4,5,speech_part,,#bilau,994.0,MALE,no_annotation,no_annotation,no_annotation
1702,1702,1702,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"Frau Räthin, darf ich es glauben?",0,33,character_speech,4,5,,BILAU,#bilau,994.0,MALE,no_annotation,no_annotation,no_annotation
1703,1703,1703,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Hat mich der Junge nicht genarrt?,34,67,character_speech,4,5,,BILAU,#bilau,994.0,MALE,anger,negative,emotions of rejection
1704,1704,1704,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"Sie geben meinem
              Sohne Ihre Tochter?",68,118,character_speech,4,5,,BILAU,#bilau,994.0,MALE,no_annotation,no_annotation,no_annotation
1705,1705,1705,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Ja?,119,122,character_speech,4,5,,BILAU,#bilau,994.0,MALE,no_annotation,no_annotation,no_annotation
1706,1706,1706,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"– Antworten Sie nicht, es ist wahr, Freude strahlt aus aller
              Augen.",123,204,character_speech,4,5,,BILAU,#bilau,994.0,MALE,joy,positive,emotions of pleasure
1707,1707,1707,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"O ich glücklicher Vater, so werden endlich meine Wünsche erfüllt.",205,270,character_speech,4,5,,BILAU,#bilau,994.0,MALE,joy,positive,emotions of pleasure
1708,1708,1708,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"– Frau Räthin
              – Brautmutter – Schwiegermutter – Tochter – Sohn – Freund – kommt her, alle zu mir!",271,382,character_speech,4,5,,BILAU,#bilau,994.0,MALE,no_annotation,no_annotation,no_annotation
1709,1709,1709,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"–
              Ihr glaubt ihr seid glücklich?",383,429,character_speech,4,5,,BILAU,#bilau,994.0,MALE,no_annotation,no_annotation,no_annotation
1710,1710,1710,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Ich bin es mehr.,430,446,character_speech,4,5,,BILAU,#bilau,994.0,MALE,no_annotation,no_annotation,no_annotation
1711,1711,1711,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"Ihr fühlt nur für Euch,
              ich für Euch alle; Jahre lang habe ich mich nach diesem Augenblick gesehnt – er ist
              erlebt – er ist gekommen, Gott sei Dank, er ist gekommen!",447,640,character_speech,4,5,,BILAU,#bilau,994.0,MALE,joy,positive,emotions of pleasure
1712,1712,1712,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Vater!,0,6,character_speech,4,5,,FERDINAND.,#ferdinand,995.0,MALE,being moved,being moved,being moved
1713,1713,1713,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Diese Braut war doch werth –,7,35,character_speech,4,5,,FERDINAND.,#ferdinand,995.0,MALE,no_annotation,no_annotation,no_annotation
1714,1714,1714,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Stellt ihm Rosalie vor.,0,23,stage_direction,4,5,inner_speech,,#ferdinand,995.0,MALE,no_annotation,no_annotation,no_annotation
1715,1715,1715,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Daß Du auf sie gewartet.,0,24,character_speech,4,5,,BILAU.,#bilau,996.0,MALE,no_annotation,no_annotation,no_annotation
1716,1716,1716,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Dieses Mädchen verdient,0,23,character_speech,4,5,,LANGERS.,#langers,997.0,MALE,"admiration, reverence",positive,emotions of affection
1717,1717,1717,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Stellt ihm Julie vor.,0,21,stage_direction,4,5,inner_speech,,#langers,997.0,MALE,no_annotation,no_annotation,no_annotation
1718,1718,1718,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Den Himmel auf Erden.,0,21,character_speech,4,5,,BILAU.,#bilau,998.0,MALE,no_annotation,no_annotation,no_annotation
1719,1719,1719,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Sie finde ihn bei mir.,0,22,character_speech,4,5,,LANGERS.,#langers,999.0,MALE,no_annotation,no_annotation,no_annotation
1720,1720,1720,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Nun soll das Morgen ein Spektakel werden – zwei Hochzeiten.,0,59,character_speech,4,5,,BILAU.,#bilau,1000.0,MALE,joy,positive,emotions of pleasure
1721,1721,1721,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Muß gehorsamst erinnern – drei.,0,31,character_speech,4,5,,GRUNDMANN.,#grundmann,1001.0,MALE,no_annotation,no_annotation,no_annotation
1722,1722,1722,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Drei?,0,5,character_speech,4,5,,FERDINAND.,#ferdinand,1002.0,MALE,no_annotation,no_annotation,no_annotation
1723,1723,1723,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"Richtig – bald hätte ich vergessen, daß ich selbst Bräutigam bin.",0,65,character_speech,4,5,,BILAU.,#bilau,1003.0,MALE,no_annotation,no_annotation,no_annotation
1724,1724,1724,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"Vater, Sie wollten –",0,20,character_speech,4,5,,FERDINAND.,#ferdinand,1004.0,MALE,no_annotation,no_annotation,no_annotation
1725,1725,1725,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,Drei Hochzeiten feiern.,0,23,character_speech,4,5,,BILAU.,#bilau,1005.0,MALE,joy,positive,emotions of pleasure
1726,1726,1726,GerDracor/weissenthurn-welcher-ist-der-braeutigam.xml,"Sie sagten ja, wenn ich –",0,25,character_speech,4,5,,FERDINAND.,#ferdinand,1006.0,MALE,no_annotation,no_annotation,no_annotation
