,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
2749,GerDracor/iffland-figaro-in-deutschland.xml,123622,123639,–  Zu den andern.,negative,emotional movement,suffering
2750,GerDracor/iffland-figaro-in-deutschland.xml,123640,123648,bittend.,negative,emotions of suffering,suffering
2751,GerDracor/iffland-figaro-in-deutschland.xml,123649,123673,Ihre Excellenz – streng.,negative,emotions of rejection,anger
2752,GerDracor/iffland-figaro-in-deutschland.xml,123674,123738,"Bequemt Euch –  Da die Baronesse wegsieht, leise und freundlich.",negative,emotions of joy,suffering
2753,GerDracor/iffland-figaro-in-deutschland.xml,123739,123802,Mein Laufer hat an seiner Stelle bei Ihro Excellenz den Dienst.,positive,emotions of affection,admiration
2754,GerDracor/iffland-figaro-in-deutschland.xml,123803,123840,geht in des Grafen Hyazinth's Zimmer.,negative,emotional movement,emotional movement
2755,GerDracor/iffland-figaro-in-deutschland.xml,123841,123878,"Friedrich, Ludwig und Jakob gehen ab.",negative,emotions of rejection,suffering
2756,GerDracor/iffland-figaro-in-deutschland.xml,123879,123893,Graf Hyazinth.,emotional movement,emotions of rejection,emotional movement
2757,GerDracor/iffland-figaro-in-deutschland.xml,123894,123904,Baronesse.,positive,emotional movement,admiration
2758,GerDracor/iffland-figaro-in-deutschland.xml,123905,123917,etwas ernst.,emotional movement,emotional movement,emotional movement
2759,GerDracor/iffland-figaro-in-deutschland.xml,123919,123926,zornig.,negative,emotions of rejection,anger
2760,GerDracor/iffland-figaro-in-deutschland.xml,123928,123933,kalt.,negative,emotions of suffering,suffering
2761,GerDracor/iffland-figaro-in-deutschland.xml,123934,123949,Wozu den Sturm?,emotional movement,emotional movement,emotional movement
2762,GerDracor/iffland-figaro-in-deutschland.xml,123950,123989,– Sind Ihre Forderungen doch garantirt!,negative,emotions of joy,fear
2763,GerDracor/iffland-figaro-in-deutschland.xml,123990,124000,Garantirt?,emotional movement,emotions of fear,fear
2764,GerDracor/iffland-figaro-in-deutschland.xml,124001,124034,– Durch ein Papier – wenn's wäre!,negative,emotional movement,emotional movement
2765,GerDracor/iffland-figaro-in-deutschland.xml,124035,124072,Das Papier macht also meine Wohlthat?,emotional movement,emotions of rejection,emotional movement
2766,GerDracor/iffland-figaro-in-deutschland.xml,124073,124098,"–
              O Undank!",negative,emotions of suffering,anger
2767,GerDracor/iffland-figaro-in-deutschland.xml,124099,124118,– horribler Undank!,negative,emotions of rejection,anger
2768,GerDracor/iffland-figaro-in-deutschland.xml,124119,124131,– Garantirt?,negative,emotions of fear,fear
2769,GerDracor/iffland-figaro-in-deutschland.xml,124132,124216,"– Macht  Der Graf von Bardenrode hat – Nichts garantirt – nichts, nichts, Herr Graf!",negative,emotions of fear,fear
2770,GerDracor/iffland-figaro-in-deutschland.xml,124217,124260,– Wenn Sie mich nur zu Worte kommen ließen.,negative,emotions of rejection,emotional movement
2771,GerDracor/iffland-figaro-in-deutschland.xml,124261,124508,"– Ich kapire Sie wahrlich nicht,  Hüten Sie sich, daß ich mich bei den höchsten Reichsgerichten nicht verständlich
              mache – daß ich den Druck des Volkes – das Elend dieser armen Unterthanen dort nicht
              verständlich mache.",negative,emotions of suffering,suffering
2772,GerDracor/iffland-figaro-in-deutschland.xml,124509,124521,erschrocken.,emotional movement,emotions of fear,emotional movement
2773,GerDracor/iffland-figaro-in-deutschland.xml,124523,124594,"Daß ich nicht auf die Seite des Volkes, des Agnaten trete, Herr Vetter!",negative,emotions of rejection,suffering
2774,GerDracor/iffland-figaro-in-deutschland.xml,124595,124632,"– Hüten Sie
              sich davor!",negative,emotions of fear,fear
2775,GerDracor/iffland-figaro-in-deutschland.xml,124633,124701,– daß ich Herrn Greif – die Kreatur von heute – dort nicht entlarve.,negative,emotions of rejection,"hate, disgust"
2776,GerDracor/iffland-figaro-in-deutschland.xml,124702,124708,Greif?,emotional movement,emotional movement,emotional movement
2777,GerDracor/iffland-figaro-in-deutschland.xml,124709,124772,"– Er, der so  Zerrissen – Gestiftet – Zerrissen –  Mein Himmel!",negative,emotions of suffering,despair
2778,GerDracor/iffland-figaro-in-deutschland.xml,124773,124815,– Sie alteriren mich – in höchster Extase.,negative,emotional movement,suffering
2779,GerDracor/iffland-figaro-in-deutschland.xml,124816,124827,"Graf, Graf!",negative,emotions of rejection,emotional movement
2780,GerDracor/iffland-figaro-in-deutschland.xml,124828,125093,"– Wenn Sie auf Ruhe, jetzt und künftig – hie und dort – auf mich – mein
              Geld, und meine Liebe – auf Trost in Ihrer letzten Stunde Anspruch machen – so
              unterzeichnen Sie den Verhaftsbefehl, den ich im Nothfall gegen Greif gebrauchen will.",negative,emotions of fear,anger
2781,GerDracor/iffland-figaro-in-deutschland.xml,125108,125140,– Nicht einen Augenblick Verzug!,positive,emotions of fear,fear
2782,GerDracor/iffland-figaro-in-deutschland.xml,125141,125235,"Verhaft,  Wo nicht, so zieh' ich fort mit meiner Tochter, und trete auf die Seite des Agnaten.",negative,emotions of rejection,Schadenfreude
2783,GerDracor/iffland-figaro-in-deutschland.xml,125250,125264,– Herr Vetter!,emotional movement,emotional movement,emotional movement
2784,GerDracor/iffland-figaro-in-deutschland.xml,125265,125277,– ängstlich.,negative,emotions of fear,fear
2785,GerDracor/iffland-figaro-in-deutschland.xml,125279,125299,gibt ihm das Papier.,negative,emotions of rejection,anger
2786,GerDracor/iffland-figaro-in-deutschland.xml,125300,125314,unterschreibt.,negative,emotions of suffering,anger
2787,GerDracor/iffland-figaro-in-deutschland.xml,125315,125419,"Dann haben der Herr Bruder den Willner zum Rath in Dero Diensten – doch ohne Sold
              ernannt.",negative,emotions of rejection,admiration
2788,GerDracor/iffland-figaro-in-deutschland.xml,125420,125496,"Einem Manne, der doch so wesentlich der Menschheit dient, nicht einmal Sold?",negative,emotions of suffering,admiration
2789,GerDracor/iffland-figaro-in-deutschland.xml,125511,125588,"– Das wäre ja, wenn die Unterthanen klagen, ein Dokument zu unserm Nachtheil!",negative,emotions of rejection,anger
2790,GerDracor/iffland-figaro-in-deutschland.xml,125589,125672,"– Hier
              unterzeichnen Sie: vier hundert Gulden, und zwölf Malter Korn.",positive,emotions of affection,joy
2791,GerDracor/iffland-figaro-in-deutschland.xml,125673,125693,–  Er unterschreibt.,negative,emotional movement,anger
2792,GerDracor/iffland-figaro-in-deutschland.xml,125694,125712,Hernach – hernach!,negative,emotional movement,emotional movement
2793,GerDracor/iffland-figaro-in-deutschland.xml,125713,125749,– Ich habe jetzt wichtige Geschäfte.,emotional movement,emotional movement,joy
2794,GerDracor/iffland-figaro-in-deutschland.xml,125750,125868,"– Bleiben Sie mir treu, und
              denken bei allem, was ich Ihnen rathe, daß in mir das Blut der Boga schlage.",positive,emotions of affection,friendship
2795,GerDracor/iffland-figaro-in-deutschland.xml,125869,125876,Madame!,emotional movement,emotional movement,emotional movement
