,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
414,414,414,GerDracor/andre-der-comoedienfeind.xml,Cleant.,0,7,stage_direction,1,9,pre_speech,,,,,no_annotation,K,,1765.0,no_annotation,no_annotation
415,415,415,GerDracor/andre-der-comoedienfeind.xml,Sophia.,8,15,stage_direction,1,9,pre_speech,,,,,no_annotation,K,,1765.0,no_annotation,no_annotation
416,416,416,GerDracor/andre-der-comoedienfeind.xml,Die vorigen.,16,28,stage_direction,1,9,pre_speech,,,,,no_annotation,K,,1765.0,no_annotation,no_annotation
417,417,417,GerDracor/andre-der-comoedienfeind.xml,"(Nimmt Sophien und Cleanten bey der Hand, führt sie zum Damon und spricht zu
            ihnen:)",0,96,stage_direction,1,9,speech_part,,#arist,164.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
418,418,418,GerDracor/andre-der-comoedienfeind.xml,Er wird sich erweichen lassen.,0,30,character_speech,1,9,,Arist.,#arist,164.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
419,419,419,GerDracor/andre-der-comoedienfeind.xml,Ach liebster Herr Vater!,0,24,character_speech,1,9,,Sophia.,#sophia,165.0,FEMALE,love,K,,1765.0,positive,emotions of affection
420,420,420,GerDracor/andre-der-comoedienfeind.xml,Zu Ihren Füssen erwarte ich den Ausspruch über mein Leben.,0,58,character_speech,1,9,,Cleant.,#cleant,166.0,MALE,"admiration, reverence",K,,1765.0,positive,emotions of affection
421,421,421,GerDracor/andre-der-comoedienfeind.xml,Welche Unverschämtheit!,0,23,character_speech,1,9,,Oront.,#oront,167.0,MALE,anger,K,,1765.0,negative,emotions of rejection
422,422,422,GerDracor/andre-der-comoedienfeind.xml,(zum Damon.),0,12,stage_direction,1,9,speech_part,,#arist,168.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
423,423,423,GerDracor/andre-der-comoedienfeind.xml,Lassen Sie sich erweichen.,0,26,character_speech,1,9,,"Arist,",#arist,168.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
424,424,424,GerDracor/andre-der-comoedienfeind.xml,In meinem Hause!,0,16,character_speech,1,9,,Oront.,#oront,169.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
425,425,425,GerDracor/andre-der-comoedienfeind.xml,in meiner Gegenwart!,17,37,character_speech,1,9,,Oront.,#oront,169.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
426,426,426,GerDracor/andre-der-comoedienfeind.xml,Du bist eine ungezogene Tochter!,0,32,character_speech,1,9,,Damon.,#damon,170.0,MALE,anger,K,,1765.0,negative,emotions of rejection
427,427,427,GerDracor/andre-der-comoedienfeind.xml,"du verdienst die Ehre nicht, die dir Herr Oront
            erzeigen will.",33,107,character_speech,1,9,,Damon.,#damon,170.0,MALE,abhorrence,K,,1765.0,negative,emotions of rejection
428,428,428,GerDracor/andre-der-comoedienfeind.xml,Das ist wahr.,0,13,character_speech,1,9,,Oront.,#oront,171.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
429,429,429,GerDracor/andre-der-comoedienfeind.xml,Weg von mir!,0,12,character_speech,1,9,,Damon.,#damon,172.0,MALE,despair,K,,1765.0,negative,emotions of anxiety
430,430,430,GerDracor/andre-der-comoedienfeind.xml,Ach GOtt!,0,9,character_speech,1,9,,Cleant.,#cleant,173.0,MALE,fear,K,,1765.0,negative,emotions of anxiety
431,431,431,GerDracor/andre-der-comoedienfeind.xml,(Sophia sinkt ohnmächtig zurück.),0,33,stage_direction,1,9,speech_part,,#cleant,173.0,MALE,suffering,K,,1765.0,negative,emotions of suffering and empathy
432,432,432,GerDracor/andre-der-comoedienfeind.xml,"(siehts, erschrickt, umfahet sie, und ruft:)",0,44,stage_direction,1,9,speech_part,,#cleant,174.0,MALE,being moved,K,,1765.0,being moved,being moved
433,433,433,GerDracor/andre-der-comoedienfeind.xml,Sie stirbt!,0,11,character_speech,1,9,,Cleant,#cleant,174.0,MALE,despair,K,,1765.0,negative,emotions of anxiety
434,434,434,GerDracor/andre-der-comoedienfeind.xml,"(will sie aufheben, seine Kräfte sind nicht darzu hinreichend, er sagt zum
            Cleant:)",0,95,stage_direction,1,9,speech_part,,#arist,175.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
435,435,435,GerDracor/andre-der-comoedienfeind.xml,Lassen Sie sie los; helfen sie mir.,0,35,character_speech,1,9,,Arist,#arist,175.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
436,436,436,GerDracor/andre-der-comoedienfeind.xml,"(springt eiligst auf, umfaßt seine Geliebte, hebt sie von der Erde auf und
            sagt:)",0,93,stage_direction,1,9,speech_part,,#cleant,176.0,MALE,love,K,,1765.0,positive,emotions of affection
437,437,437,GerDracor/andre-der-comoedienfeind.xml,Ich lasse sie nicht.,0,20,character_speech,1,9,,Cleant,#cleant,176.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
438,438,438,GerDracor/andre-der-comoedienfeind.xml,"(Arist und Cleant bringen Sophia auf einen Stuhl; während welcher Zeit sie sich von
            ihrer Ohnmacht erhohlt.",0,119,stage_direction,1,9,speech_part,,#cleant,176.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
439,439,439,GerDracor/andre-der-comoedienfeind.xml,Damon will zu seiner Tochter.,120,149,stage_direction,1,9,speech_part,,#cleant,176.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
440,440,440,GerDracor/andre-der-comoedienfeind.xml,spricht zu ihm:),0,16,stage_direction,1,9,speech_part,,#oront,177.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
441,441,441,GerDracor/andre-der-comoedienfeind.xml,Das hat nichts zu bedeuten; sie wird sich schon wieder erhohlen: hören Sie mir zu.,0,82,character_speech,1,9,,Oront,#oront,177.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
442,442,442,GerDracor/andre-der-comoedienfeind.xml,(Er durchblättert seine Predigt.),0,33,stage_direction,1,9,speech_part,,#oront,177.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
443,443,443,GerDracor/andre-der-comoedienfeind.xml,"(zu ihrem Vater, mit einer schwachen Stimme.)",0,45,stage_direction,1,9,speech_part,,#sophia,178.0,FEMALE,no_annotation,K,,1765.0,no_annotation,no_annotation
444,444,444,GerDracor/andre-der-comoedienfeind.xml,Zürnen Sie nicht über Ihre Tochter.,0,35,character_speech,1,9,,Sophia,#sophia,178.0,FEMALE,anger,K,,1765.0,negative,emotions of rejection
445,445,445,GerDracor/andre-der-comoedienfeind.xml,Ihr Zorn tödtet mich.,36,57,character_speech,1,9,,Sophia,#sophia,178.0,FEMALE,anger,K,,1765.0,negative,emotions of rejection
446,446,446,GerDracor/andre-der-comoedienfeind.xml,"Stosen Sie mich nicht von
            sich.",58,101,character_speech,1,9,,Sophia,#sophia,178.0,FEMALE,no_annotation,K,,1765.0,no_annotation,no_annotation
447,447,447,GerDracor/andre-der-comoedienfeind.xml,Ich verlange nur ledig und bey Ihnen zu bleiben!,102,150,character_speech,1,9,,Sophia,#sophia,178.0,FEMALE,love,K,,1765.0,positive,emotions of affection
448,448,448,GerDracor/andre-der-comoedienfeind.xml,Ach!,151,155,character_speech,1,9,,Sophia,#sophia,178.0,FEMALE,suffering,K,,1765.0,negative,emotions of suffering and empathy
449,449,449,GerDracor/andre-der-comoedienfeind.xml,Ha Barbar!,0,10,character_speech,1,9,,Cleant.,#cleant,179.0,MALE,abhorrence,K,,1765.0,negative,emotions of rejection
450,450,450,GerDracor/andre-der-comoedienfeind.xml,"(In Damons Herzen streitet die väterliche Liebe mit der Geldbegierde, er steht
            unentschlossen da.)",0,110,stage_direction,1,9,speech_part,,#cleant,179.0,MALE,being moved,K,,1765.0,being moved,being moved
451,451,451,GerDracor/andre-der-comoedienfeind.xml,"(welcher meynt, Damon merke auf ihn, spricht:)",0,46,stage_direction,1,9,speech_part,,#oront,180.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
452,452,452,GerDracor/andre-der-comoedienfeind.xml,"Hier ist eine Stelle, die mir besonders wohl gefällt; geben sie wohl acht.",0,74,character_speech,1,9,,Oront,#oront,180.0,MALE,joy,K,,1765.0,positive,emotions of pleasure
453,453,453,GerDracor/andre-der-comoedienfeind.xml,"(Er
              lieset.)",0,26,stage_direction,1,9,inner_speech,,#oront,180.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
454,454,454,GerDracor/andre-der-comoedienfeind.xml, O ihr verstockten Zuhörer!,0,27,character_speech,1,9,,Oront,#oront,180.0,MALE,suffering,K,,1765.0,negative,emotions of suffering and empathy
455,455,455,GerDracor/andre-der-comoedienfeind.xml,sehet ihr nicht täglich Leute sterben?,28,66,character_speech,1,9,,Oront,#oront,180.0,MALE,suffering,K,,1765.0,negative,emotions of suffering and empathy
456,456,456,GerDracor/andre-der-comoedienfeind.xml,Hört ihr nicht daß der Berg Vesuvius noch immer Feuer speiet?,79,140,character_speech,1,9,,Oront,#oront,180.0,MALE,being moved,K,,1765.0,being moved,being moved
457,457,457,GerDracor/andre-der-comoedienfeind.xml,"Sagt euch die Zeitung
            nicht, daß die Pest wieder in Constantinopel herrschet?",141,230,character_speech,1,9,,Oront,#oront,180.0,MALE,suffering,K,,1765.0,negative,emotions of suffering and empathy
458,458,458,GerDracor/andre-der-comoedienfeind.xml,"Vernehmet ihr nicht oft, daß
            Sturm auf dem Meere gewesen ist?",231,304,character_speech,1,9,,Oront,#oront,180.0,MALE,no_annotation,K,,1765.0,no_annotation,no_annotation
