,Unnamed: 0,Unnamed: 0.1,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
2901,2901,2901,GerDracor/lessing-emilia-galotti.xml,Der Prinz.,0,10,stage_direction,5,8,pre_speech,,,,,no_annotation,T,,1772.0,no_annotation,no_annotation
2902,2902,2902,GerDracor/lessing-emilia-galotti.xml,Marinelli.,11,21,stage_direction,5,8,pre_speech,,,,,no_annotation,T,,1772.0,no_annotation,no_annotation
2903,2903,2903,GerDracor/lessing-emilia-galotti.xml,Die Vorigen.,22,34,stage_direction,5,8,pre_speech,,,,,no_annotation,T,,1772.0,no_annotation,no_annotation
2904,2904,2904,GerDracor/lessing-emilia-galotti.xml,im Hereintreten.,0,16,stage_direction,5,8,speech_part,,#der_prinz,825.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2905,2905,2905,GerDracor/lessing-emilia-galotti.xml,Was ist das?,0,12,character_speech,5,8,,DER PRINZ,#der_prinz,825.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2906,2906,2906,GerDracor/lessing-emilia-galotti.xml,– Ist Emilien nicht wohl?,13,38,character_speech,5,8,,DER PRINZ,#der_prinz,825.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2907,2907,2907,GerDracor/lessing-emilia-galotti.xml,Sehr wohl; sehr wohl!,0,21,character_speech,5,8,,ODOARDO.,#odoardo,826.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2908,2908,2908,GerDracor/lessing-emilia-galotti.xml,indem er näher kömmt.,0,21,stage_direction,5,8,speech_part,,#der_prinz,827.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2909,2909,2909,GerDracor/lessing-emilia-galotti.xml,Was seh' ich?,0,13,character_speech,5,8,,DER PRINZ,#der_prinz,827.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2910,2910,2910,GerDracor/lessing-emilia-galotti.xml,– Entsetzen!,14,26,character_speech,5,8,,DER PRINZ,#der_prinz,827.0,MALE,being moved,T,,1772.0,being moved,being moved
2911,2911,2911,GerDracor/lessing-emilia-galotti.xml,Weh mir!,0,8,character_speech,5,8,,MARINELLI.,#marinelli,828.0,MALE,suffering,T,,1772.0,negative,emotions of suffering and empathy
2912,2912,2912,GerDracor/lessing-emilia-galotti.xml,"Grausamer Vater, was haben Sie getan?",0,37,character_speech,5,8,,DER PRINZ.,#der_prinz,829.0,MALE,suffering,T,,1772.0,negative,emotions of suffering and empathy
2913,2913,2913,GerDracor/lessing-emilia-galotti.xml,"Eine Rose gebrochen, ehe der Sturm sie entblättert.",0,51,character_speech,5,8,,ODOARDO.,#odoardo,830.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2914,2914,2914,GerDracor/lessing-emilia-galotti.xml,"– War es nicht so, meine
              Tochter?",52,99,character_speech,5,8,,ODOARDO.,#odoardo,830.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2915,2915,2915,GerDracor/lessing-emilia-galotti.xml,"Nicht Sie, mein Vater – Ich selbst – ich selbst –",0,49,character_speech,5,8,,EMILIA.,#emilia,831.0,FEMALE,love,T,,1772.0,positive,emotions of affection
2916,2916,2916,GerDracor/lessing-emilia-galotti.xml,"Nicht du, meine Tochter; – nicht du!",0,36,character_speech,5,8,,ODOARDO.,#odoardo,832.0,MALE,despair,T,,1772.0,negative,emotions of anxiety
2917,2917,2917,GerDracor/lessing-emilia-galotti.xml,– Gehe mit keiner Unwahrheit aus der Welt.,37,79,character_speech,5,8,,ODOARDO.,#odoardo,832.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2918,2918,2918,GerDracor/lessing-emilia-galotti.xml,"Nicht
              du, meine Tochter!",80,118,character_speech,5,8,,ODOARDO.,#odoardo,832.0,MALE,no_annotation,T,,1772.0,no_annotation,no_annotation
2919,2919,2919,GerDracor/lessing-emilia-galotti.xml,"Dein Vater, dein unglücklicher Vater!",119,156,character_speech,5,8,,ODOARDO.,#odoardo,832.0,MALE,suffering,T,,1772.0,negative,emotions of suffering and empathy
2920,2920,2920,GerDracor/lessing-emilia-galotti.xml,Ah – mein Vater –,0,17,character_speech,5,8,,EMILIA.,#emilia,833.0,FEMALE,no_annotation,T,,1772.0,no_annotation,no_annotation
