,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,TextGrid/-Koenig_Wentzel.xml,"
                                    Wentzel.",0,45,stage_direction,1,1,pre_speech,,,,,no_annotation,TK,,1642.0,no_annotation,no_annotation
1,1,TextGrid/-Koenig_Wentzel.xml,"Rudolf, ein junger Graff.",46,71,stage_direction,1,1,pre_speech,,,,,no_annotation,TK,,1642.0,no_annotation,no_annotation
2,2,TextGrid/-Koenig_Wentzel.xml, Ich habs gesagt.,0,17,character_speech,1,1,,WENTZEL.,WENTZEL.,1.0,UNKNOWN,no_annotation,TK,,1642.0,no_annotation,no_annotation
3,3,TextGrid/-Koenig_Wentzel.xml, Ich habs noch nicht verstanden.,0,32,character_speech,1,1,,RUDOLF.,RUDOLF.,2.0,UNKNOWN,no_annotation,TK,,1642.0,no_annotation,no_annotation
4,4,TextGrid/-Koenig_Wentzel.xml, So sagt es selber.,0,19,character_speech,1,1,,WENTZEL.,WENTZEL.,3.0,UNKNOWN,no_annotation,TK,,1642.0,no_annotation,no_annotation
5,5,TextGrid/-Koenig_Wentzel.xml, Ich habe einem Könige nichts vorzuschreiben.,0,45,character_speech,1,1,,RUDOLF.,RUDOLF.,4.0,UNKNOWN,no_annotation,TK,,1642.0,no_annotation,no_annotation
6,6,TextGrid/-Koenig_Wentzel.xml, Ich will es haben / und ich bitte drum.,0,40,character_speech,1,1,,WENTZEL.,WENTZEL.,5.0,UNKNOWN,no_annotation,TK,,1642.0,no_annotation,no_annotation
7,7,TextGrid/-Koenig_Wentzel.xml, Es ist mir unmöglich.,0,22,character_speech,1,1,,RUDOLF.,RUDOLF.,6.0,UNKNOWN,no_annotation,TK,,1642.0,no_annotation,no_annotation
8,8,TextGrid/-Koenig_Wentzel.xml,Denn wofern ich an diesem Königlichen Hofe als ein geringer Bedienter leben soll / so darff ich mir keine andre QUALItät nehmen / als welche nur von meinem gnädigsten Herren zugeleget wird.,23,212,character_speech,1,1,,RUDOLF.,RUDOLF.,6.0,UNKNOWN,"admiration, reverence",TK,,1642.0,positive,emotions of affection
9,9,TextGrid/-Koenig_Wentzel.xml, Wolan / so will ich meine Gedancken sagen.,0,43,character_speech,1,1,,WENTZEL.,WENTZEL.,7.0,UNKNOWN,joy,TK,,1642.0,positive,emotions of pleasure
10,10,TextGrid/-Koenig_Wentzel.xml,Ist die Ehre gut genung / wenn ich euch meinen Freund heisse?,44,105,character_speech,1,1,,WENTZEL.,WENTZEL.,7.0,UNKNOWN,friendship,TK,,1642.0,positive,emotions of affection
11,11,TextGrid/-Koenig_Wentzel.xml, Ein geringer Diener muß sich vor so einem Titul schämen.,0,57,character_speech,1,1,,RUDOLF.,RUDOLF.,8.0,UNKNOWN,"admiration, reverence",TK,,1642.0,positive,emotions of affection
12,12,TextGrid/-Koenig_Wentzel.xml, Und wer den Titul verdienet / der soll ihn auch behalten.,0,58,character_speech,1,1,,WENTZEL.,WENTZEL.,9.0,UNKNOWN,"admiration, reverence",TK,,1642.0,positive,emotions of affection
13,13,TextGrid/-Koenig_Wentzel.xml,Sehet hier ist meine Hand / daß ihr mein Freund seyd.,59,112,character_speech,1,1,,WENTZEL.,WENTZEL.,9.0,UNKNOWN,friendship,TK,,1642.0,positive,emotions of affection
