,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
1395,GerDracor/goethe-die-natuerliche-tochter.xml,97995,98036,"Gehorch' ich, wider Willen, diesmal auch!",negative,emotions of rejection,anger
1396,GerDracor/goethe-die-natuerliche-tochter.xml,98037,98144,"Fluchwürdige Gewalt der Stimme, die  Die meines ersten bildsamen Gefühls Im ganzen Umfang sich bemeisterte!",negative,emotions of rejection,"hate, disgust"
1397,GerDracor/goethe-die-natuerliche-tochter.xml,98145,98309,"Du warst es, der ich dieser Worte Sinn Zuerst verdanke, dieser Sprache Kraft Und künstliche Verknüpfung; diese Welt Hab' ich aus deinem Munde, ja, mein eignes Herz.",positive,emotions of affection,love
1398,GerDracor/goethe-die-natuerliche-tochter.xml,98310,98489,"Nun brauchst du diesen Zauber gegen mich, Du fesselst mich, du schleppst mich hin und wider, Mein Geist verwirrt sich, mein Gefühl ermattet, Und zu den Toten sehn' ich mich hinab.",negative,emotions of suffering,suffering
1399,GerDracor/goethe-die-natuerliche-tochter.xml,98490,98602,"O hätte diese Zauberkraft gewirkt, Als ich dich dringend, flehentlich gebeten, Von jenen hohen Planen abzustehn!",negative,emotions of rejection,suffering
1400,GerDracor/goethe-die-natuerliche-tochter.xml,98603,98678,Du ahnetest solch ungeheures Übel Und warntest nicht den allzu sichern Mut?,negative,emotions of fear,fear
1401,GerDracor/goethe-die-natuerliche-tochter.xml,98679,98755,"Wohl durft' ich warnen, aber leise nur Die ausgesprochne Silbe trug den Tod.",negative,emotions of fear,despair
1402,GerDracor/goethe-die-natuerliche-tochter.xml,98756,98799,Und hinter deinem Schweigen lag Verbannung!,negative,emotions of rejection,"hate, disgust"
1403,GerDracor/goethe-die-natuerliche-tochter.xml,98800,98838,"Ein Todeswort, willkommner war es mir.",negative,emotions of suffering,suffering
1404,GerDracor/goethe-die-natuerliche-tochter.xml,98839,98924,"Dies Unglück, vorgesehen oder nicht, Hat mich und dich in gleiches Netz verschlungen.",negative,emotions of suffering,suffering
1405,GerDracor/goethe-die-natuerliche-tochter.xml,98925,99008,"Was kann ich wissen, welch ein Lohn dir wird, Um deinen armen Zögling zu verderben.",negative,emotions of suffering,"hate, disgust"
1406,GerDracor/goethe-die-natuerliche-tochter.xml,99009,99048,Er wartet wohl am fremden Strande mein!,negative,emotions of rejection,suffering
1407,GerDracor/goethe-die-natuerliche-tochter.xml,99049,99092,Das Segel schwillt und fahrt uns beide hin.,positive,emotions of suffering,joy
1408,GerDracor/goethe-die-natuerliche-tochter.xml,99093,99152,Noch hat das Schiff in seine Kerker nicht Mich aufgenommen.,negative,emotions of suffering,suffering
1409,GerDracor/goethe-die-natuerliche-tochter.xml,99153,99176,Sollt' ich willig gehn?,positive,emotions of affection,Schadenfreude
1410,GerDracor/goethe-die-natuerliche-tochter.xml,99177,99222,Und riefst du nicht das Volk zur Hilfe schon?,negative,emotional movement,fear
1411,GerDracor/goethe-die-natuerliche-tochter.xml,99223,99267,Es staunte nur dich an und schwieg und ging.,emotional movement,emotional movement,emotional movement
1412,GerDracor/goethe-die-natuerliche-tochter.xml,99268,99348,"Mit ungeheurer Not im Kampfe, schien Ich dem gemeinen Blick des Wahnsinns Beute.",negative,emotions of suffering,suffering
1413,GerDracor/goethe-die-natuerliche-tochter.xml,99349,99439,"Doch sollst du mir mit Worten, mit Gewalt Den mut'gen Schritt nach Hilfe nicht verkümmern.",negative,emotions of fear,fear
1414,GerDracor/goethe-die-natuerliche-tochter.xml,99440,99590,"Die Ersten dieser Stadt erheben sich Aus ihren Häusern dem Gestade zu, Die Schiffe zu bewundern, die gereiht, Uns unerwünscht, das hohe Meer gewinnen.",positive,emotions of joy,admiration
1415,GerDracor/goethe-die-natuerliche-tochter.xml,99592,99602,Die Wache.,negative,emotions of fear,anger
1416,GerDracor/goethe-die-natuerliche-tochter.xml,99603,99670,"Jener ist es, der die Stufen, Von mehreren begleitet, niedersteigt.",negative,emotions of fear,admiration
1417,GerDracor/goethe-die-natuerliche-tochter.xml,99671,99716,"Ich will ihn sprechen, ihm den Fall erzählen!",negative,emotions of fear,anger
1418,GerDracor/goethe-die-natuerliche-tochter.xml,99717,99839,"Und ist er wert, an meines Königs Platz Den wichtigsten Geschäften vorzustehn, So weist er mich nicht unerhört von hinnen.",positive,emotions of rejection,admiration
1419,GerDracor/goethe-die-natuerliche-tochter.xml,99840,99925,"Ich hindre dich an diesem Schritte nicht, Doch nennst du keinen Namen, nur die Sache.",negative,emotions of rejection,anger
1420,GerDracor/goethe-die-natuerliche-tochter.xml,99926,99966,"Den Namen nicht, bis ich vertrauen darf.",negative,emotions of affection,anger
1421,GerDracor/goethe-die-natuerliche-tochter.xml,99967,100047,"Es ist ein edler junger Mann und wird, Was er vermag, mit Anstand gern gewähren.",positive,emotions of affection,admiration
1422,GerDracor/goethe-die-natuerliche-tochter.xml,100048,100060,Die Vorigen.,positive,emotions of rejection,emotional movement
1423,GerDracor/goethe-die-natuerliche-tochter.xml,100061,100076,Der Gouverneur.,negative,emotional movement,emotional movement
1424,GerDracor/goethe-die-natuerliche-tochter.xml,100077,100088,Adjutanten.,positive,emotions of affection,anger
1425,GerDracor/goethe-die-natuerliche-tochter.xml,100089,100132,"Dir in den Weg zu treten, darf ich's wagen?",negative,emotions of rejection,anger
1426,GerDracor/goethe-die-natuerliche-tochter.xml,100133,100175,Wirst du der kühnen Fremden auch verzeihn?,positive,emotions of affection,emotional movement
1427,GerDracor/goethe-die-natuerliche-tochter.xml,100176,100213,nachdem er sie aufmerksam betrachtet.,emotional movement,emotional movement,emotional movement
1428,GerDracor/goethe-die-natuerliche-tochter.xml,100214,100302,"Wer sich, wie du, dem ersten Blick empfiehlt, Der ist gewiß des freundlichsten Empfangs.",positive,emotions of affection,joy
1429,GerDracor/goethe-die-natuerliche-tochter.xml,100303,100394,"Nicht froh und freundlich ist es, was ich bringe, Entgegen treibt mich dir die höchste Not.",negative,emotions of suffering,suffering
1430,GerDracor/goethe-die-natuerliche-tochter.xml,100395,100487,"Ist, sie zu heben, möglich, sei mir's Pflicht; Ist sie auch nur zu lindern, soll's geschehn.",positive,emotions of suffering,suffering
1431,GerDracor/goethe-die-natuerliche-tochter.xml,100488,100563,Von hohem Haus entsproß die Bittende; Doch leider ohne Namen tritt sie auf.,negative,emotions of suffering,suffering
1432,GerDracor/goethe-die-natuerliche-tochter.xml,100564,100652,Ein Name wird vergessen; dem Gedächtnis Schreibt solch ein Bild sich unauslöschlich ein.,negative,emotions of suffering,suffering
1433,GerDracor/goethe-die-natuerliche-tochter.xml,100653,100737,"Gewalt und List entreißen, führen, drängen Mich von des Vaters Brust ans wilde Meer.",negative,emotions of fear,despair
1434,GerDracor/goethe-die-natuerliche-tochter.xml,100738,100816,Wer durfte sich an diesem Friedensbild Mit ungeweihter Feindeshand vergreifen?,positive,emotions of affection,friendship
1435,GerDracor/goethe-die-natuerliche-tochter.xml,100817,100840,Ich selbst vermute nur!,negative,emotions of fear,fear
1436,GerDracor/goethe-die-natuerliche-tochter.xml,100841,100895,Mich überrascht Aus meinem eignen Hause dieser Schlag.,emotional movement,emotional movement,emotional movement
1437,GerDracor/goethe-die-natuerliche-tochter.xml,100896,101013,"Von Eigennutz und bösem Rat geleitet, Sann mir ein Bruder dies Verderben aus,  Mir unbegreiflich, meinen Feinden bei.",negative,emotions of rejection,"hate, disgust"
1438,GerDracor/goethe-die-natuerliche-tochter.xml,101014,101096,"Ihr steh' ich bei und mildre großes Übel, Das ich zu heilen, leider, nicht vermag.",negative,emotions of suffering,friendship
1439,GerDracor/goethe-die-natuerliche-tochter.xml,101097,101138,"Ich soll zu Schiffe steigen, fordert sie!",negative,emotions of rejection,anger
1440,GerDracor/goethe-die-natuerliche-tochter.xml,101139,101179,Nach jenen Ufern führt sie mich hinüber!,positive,emotions of joy,suffering
1441,GerDracor/goethe-die-natuerliche-tochter.xml,101180,101258,"Geb' ich auf solchem Weg ihr das Geleit, So zeigt es Liebe, Muttersorgfalt an.",positive,emotions of affection,love
1442,GerDracor/goethe-die-natuerliche-tochter.xml,101259,101425,"Verzeiht, geschätzte Frauen, wenn ein Mann, Der, jung an Jahren, manches in der Welt Gesehn und überlegt, im Augenblick, Da er euch sieht und hört, bedenklich stutzt.",emotional movement,emotional movement,admiration
1443,GerDracor/goethe-die-natuerliche-tochter.xml,101426,101533,"Vertrauen scheint ihr beide zu verdienen, Und ihr mißtraut einander beide selbst, So scheint es wenigstens.",negative,emotions of rejection,anger
