,Unnamed: 0,file,text,start,end,type,act,scene,sd_subtype,speaker,speaker_id,speech_number,gender,pre1_tag_type,genre,subgenre,date,pre1_base_polarity,pre1_main_emotion_class
0,0,GerDracor/goethe-des-epimenides-erwachen.xml,Ein prächtiger Säulenhof; im Grunde ein tempelähnliches Wohngebäude.,0,68,stage_direction,1,0,pre_scene,,,,,no_annotation,S,,1815.0,no_annotation,no_annotation
1,1,GerDracor/goethe-des-epimenides-erwachen.xml,"zwei Genien, der eine an einem Thyrsus Leier, Masken, geschriebene Rolle
              trophäenartig tragend, der andere einen Sternenkreis um sich her.",0,152,stage_direction,1,1,speech_part,,#die_muse,1.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
2,2,GerDracor/goethe-des-epimenides-erwachen.xml,"
              In tiefe Sklaverei lag ich gebunden,
              Und mir gefiel der Starrheit Eigensinn;
              Ein jedes Licht der Freiheit war verschwunden,
              Die Fesseln selbst, sie schienen mir Gewinn:
              Da nahte sich, in holden Frühlingsstunden,
              Ein Glanzbild; gleich entzückt – so wie ich bin –
              Seh' ich es weit und breiter sich entfalten,
              Und rings umher ist keine Spur des Alten.",0,461,character_speech,1,1,,DIE MUSE,#die_muse,1.0,UNKNOWN,joy,S,,1815.0,positive,emotions of pleasure
3,3,GerDracor/goethe-des-epimenides-erwachen.xml,"
               Die Fesseln fallen ab von Händ' und Füßen,
              Wie Schuppen fällt's herab vom starren Blick,
              Und eine Träne, von den liebesüßen,
              Zum ersten Mal sie kehrt ins Aug' zurück;
              Sie fließt – ihr nach die Götterschwestern fließen,
              Das Herz empfindet längst entwohntes Glück,
              Und mir erscheint, was mich bisher gemieden,
              Ganz ohne Kampf, der reine Seelenfrieden.",0,463,character_speech,1,1,,DIE MUSE,#die_muse,1.0,UNKNOWN,love,S,,1815.0,positive,emotions of affection
4,4,GerDracor/goethe-des-epimenides-erwachen.xml,"
              Und mir entgegnet, was mich sonst entzückte:
              Der Leier Klang, der Töne süßes Licht
              Und, was mich schnell der Wirklichkeit entrückte,
              Bald ernst, bald frohgemut, ein Kunstgesicht;
              Und das den Pergamenten Aufgedrückte,
              Ein unergründlich schweres Leichtgewicht;
              Der Sterne Kreis erhebt den Blick nach oben,
              Und alle wollen nur das Eine loben.",0,452,character_speech,1,1,,DIE MUSE,#die_muse,1.0,UNKNOWN,joy,S,,1815.0,positive,emotions of pleasure
5,5,GerDracor/goethe-des-epimenides-erwachen.xml,"
              Und Glück und Unglück tragen so sich besser,
              Die eine Schale sinkt, die andre steigt,
              Das Unglück mindert sich, das Glück wird größer,
              So auf den Schultern trägt man beide leicht!",0,236,character_speech,1,1,,DIE MUSE,#die_muse,1.0,UNKNOWN,joy,S,,1815.0,positive,emotions of pleasure
6,6,GerDracor/goethe-des-epimenides-erwachen.xml,"Da leere das Geschick die beiden Fässer,
              Der Segen trifft, wenn Fluch uns nie erreicht;
              Wir sind für stets dem guten Geist zuteile,
              Der böse selbst, er wirkt zu unserm Heile.",251,467,character_speech,1,1,,DIE MUSE,#die_muse,1.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
7,7,GerDracor/goethe-des-epimenides-erwachen.xml,"
              So ging es mir!",0,30,character_speech,1,1,,DIE MUSE,#die_muse,1.0,UNKNOWN,suffering,S,,1815.0,negative,emotions of suffering and empathy
8,8,GerDracor/goethe-des-epimenides-erwachen.xml,"Mög' es euch so ergehen,
              Daß aller Haß sich augenblicks entfernte
              Und, wo wir noch ein dunkles Wölkchen sehen.",31,169,character_speech,1,1,,DIE MUSE,#die_muse,1.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
9,9,GerDracor/goethe-des-epimenides-erwachen.xml,"Sich alsobald der Himmel übersternte,
              Es tausendfach erglänzte von den Höhen
              Und alle Welt von uns die Eintracht lernte;
              Und so genießt das höchste Glück hienieden:
              Nach hartem äußern Kampf den innern Frieden.",184,449,character_speech,1,1,,DIE MUSE,#die_muse,1.0,UNKNOWN,joy,S,,1815.0,positive,emotions of pleasure
10,10,GerDracor/goethe-des-epimenides-erwachen.xml,"Die Muse bewegt sich, als wenn sie abgehen wollte; die Kinder ziehen voran und
              sind schon in der Kulisse, sie aber ist noch auf dem Theater, wenn Epimenides
              erscheint; dann spricht sie folgende Stanze, geht ab, und jener kommt die Stufen
              herab.",0,286,stage_direction,1,1,speech_part,,#die_muse,1.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
11,11,GerDracor/goethe-des-epimenides-erwachen.xml,"
              Und diesen lass' ich euch an meiner Stelle,
              Der, früher schon geheimnisvoll belehrt,
              Als Mann der Weisheit unversiegter Quelle
              Und ihrem Schaun sich treulich zugekehrt,
              Nun freigesinnt, beinah zur Götterhelle
              Die wunderbarsten Bilder euch erklärt;
              Doch laßt vorher die wildesten Gestalten
              In eigensinn'ger Kraft zerstörend walten.",0,443,character_speech,1,1,,MUSE.,#die_muse,2.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
12,12,GerDracor/goethe-des-epimenides-erwachen.xml,Ab.,0,3,stage_direction,1,1,speech_part,,#die_muse,2.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
13,13,GerDracor/goethe-des-epimenides-erwachen.xml,"
              Uralten Waldes majestätische Kronen,
              Schroffglatter Felsenwände Spiegelflächen
              Im Schein der Abendsonne zu betrachten –
              Erreget Geist und Herz zu der Natur
              Erhabnen Gipfeln, ja zu Gott hinan.",0,262,character_speech,1,2,,EPIMENIDES.,#epimenides,3.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
14,14,GerDracor/goethe-des-epimenides-erwachen.xml,"Auch schau' ich gern der Menschenhände Werk,
              Woher des Meisters Hochgedanke strahlt;
              Und dieser Pfeiler, dieser Säulen Pracht
              Umwandl' ich sinnend, wo sich alles fügte,
              Wo alles trägt und alles wird getragen!",277,541,character_speech,1,2,,EPIMENIDES.,#epimenides,3.0,MALE,"admiration, reverence",S,,1815.0,positive,emotions of affection
15,15,GerDracor/goethe-des-epimenides-erwachen.xml,"So freut mich auch, zu sehn ein edles Volk
              Mit seinem Herrscher, die im Einklang sich
              Zusammenwirkend fügen, für den Tag,
              Ja für Jahrhunderte, wenn es gelingt.",556,757,character_speech,1,2,,EPIMENIDES.,#epimenides,3.0,MALE,joy,S,,1815.0,positive,emotions of pleasure
16,16,GerDracor/goethe-des-epimenides-erwachen.xml,"Und so begrüß' ich froh die Morgensonne,
              Begrüße gleicherweis' die scheidende.",772,864,character_speech,1,2,,EPIMENIDES.,#epimenides,3.0,MALE,joy,S,,1815.0,positive,emotions of pleasure
17,17,GerDracor/goethe-des-epimenides-erwachen.xml,"Dann wend' ich meinen Blick den Sternen zu,
              Und dort wie hier ist Einklang der Bewegung.",879,981,character_speech,1,2,,EPIMENIDES.,#epimenides,3.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
18,18,GerDracor/goethe-des-epimenides-erwachen.xml,"Der Jugend Nachtgefährt' ist Leidenschaft,
              Ein wildes Feuer leuchtet ihrem Pfad;
              Der Greis hingegen wacht mit hellem Sinn,
              Und sein Gemüt verschließt das Ewige.",996,1198,character_speech,1,2,,EPIMENIDES.,#epimenides,3.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
19,19,GerDracor/goethe-des-epimenides-erwachen.xml,treten rasch auf und stellen sich ihm zu beiden Seiten.,0,55,stage_direction,1,3,speech_part,,#erster_genius #zweiter_genius,4.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
20,20,GerDracor/goethe-des-epimenides-erwachen.xml,"
              Wandelt der Mond und bewegt sich der Stern,
              Junge wie Alte, sie schlafen so gern;
               Leuchtet die Sonne nach löblichem Brauch,
              Junge wie Alte, sie schlafen wohl auch.",0,221,character_speech,1,3,,GENIEN,#erster_genius #zweiter_genius,4.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
21,21,GerDracor/goethe-des-epimenides-erwachen.xml,"
              Ein heitres Lied, ihr Kinder; doch voll Sinn.",0,60,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,joy,S,,1815.0,positive,emotions of pleasure
22,22,GerDracor/goethe-des-epimenides-erwachen.xml,Ich kenn' euch wohl!,75,95,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
23,23,GerDracor/goethe-des-epimenides-erwachen.xml,"Sobald ihr scherzend kommt,
              Dann ist es Ernst, und wenn ihr ernstlich sprecht,
              Vermut' ich Schalkheit.",96,226,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
24,24,GerDracor/goethe-des-epimenides-erwachen.xml,"Schlafen, meint ihr, schlafen?",227,257,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
25,25,GerDracor/goethe-des-epimenides-erwachen.xml,An meine Jugend wollt ihr mich erinnern.,272,312,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
26,26,GerDracor/goethe-des-epimenides-erwachen.xml,"Auf Kretas Höhn, des Vaters Herde weidend,
              Die Insel unter mir, ringsum das Meer,
              Den Tageshimmel von der einzigen Sonne,
              Von tausenden den nächtigen erleuchtet
              Da strebt's in meiner Seele, dieses All,
              Das herrliche, zu kennen; doch umsonst:
              Der Kindheit Bande fesselten mein Haupt.",327,693,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,suffering,S,,1815.0,negative,emotions of suffering and empathy
27,27,GerDracor/goethe-des-epimenides-erwachen.xml,"Da nahmen sich die Götter meiner an,
              Zur Höhle führten sie den Sinnenden,
              Versenkten mich in tiefen langen Schlaf.",708,850,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
28,28,GerDracor/goethe-des-epimenides-erwachen.xml,"Als ich erwachte, hört' ich einen Gott:
              »Bist vorbereitet«, sprach er, »wähle nun!",865,961,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
29,29,GerDracor/goethe-des-epimenides-erwachen.xml,"Willst du die Gegenwart und das, was ist,
              Willst du die Zukunft sehn, was sein wird?« Gleich
              Mit heiterm Sinn verlangt' ich zu verstehn,
              Was mir das Auge, was das Ohr mir beut.",976,1194,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
30,30,GerDracor/goethe-des-epimenides-erwachen.xml,"Und gleich erschien durchsichtig diese Welt,
              Wie ein Kristallgefäß mit seinem Inhalt.",1209,1308,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
31,31,GerDracor/goethe-des-epimenides-erwachen.xml,"Den schau' ich nun so viele Jahre schon;
              Was aber künftig ist, bleibt mir verborgen.",1323,1421,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
32,32,GerDracor/goethe-des-epimenides-erwachen.xml,"Soll ich vielleicht nun schlafen, sagt mir an,
              Daß ich zugleich auch Künftiges gewahre?",1436,1537,character_speech,1,3,,EPIMENIDES.,#epimenides,5.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
33,33,GerDracor/goethe-des-epimenides-erwachen.xml,"
              Wärest du fieberhaft, wärest du krank,
              Wüßtest dem Schlafe du herzlichen Dank;
              Zeiten, sie werden so fieberhaft sein,
              Laden die Götter zum Schlafen dich ein.",0,214,character_speech,1,3,,GENIEN.,#erster_genius #zweiter_genius,6.0,UNKNOWN,no_annotation,S,,1815.0,no_annotation,no_annotation
34,34,GerDracor/goethe-des-epimenides-erwachen.xml,"
              Zum Schlafen?",0,28,character_speech,1,3,,EPIMENIDES.,#epimenides,7.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
35,35,GerDracor/goethe-des-epimenides-erwachen.xml,jetzt?,29,35,character_speech,1,3,,EPIMENIDES.,#epimenides,7.0,MALE,no_annotation,S,,1815.0,no_annotation,no_annotation
