,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
394,GerDracor/tieck-die-verkehrte-welt.xml,29119,29146,"Ist das wahr, meine Herren?",negative,emotions of fear,joy
395,GerDracor/tieck-die-verkehrte-welt.xml,29147,29180,"Ja, wir haben es ihm so befohlen.",negative,emotions of rejection,anger
396,GerDracor/tieck-die-verkehrte-welt.xml,29181,29215,"Aber, meine Herren, ich werde naß.",negative,emotions of fear,fear
397,GerDracor/tieck-die-verkehrte-welt.xml,29216,29347,"Wir wollen uns eben an dergleichen Leiden ergötzen, denn Lukrez sagt, wie bekannt:
                 Lukrez sagt mir das zum Possen.",negative,emotions of joy,joy
398,GerDracor/tieck-die-verkehrte-welt.xml,29348,29413,"– – Meine Herren, lassen Sie das Gewitter
              aufhören.",negative,emotions of fear,fear
399,GerDracor/tieck-die-verkehrte-welt.xml,29414,29436,"Nein, es soll bleiben.",positive,emotions of affection,emotional movement
400,GerDracor/tieck-die-verkehrte-welt.xml,29437,29529,"In einem stillen, sanften, historischen Schauspiel – Es soll eben etwas fürchterlich werden.",negative,emotions of suffering,fear
401,GerDracor/tieck-die-verkehrte-welt.xml,29530,29590,Müssen denn auch die Götter von der Wut der Elemente leiden?,negative,emotions of rejection,suffering
402,GerDracor/tieck-die-verkehrte-welt.xml,29591,29705,"Ja, ja, jetzt erfahr ich
              es in der Tat, daß auch über uns ein dunkles, unausweichbares Fatum waltet.",negative,emotions of suffering,suffering
403,GerDracor/tieck-die-verkehrte-welt.xml,29706,29750,"– O ihr
              undankbaren Zuschauer!",negative,emotions of suffering,compassion
404,GerDracor/tieck-die-verkehrte-welt.xml,29751,29896,"Habe ich euch darum den Apollo vertrieben, habe ich euch darum
              von der Poesie erlöst, daß ihr es mir nun so schnöde vergelten müßt?",negative,emotions of rejection,suffering
405,GerDracor/tieck-die-verkehrte-welt.xml,29897,29925,fährt mit dem Gewitter fort.,negative,emotions of fear,anger
406,GerDracor/tieck-die-verkehrte-welt.xml,29926,29988,"Ich leide von eurer Wut, aber ich will es euch gewiß gedenken.",negative,emotions of rejection,suffering
407,GerDracor/tieck-die-verkehrte-welt.xml,29989,30105,"Wenn mir vom Regen der
              Esel da verdorben wird, so könnt ihr euch nur nach einem neuen für mich umsehn.",negative,emotions of rejection,"hate, disgust"
408,GerDracor/tieck-die-verkehrte-welt.xml,30106,30326,"Daß
              ihr's nur wißt, meine Herren, es ist der Pegasus; er ist mehrmals in Kupfer gestochen,
              und nun muß er so im Regenwetter dastehn, und hat nicht einmal einen Mantel
              umzuhängen.",negative,emotions of suffering,suffering
409,GerDracor/tieck-die-verkehrte-welt.xml,30327,30363,– O mein Kopf fängt an zu schwärmen.,negative,emotional movement,emotional movement
410,GerDracor/tieck-die-verkehrte-welt.xml,30364,30415,"Herr Skaramuz, ich glaube es wird bald vorbei sein.",negative,emotions of suffering,suffering
411,GerDracor/tieck-die-verkehrte-welt.xml,30416,30523,"Im Grunde ist er doch meinesgleichen, und die Menschenliebe gebietet mir, ihn zu
              bemitleiden.",negative,emotions of suffering,compassion
412,GerDracor/tieck-die-verkehrte-welt.xml,30524,30676,"– Da, hier will ich dich mit meinem Mantel bekleiden, ich will mich in
              meine Vernunft und Philosophie einhüllen, die dir gänzlich mangeln.",negative,emotions of affection,suffering
413,GerDracor/tieck-die-verkehrte-welt.xml,30677,30787,"– Wenn ich's recht
              bedenke, so kann es gar nicht anders sein, als daß einen der Regen naß macht.",negative,emotions of suffering,suffering
414,GerDracor/tieck-die-verkehrte-welt.xml,30788,30820,"Gehn Sie bald ab, Herr Skaramuz?",negative,emotions of rejection,fear
415,GerDracor/tieck-die-verkehrte-welt.xml,30821,30845,"Warum, mein Geehrtester?",emotional movement,emotional movement,emotional movement
416,GerDracor/tieck-die-verkehrte-welt.xml,30846,30926,"Die Szene greift mich zu sehr an, das alles ist für mich ein bißchen zu erhaben.",negative,emotions of suffering,admiration
417,GerDracor/tieck-die-verkehrte-welt.xml,30927,30944,"Ha ha, wie tut's?",positive,emotions of joy,emotional movement
418,GerDracor/tieck-die-verkehrte-welt.xml,30945,30980,"Im Regen stehn, ist noch schlimmer.",negative,emotions of suffering,suffering
419,GerDracor/tieck-die-verkehrte-welt.xml,30981,31057,"Ja, mein Bester, bei uns geht
              es manchmal verteufelt hoch her.",negative,emotions of joy,anger
420,GerDracor/tieck-die-verkehrte-welt.xml,31058,31197,"Gehn Sie doch lieber ab, bester Mann; denn wenn ich zu sehr angegriffen werde, so
              haben Sie nachher für den Schaden zu stehn.",negative,emotions of rejection,anger
421,GerDracor/tieck-die-verkehrte-welt.xml,31198,31257,Laßt mich noch erst mit diesem gelehrten Thebaner sprechen.,negative,emotions of rejection,anger
422,GerDracor/tieck-die-verkehrte-welt.xml,31258,31295,"– Worauf legst du
              dich?",negative,emotional movement,emotional movement
423,GerDracor/tieck-die-verkehrte-welt.xml,31296,31502,"Donner und Blitz zu machen, auch zieh ich die Löwen und Wölfe an, der Esel da ist
              auch von meiner Erfindung; wer sollte wohl in ihm einen von unsern Schauspielern
              wiedererkennen?",positive,emotions of rejection,"hate, disgust"
424,GerDracor/tieck-die-verkehrte-welt.xml,31503,31604,"So bist du also imstande, aus einem schlechten Schauspieler einen guten Esel zu
              machen?",negative,emotions of rejection,"hate, disgust"
425,GerDracor/tieck-die-verkehrte-welt.xml,31605,31662,"Und das nennt ihr Maschinerie, was sich von selber macht?",emotional movement,emotions of rejection,anger
426,GerDracor/tieck-die-verkehrte-welt.xml,31663,31703,"– Wie entsteht der
              Donner?",emotional movement,emotional movement,emotional movement
427,GerDracor/tieck-die-verkehrte-welt.xml,31704,31922,"Ich habe hier gestoßenen Kolophonium, den blase ich durch ein Licht, so wird daraus
              der Blitz; in demselben Augenblick wird oben eine eiserne Kugel gerollt, und das
              bedeutet dann den Donner.",emotional movement,emotions of fear,anger
428,GerDracor/tieck-die-verkehrte-welt.xml,31923,31938,"Gut, folge mir.",negative,emotions of fear,joy
429,GerDracor/tieck-die-verkehrte-welt.xml,31939,31963,– Meine Herren da unten!,negative,emotions of rejection,anger
430,GerDracor/tieck-die-verkehrte-welt.xml,31964,32085,"ich hoffe Sie alle gesund wieder nach Hause
              zu liefern, aber weiter hab ich Sie dann nicht zu verantworten.",negative,emotions of suffering,suffering
431,GerDracor/tieck-die-verkehrte-welt.xml,32087,32149,"Er steigt
                wieder auf den Esel und reitet fort.",negative,emotions of rejection,anger
432,GerDracor/tieck-die-verkehrte-welt.xml,32150,32195,"Ist's erlaubt, das Donnerwetter zu beendigen?",positive,emotions of rejection,anger
433,GerDracor/tieck-die-verkehrte-welt.xml,32196,32239,O ja; nun muß wieder was Häusliches kommen.,negative,emotions of joy,anger
434,GerDracor/tieck-die-verkehrte-welt.xml,32240,32364,"Rekommandiere mich; ich wohne hier gegenüber in dem großen Eckhause, wenn etwa
              Nachfrage nach mir sein sollte.",negative,emotions of rejection,anger
435,GerDracor/tieck-die-verkehrte-welt.xml,32365,32490,"Ich verstehe es auch vortrefflich, Feuerwerke zu
              arrangieren, und mit Geschmack eine Illumination einzurichten.",positive,emotions of joy,joy
436,GerDracor/tieck-die-verkehrte-welt.xml,32492,32514,"Geht
              ab.",negative,emotions of rejection,emotional movement
437,GerDracor/tieck-die-verkehrte-welt.xml,32515,32551,Das war eine sogenannte große Szene.,emotional movement,emotions of joy,"hate, disgust"
438,GerDracor/tieck-die-verkehrte-welt.xml,32552,32616,"Ja, Gevatter, da herrscht schon mehr der englische Schwung drin.",positive,emotions of rejection,anger
439,GerDracor/tieck-die-verkehrte-welt.xml,32617,32680,"Ihr werdet die
              englische Literatur gelesen haben.",negative,emotions of rejection,joy
440,GerDracor/tieck-die-verkehrte-welt.xml,32681,32693,Ja freilich!,negative,emotions of rejection,joy
441,GerDracor/tieck-die-verkehrte-welt.xml,32694,32761,Hab ich doch in meiner Jugend sogar die englische Krankheit gehabt.,negative,emotions of suffering,suffering
442,GerDracor/tieck-die-verkehrte-welt.xml,32762,32773,Wirtsstube.,negative,emotions of suffering,anger
443,GerDracor/tieck-die-verkehrte-welt.xml,32774,32912,"Wenige Gäste kehren jetzt bei mir ein, und wenn das so fortwährt, so werde ich am
              Ende das Schild noch gar einziehen müssen.",negative,emotions of suffering,suffering
444,GerDracor/tieck-die-verkehrte-welt.xml,32913,33050,"– Ja sonst waren noch gute Zeiten, da wurde
              kaum ein Stück gegeben, in welchem nicht ein Wirtshaus mit seinem Wirte vorkam.",positive,emotions of joy,joy
445,GerDracor/tieck-die-verkehrte-welt.xml,33051,33106,"Ich
              weiß es noch, in wie  Anne tritt auf.",positive,emotional movement,emotional movement
446,GerDracor/tieck-die-verkehrte-welt.xml,33107,33138,"Ihr seid so verdrüßlich, Vater.",negative,emotions of rejection,anger
