,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
2290,GerDracor/beer-struensee.xml,146621,146713,"Schack ist ein schlauer Mann, – im Dienste eifrig, Uns treu ergeben – ich vertrau' ihm ganz.",positive,emotions of affection,admiration
2291,GerDracor/beer-struensee.xml,146714,146744,Guldberg die Vollmacht gebend.,negative,emotions of affection,admiration
2292,GerDracor/beer-struensee.xml,146745,146820,"Nehmt, Guldberg, und befördert dies sogleich, Es ist der Tod des Struensee.",negative,emotions of fear,"hate, disgust"
2293,GerDracor/beer-struensee.xml,146821,146832,Und Ranzau?,emotional movement,emotional movement,emotional movement
2294,GerDracor/beer-struensee.xml,146833,146845,Sorgt nicht!,negative,emotions of suffering,suffering
2295,GerDracor/beer-struensee.xml,146846,146871,ich brüte sein Verderben.,negative,emotions of rejection,"hate, disgust"
2296,GerDracor/beer-struensee.xml,146872,146877,Gilt!,positive,emotions of rejection,anger
2297,GerDracor/beer-struensee.xml,146878,146949,"Während Guldberg abgeht, treten ein Page und die Damen der Königin ein.",emotional movement,emotional movement,admiration
2298,GerDracor/beer-struensee.xml,146950,146976,Der englische Ambassadeur!,negative,emotions of rejection,emotional movement
2299,GerDracor/beer-struensee.xml,146977,146986,Er komme!,negative,emotions of fear,joy
2300,GerDracor/beer-struensee.xml,146987,146995,Juliane.,emotional movement,emotional movement,emotional movement
2301,GerDracor/beer-struensee.xml,146996,147002,Keith.,emotional movement,emotional movement,emotional movement
2302,GerDracor/beer-struensee.xml,147003,147043,"Ihr meidet unsern Hof, Sir Robert Keith?",negative,emotions of rejection,anger
2303,GerDracor/beer-struensee.xml,147044,147086,Wir haben's wohl bemerkt und euch vermißt.,negative,emotions of suffering,compassion
2304,GerDracor/beer-struensee.xml,147087,147112,einen Brief überreichend.,negative,emotions of suffering,emotional movement
2305,GerDracor/beer-struensee.xml,147113,147160,"Dies von der Majestät des Königs, meines Herrn.",positive,emotions of affection,admiration
2306,GerDracor/beer-struensee.xml,147161,147201,"Vom Könige von England, sehr willkommen.",positive,emotions of joy,joy
2307,GerDracor/beer-struensee.xml,147202,147246,Nachdem sie mit sichtbarer Bewegung gelesen.,emotional movement,emotional movement,emotional movement
2308,GerDracor/beer-struensee.xml,147247,147281,"Ha, seh' ich recht, man droht uns?",negative,emotions of rejection,anger
2309,GerDracor/beer-struensee.xml,147282,147319,"Welche Sprache, Welch' kühne Warnung?",emotional movement,emotions of fear,fear
2310,GerDracor/beer-struensee.xml,147320,147363,"Sir, in diesem Lande Bin ich jetzt Königin.",positive,emotions of affection,admiration
