,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
2892,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156409,156511,"Herr, eine fremde Sängerin Ist in dem Lager angekommen, Und wünscht mit ihrer Stimm Euch zu vergnügen.",positive,emotions of joy,joy
2893,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156512,156522,Vergnügen?,positive,emotions of joy,emotional movement
2894,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156523,156541,So laß sie herein!,negative,emotions of rejection,fear
2895,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156542,156565,Ruf auch die Feldherrn!,negative,emotions of rejection,admiration
2896,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156566,156643,"Doch erst gib mir den Königsmantel, Denn fortan zeige ich mich nur als König.",positive,emotions of affection,admiration
2897,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156644,156689,Erik legt ihm den Mantel um und geht dann ab.,negative,emotions of rejection,anger
2898,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156690,156711,tritt an die Zelttür.,emotional movement,emotional movement,emotional movement
2899,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156712,156740,Wie kalt der Nachtwind weht!,negative,emotions of suffering,suffering
2900,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156741,156800,"Arboga, Rossan, Usbek, Irnak, Berdoa und andere treten ein.",emotional movement,emotional movement,emotional movement
2901,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156801,156878,"Gleich darauf kommt
              Erik mit der Cäcilia und dem Grafen Skiold.",emotional movement,emotional movement,emotional movement
2902,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156879,156925,Dort steht er – – mitten unter den Verworfnen!,negative,emotions of suffering,suffering
2903,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156926,156948,"O, der Beweinenswerte!",positive,emotions of suffering,compassion
2904,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156949,156962,Redet ihn an.,negative,emotions of suffering,anger
2905,GerDracor/grabbe-herzog-theodor-von-gothland.xml,156963,157044,"Ich kann es nicht; mein Busen ist beklommen, Das Wort erstirbt mir auf der Zunge!",negative,emotions of suffering,emotional movement
2906,GerDracor/grabbe-herzog-theodor-von-gothland.xml,157045,157062,Ein schönes Weib!,positive,emotions of affection,admiration
2907,GerDracor/grabbe-herzog-theodor-von-gothland.xml,157063,157090,"nur düster, wie es scheint!",negative,emotions of suffering,suffering
2908,GerDracor/grabbe-herzog-theodor-von-gothland.xml,157091,157106,Zu ihr tretend.,emotional movement,emotional movement,emotional movement
