,file,start,end,text,pre1_base_polarity,pre1_main_emotion_class,pre1_tag_type
827,GerDracor/goethe-iphigenie-auf-tauris.xml,71811,71817,Thoas.,emotional movement,emotional movement,joy
828,GerDracor/goethe-iphigenie-auf-tauris.xml,71818,71835,Du forderst mich!,negative,emotions of rejection,anger
829,GerDracor/goethe-iphigenie-auf-tauris.xml,71836,71863,Was bringt dich zu uns her?,emotional movement,emotional movement,emotional movement
830,GerDracor/goethe-iphigenie-auf-tauris.xml,71864,71906,"Du schiebst das Opfer auf; sag' an, warum?",negative,emotions of rejection,emotional movement
831,GerDracor/goethe-iphigenie-auf-tauris.xml,71907,71944,Ich hab' an Arkas alles klar erzählt.,negative,emotions of rejection,anger
832,GerDracor/goethe-iphigenie-auf-tauris.xml,71945,71989,Von dir möcht' ich es weiter noch vernehmen.,positive,emotions of affection,anger
833,GerDracor/goethe-iphigenie-auf-tauris.xml,71990,72031,Die Göttin gibt dir Frist zur Überlegung.,negative,emotional movement,anger
834,GerDracor/goethe-iphigenie-auf-tauris.xml,72032,72076,"Sie scheint dir selbst gelegen, diese Frist.",negative,emotions of rejection,joy
835,GerDracor/goethe-iphigenie-auf-tauris.xml,72077,72162,"Wenn dir das Herz zum grausamen Entschluß Verhärtet ist, so solltest du nicht kommen!",negative,emotions of rejection,suffering
836,GerDracor/goethe-iphigenie-auf-tauris.xml,72163,72328,"Ein König, der Unmenschliches verlangt, Findt Diener gnug, die gegen Gnad' und Lohn Den halben Fluch der Tat begierig fassen; Doch seine Gegenwart bleibt unbefleckt.",negative,emotions of rejection,"hate, disgust"
837,GerDracor/goethe-iphigenie-auf-tauris.xml,72329,72521,"Er sinnt den Tod in einer schweren Wolke Und seine Boten bringen flammendes Verderben auf des Armen Haupt hinab; Er aber schwebt durch seine Höhen ruhig, Ein unerreichter Gott, im Sturme fort.",negative,emotions of fear,"hate, disgust"
838,GerDracor/goethe-iphigenie-auf-tauris.xml,72522,72561,Die heil'ge Lippe tönt ein wildes Lied.,positive,emotions of joy,"hate, disgust"
839,GerDracor/goethe-iphigenie-auf-tauris.xml,72562,72579,Nicht Priesterin!,negative,emotions of rejection,"hate, disgust"
840,GerDracor/goethe-iphigenie-auf-tauris.xml,72580,72603,nur Agamemnons Tochter.,negative,emotions of suffering,love
841,GerDracor/goethe-iphigenie-auf-tauris.xml,72604,72677,"Der Unbekannten Wort verehrtest du, Der Fürstin willst du rasch gebieten?",positive,emotions of affection,admiration
842,GerDracor/goethe-iphigenie-auf-tauris.xml,72678,72683,Nein!,emotional movement,emotions of rejection,emotional movement
843,GerDracor/goethe-iphigenie-auf-tauris.xml,72684,72937,"Von Jugend auf hab' ich gelernt gehorchen, Erst meinen Eltern und dann einer Gottheit, Und folgsam fühlt' ich immer meine Seele Am schönsten frei; allein dem harten Worte, Dem rauhen Ausspruch eines Mannes mich Zu fügen, lernt' ich weder dort noch hier.",positive,emotions of affection,suffering
844,GerDracor/goethe-iphigenie-auf-tauris.xml,72938,72978,"Ein alt Gesetz, nicht ich, gebietet dir.",negative,emotions of rejection,anger
845,GerDracor/goethe-iphigenie-auf-tauris.xml,72979,73054,"Wir fassen ein Gesetz begierig an, Das unsrer Leidenschaft zur Waffe dient.",positive,emotions of joy,"hate, disgust"
846,GerDracor/goethe-iphigenie-auf-tauris.xml,73055,73159,"Ein andres spricht zu mir: ein älteres, Mich dir zu widersetzen, das Gebot, Dem jeder Fremde heilig ist.",negative,emotions of rejection,anger
847,GerDracor/goethe-iphigenie-auf-tauris.xml,73160,73319,"Es scheinen die Gefangnen dir sehr nah Am Herzen: denn vor Anteil und Bewegung Vergissest du der Klugheit erstes Wort, Daß man den Mächtigen nicht reizen soll.",positive,emotions of suffering,friendship
848,GerDracor/goethe-iphigenie-auf-tauris.xml,73320,73407,"Red' oder schweig' ich, immer kannst du wissen, Was mir im Herzen ist und immer bleibt.",negative,emotions of affection,love
849,GerDracor/goethe-iphigenie-auf-tauris.xml,73408,73496,Löst die Erinnerung des gleichen Schicksals Nicht ein verschloßnes Herz zum Mitleid auf?,negative,emotions of suffering,compassion
850,GerDracor/goethe-iphigenie-auf-tauris.xml,73497,73517,Wie mehr denn meins!,positive,emotions of affection,love
851,GerDracor/goethe-iphigenie-auf-tauris.xml,73518,73541,In ihnen seh' ich mich.,positive,emotions of affection,love
852,GerDracor/goethe-iphigenie-auf-tauris.xml,73542,73778,"Ich habe vorm Altare selbst gezittert, Und feierlich umgab der frühe Tod Die Knieende: das Messer zuckte schon, Den lebenvollen Busen zu durchbohren; Mein Innerstes entsetzte wirbelnd sich, Mein Auge brach, und – ich fand mich gerettet.",negative,emotions of fear,fear
